Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000203,13.798692,[117 107] ; [96 37],[133.64705882  90.35294118] ; [79.35294118 53.64705882],1
s7,1,0.002014,9.536523,[104 114] ; [83 45],[117.82080925 100.17919075] ; [69.17919075 58.82080925],0
p5,1,0.004923,7.907642,[ 10 211] ; [ 17 117],[ 16.8084507 204.1915493] ; [ 10.1915493 123.8084507],0
d4,1,0.023929,5.099784,[172  52] ; [116  18],[180.20111732  43.79888268] ; [107.79888268  26.20111732],0
a3,1,0.02493,5.02871,[147  77] ; [103  31],[156.42458101  67.57541899] ; [93.57541899 40.42458101],0
d2,1,0.03508,4.441262,[ 93 131] ; [71 63],[102.61452514 121.38547486] ; [61.38547486 72.61452514],0
a5,1,0.05347,3.729158,[157  68] ; [106  28],[164.83286908  60.16713092] ; [98.16713092 35.83286908],0
u2,1,0.070534,3.270556,[47 28] ; [13 17],[42.85714286 32.14285714] ; [17.14285714 12.85714286],0
s8,1,0.073345,3.206538,[101 123] ; [73 60],[109.17647059 114.82352941] ; [64.82352941 68.17647059],0
p12,1,0.077428,3.11807,[ 11 214] ; [ 13 121],[ 15.04178273 209.95821727] ; [  8.95821727 125.04178273],0
s4,1,0.085085,2.964988,[ 39 185] ; [33 99],[ 45.30337079 178.69662921] ; [ 26.69662921 105.30337079],0
b3,1,0.097256,2.74998,[36 97] ; [30 49],[41.40566038 91.59433962] ; [24.59433962 54.40566038],0
b2,1,0.097256,2.74998,[36 97] ; [30 49],[41.40566038 91.59433962] ; [24.59433962 54.40566038],0
b5,1,0.119288,2.426647,[151  74] ; [79 55],[144.15041783  80.84958217] ; [85.84958217 48.15041783],0
s3,1,0.120242,2.414168,[145  77] ; [96 35],[151.56373938  70.43626062] ; [89.43626062 41.56373938],0
a6,1,0.167804,1.902455,[161  63] ; [87 47],[155.17318436  68.82681564] ; [92.82681564 41.17318436],0
a4,1,0.16816,1.899267,[ 85 138] ; [61 73],[ 91.19887955 131.80112045] ; [54.80112045 79.19887955],0
r1,1,0.174002,1.848119,[177  47] ; [112  20],[181.84269663  42.15730337] ; [107.15730337  24.84269663],0
p9,1,0.188529,1.729078,[181  43] ; [113  18],[185.50985915  38.49014085] ; [108.49014085  22.50985915],0
r2,1,0.210813,1.565834,[206  18] ; [125   6],[208.85633803  15.14366197] ; [122.14366197   8.85633803],0
r4,1,0.21227,1.555874,[197  28] ; [123  11],[200.55710306  24.44289694] ; [119.44289694  14.55710306],0
u1,1,0.218844,1.511937,[ 37 188] ; [ 29 105],[ 41.36490251 183.63509749] ; [ 24.63509749 109.36490251],0
n2,1,0.229432,1.444377,[44 16] ; [27  5],[46.30434783 13.69565217] ; [24.69565217  7.30434783],0
v2,1,0.238133,1.391614,[109 101] ; [76 54],[114.26470588  95.73529412] ; [70.73529412 59.26470588],0
a2,1,0.249037,1.328696,[ 50 175] ; [37 97],[ 54.5264624 170.4735376] ; [ 32.4735376 101.5264624],0
p3,1,0.259236,1.272834,[ 90 134] ; [62 72],[ 95.10614525 128.89385475] ; [56.89385475 77.10614525],0
n6,1,0.260099,1.268229,[184  41] ; [114  18],[187.81512605  37.18487395] ; [110.18487395  21.81512605],0
p7,1,0.277907,1.177296,[113 107] ; [74 55],[117.87965616 102.12034384] ; [69.12034384 59.87965616],0
v4,1,0.306055,1.047625,[212  12] ; [128   4],[213.93258427  10.06741573] ; [126.06741573   5.93258427],0
d1,1,0.368966,0.807143,[120 105] ; [78 56],[124.09470752 100.90529248] ; [73.90529248 60.09470752],0
a7,1,0.38116,0.766956,[169  56] ; [95 39],[165.45961003  59.54038997] ; [98.54038997 35.45961003],0
n4,1,0.439803,0.596797,[167  58] ; [93 39],[163.86554622  61.13445378] ; [96.13445378 35.86554622],0
p1,1,0.460904,0.543699,[ 11 213] ; [  9 124],[ 12.54901961 211.45098039] ; [  7.45098039 125.54901961],0
s1,1,0.477463,0.504652,[  7 216] ; [  6 124],[  8.21246459 214.78753541] ; [  4.78753541 125.21246459],0
v3,1,0.49073,0.474925,[ 82 130] ; [56 76],[ 85.04651163 126.95348837] ; [52.95348837 79.04651163],0
p8,1,0.506345,0.441614,[ 89 134] ; [57 74],[ 91.97175141 131.02824859] ; [54.02824859 76.97175141],0
p4,1,0.515202,0.423487,[113 112] ; [71 61],[115.96638655 109.03361345] ; [68.03361345 63.96638655],0
p2,1,0.547551,0.361723,[179  44] ; [111  23],[181.14845938  41.85154062] ; [108.85154062  25.14845938],0
p10,1,0.559422,0.340706,[174  50] ; [106  26],[176.17977528  47.82022472] ; [103.82022472  28.17977528],0
n3,1,0.611952,0.257343,[42 18] ; [24  8],[43.04347826 16.95652174] ; [22.95652174  9.04347826],0
d5,1,0.613005,0.255823,[179  45] ; [110  24],[180.82681564  43.17318436] ; [108.17318436  25.82681564],0
n1,1,0.6244,0.239731,[22 38] ; [13 18],[23.07692308 36.92307692] ; [11.92307692 19.07692308],0
p11,1,0.652849,0.202328,[171  54] ; [99 35],[169.22005571  55.77994429] ; [100.77994429  33.22005571],0
a8,1,0.71523,0.133109,[ 28 177] ; [ 18 101],[ 29.10493827 175.89506173] ; [ 16.89506173 102.10493827],0
u4,1,0.801964,0.062904,[  6 219] ; [  3 131],[  5.64066852 219.35933148] ; [  3.35933148 130.64066852],0
n5,1,0.850666,0.035445,[165  60] ; [98 34],[165.75630252  59.24369748] ; [97.24369748 34.75630252],0
v1,1,0.88243,0.021871,[109 106] ; [68 64],[109.6685879 105.3314121] ; [67.3314121 64.6685879],0
u3,1,0.912974,0.011944,[45 31] ; [18 13],[44.74766355 31.25233645] ; [18.25233645 12.74766355],0
b1,1,0.926557,0.008497,[ 80 145] ; [47 87],[ 79.59610028 145.40389972] ; [47.40389972 86.59610028],0
a1,1,0.931282,0.007436,[  8 217] ; [  5 129],[  8.14763231 216.85236769] ; [  4.85236769 129.14763231],0
b4,1,0.95549,0.003115,[135  90] ; [80 54],[134.74930362  90.25069638] ; [80.25069638 53.74930362],0
r3,1,0.977168,0.000819,[213  12] ; [126   7],[213.05865922  11.94134078] ; [125.94134078   7.05865922],0
d3,1,0.99166,0.000109,[152  72] ; [91 43],[152.04469274  71.95530726] ; [90.95530726 43.04469274],0
