Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1.2e-05,19.236531,[ 8 39] ; [22 12],[17.40740741 29.59259259] ; [12.59259259 21.40740741],1
p6,1,0.0051,7.843583,[10 35] ; [17 15],[15.77922078 29.22077922] ; [11.22077922 20.77922078],0
p3,1,0.009734,6.682889,[20 25] ; [25  9],[25.63291139 19.36708861] ; [19.36708861 14.63291139],0
s6,1,0.037048,4.348211,[26 19] ; [25  6],[30.19736842 14.80263158] ; [20.80263158 10.19736842],0
a6,1,0.05799,3.593959,[19 28] ; [21 13],[23.20987654 23.79012346] ; [16.79012346 17.20987654],0
s3,1,0.062506,3.469618,[22 25] ; [23 11],[26.11111111 20.88888889] ; [18.88888889 15.11111111],0
r2,1,0.072262,3.230878,[35 12] ; [29  3],[38.07594937  8.92405063] ; [25.92405063  6.07594937],0
u1,1,0.075302,3.163487,[ 1 46] ; [ 4 30],[ 2.90123457 44.09876543] ; [ 2.09876543 31.90123457],0
s5,1,0.085804,2.951389,[11 34] ; [13 17],[14.4 30.6] ; [ 9.6 20.4],0
v2,1,0.100791,2.692979,[25 20] ; [25  9],[28.48101266 16.51898734] ; [21.51898734 12.48101266],0
p2,1,0.102205,2.670792,[32 14] ; [29  5],[35.075 10.925] ; [25.925  8.075],0
s2,1,0.110522,2.546748,[22 25] ; [22 12],[25.5308642 21.4691358] ; [18.4691358 15.5308642],0
a2,1,0.111388,2.534418,[ 3 44] ; [ 6 28],[ 5.22222222 41.77777778] ; [ 3.77777778 30.22222222],0
d5,1,0.113906,2.499177,[33 14] ; [29  5],[35.97530864 11.02469136] ; [26.02469136  7.97530864],0
a8,1,0.159916,1.975019,[ 1 43] ; [ 3 28],[ 2.34666667 41.65333333] ; [ 1.65333333 29.34666667],0
d4,1,0.166376,1.915296,[34 13] ; [29  5],[36.55555556 10.44444444] ; [26.44444444  7.55555556],0
a7,1,0.16639,1.91517,[32 15] ; [18 16],[29.01234568 17.98765432] ; [20.98765432 13.01234568],0
p4,1,0.189948,1.718021,[23 23] ; [22 12],[25.875 20.125] ; [19.125 14.875],0
p7,1,0.193239,1.69275,[23 24] ; [21 12],[25.85 21.15] ; [18.15 14.85],0
r3,1,0.245769,1.347195,[36 10] ; [30  4],[37.95  8.05] ; [28.05  5.95],0
v3,1,0.252819,1.307661,[18 27] ; [18 16],[20.50632911 24.49367089] ; [15.49367089 18.50632911],0
r4,1,0.262682,1.254569,[26 21] ; [23 11],[28.43209877 18.56790123] ; [20.56790123 13.43209877],0
a1,1,0.303995,1.056586,[ 4 43] ; [ 1 33],[ 2.90123457 44.09876543] ; [ 2.09876543 31.90123457],0
a3,1,0.307544,1.041195,[28 19] ; [24 10],[30.17283951 16.82716049] ; [21.82716049 12.17283951],0
n1,1,0.346419,0.886532,[5 9] ; [6 5],[6.16 7.84] ; [4.84 6.16],0
d3,1,0.35127,0.868864,[27 20] ; [23 11],[29.01234568 17.98765432] ; [20.98765432 13.01234568],0
p8,1,0.368802,0.807696,[19 27] ; [17 16],[20.96202532 25.03797468] ; [15.03797468 17.96202532],0
p11,1,0.408803,0.682279,[32 15] ; [26  8],[33.65432099 13.34567901] ; [24.34567901  9.65432099],0
b1,1,0.420173,0.649831,[25 22] ; [15 19],[23.20987654 23.79012346] ; [16.79012346 17.20987654],0
u2,1,0.430223,0.622222,[ 8 10] ; [6 4],[9. 9.] ; [5. 5.],0
p10,1,0.54098,0.373726,[35 11] ; [27  6],[36.10126582  9.89873418] ; [25.89873418  7.10126582],0
n2,1,0.545991,0.364548,[10  4] ; [9 2],[10.64  3.36] ; [8.36 2.64],0
n3,1,0.621685,0.243506,[9 5] ; [6 5],[8.4 5.6] ; [6.6 4.4],0
b3,1,0.629303,0.233007,[ 8 17] ; [10 16],[ 8.82352941 16.17647059] ; [ 9.17647059 16.82352941],0
b2,1,0.629303,0.233007,[ 8 17] ; [10 16],[ 8.82352941 16.17647059] ; [ 9.17647059 16.82352941],0
d1,1,0.635913,0.224127,[21 26] ; [17 17],[22.04938272 24.95061728] ; [15.95061728 18.04938272],0
n4,1,0.659522,0.194105,[31 16] ; [24 10],[31.91358025 15.08641975] ; [23.08641975 10.91358025],0
b4,1,0.687137,0.162203,[27 20] ; [18 16],[26.11111111 20.88888889] ; [18.88888889 15.11111111],0
n5,1,0.743893,0.106734,[33 14] ; [25  9],[33.65432099 13.34567901] ; [24.34567901  9.65432099],0
v4,1,0.760355,0.093034,[41  6] ; [28  5],[40.5375  6.4625] ; [28.4625  4.5375],0
p9,1,0.779343,0.078498,[39  8] ; [29  5],[39.45679012  7.54320988] ; [28.54320988  5.45679012],0
b5,1,0.782333,0.076331,[29 18] ; [22 12],[29.59259259 17.40740741] ; [21.40740741 12.59259259],0
p1,1,0.787025,0.072995,[ 5 42] ; [ 3 31],[ 4.64197531 42.35802469] ; [ 3.35802469 30.64197531],0
p5,1,0.801413,0.063262,[ 6 41] ; [ 5 29],[ 6.38271605 40.61728395] ; [ 4.61728395 29.38271605],0
n6,1,0.836584,0.042545,[35 12] ; [26  8],[35.39506173 11.60493827] ; [25.60493827  8.39506173],0
s4,1,0.872432,0.025783,[ 9 38] ; [ 7 27],[ 9.28395062 37.71604938] ; [ 6.71604938 27.28395062],0
a5,1,0.901391,0.015352,[27 20] ; [20 14],[27.27160494 19.72839506] ; [19.72839506 14.27160494],0
p12,1,0.907025,0.01364,[ 3 43] ; [ 2 32],[ 2.875 43.125] ; [ 2.125 31.875],0
u3,1,0.912875,0.011971,[11  8] ; [6 4],[11.13793103  7.86206897] ; [5.86206897 4.13793103],0
s1,1,0.926384,0.008537,[ 3 44] ; [ 2 32],[ 2.90123457 44.09876543] ; [ 2.09876543 31.90123457],0
a4,1,0.935309,0.006588,[17 30] ; [12 22],[16.82716049 30.17283951] ; [12.17283951 21.82716049],0
d2,1,0.995437,3.3e-05,[18 29] ; [13 21],[17.98765432 29.01234568] ; [13.01234568 20.98765432],0
