Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,8.4e-05,15.46194,[35 14] ; [ 9 24],[26.29268293 22.70731707] ; [17.70731707 15.29268293],1
d4,1,0.000961,10.901173,[39 11] ; [14 19],[31.92771084 18.07228916] ; [21.07228916 11.92771084],1
s7,1,0.009843,6.66315,[18 29] ; [ 4 29],[12.925 34.075] ; [ 9.075 23.925],0
a5,1,0.009969,6.640355,[28 22] ; [ 9 24],[22.28915663 27.71084337] ; [14.71084337 18.28915663],0
a3,1,0.017979,5.598199,[29 21] ; [10 22],[23.7804878 26.2195122] ; [15.2195122 16.7804878],0
s5,1,0.019136,5.48903,[18 32] ; [ 4 28],[13.41463415 36.58536585] ; [ 8.58536585 23.41463415],0
d2,1,0.02142,5.29229,[23 27] ; [ 7 26],[18.07228916 31.92771084] ; [11.92771084 21.07228916],0
a6,1,0.027733,4.844562,[29 21] ; [11 22],[24.09638554 25.90361446] ; [15.90361446 17.09638554],0
v2,1,0.032886,4.551713,[18 31] ; [ 5 28],[13.74390244 35.25609756] ; [ 9.25609756 23.74390244],0
a4,1,0.057779,3.600017,[15 35] ; [ 4 29],[11.44578313 38.55421687] ; [ 7.55421687 25.44578313],0
u3,1,0.072006,3.236689,[13  8] ; [ 8 15],[10.02272727 10.97727273] ; [10.97727273 12.02272727],0
s6,1,0.078323,3.099352,[26 23] ; [11 22],[22.1097561 26.8902439] ; [14.8902439 18.1097561],0
v4,1,0.084323,2.979548,[43  6] ; [24  9],[40.03658537  8.96341463] ; [26.96341463  6.03658537],0
r2,1,0.098322,2.732557,[40 10] ; [21 12],[36.74698795 13.25301205] ; [24.25301205  8.74698795],0
r3,1,0.133567,2.250544,[43  7] ; [24  9],[40.36144578  9.63855422] ; [26.63855422  6.36144578],0
p10,1,0.149161,2.080815,[31 17] ; [16 17],[27.85185185 20.14814815] ; [19.14814815 13.85185185],0
s2,1,0.152699,2.045077,[23 27] ; [10 23],[19.87951807 30.12048193] ; [13.12048193 19.87951807],0
a7,1,0.161268,1.962297,[32 18] ; [16 17],[28.91566265 21.08433735] ; [19.08433735 13.91566265],0
v3,1,0.214873,1.538286,[ 9 38] ; [ 3 30],[ 7.05 39.95] ; [ 4.95 28.05],0
n5,1,0.214927,1.537925,[16 34] ; [15 18],[18.6746988 31.3253012] ; [12.3253012 20.6746988],0
u2,1,0.239143,1.385638,[11 10] ; [ 8 15],[ 9.06818182 11.93181818] ; [ 9.93181818 13.06818182],0
b3,1,0.25493,1.296083,[12 19] ; [ 3 11],[10.33333333 20.66666667] ; [4.66666667 9.33333333],0
b2,1,0.25493,1.296083,[12 19] ; [ 3 11],[10.33333333 20.66666667] ; [4.66666667 9.33333333],0
p11,1,0.257656,1.281308,[32 18] ; [17 16],[29.51807229 20.48192771] ; [19.48192771 13.51807229],0
s4,1,0.28252,1.154928,[16 34] ; [ 7 26],[13.85542169 36.14457831] ; [ 9.14457831 23.85542169],0
n3,1,0.286167,1.137569,[12 13] ; [8 4],[13.51351351 11.48648649] ; [6.48648649 5.51351351],0
n1,1,0.292584,1.107692,[ 8 16] ; [ 2 10],[ 6.66666667 17.33333333] ; [3.33333333 8.66666667],0
v1,1,0.296398,1.09033,[18 32] ; [ 8 24],[15.85365854 34.14634146] ; [10.14634146 21.85365854],0
b4,1,0.301637,1.066944,[30 20] ; [16 17],[27.71084337 22.28915663] ; [18.28915663 14.71084337],0
a8,1,0.336552,0.923521,[ 1 47] ; [ 2 30],[ 1.8 46.2] ; [ 1.2 30.8],0
n6,1,0.389045,0.741924,[32 18] ; [18 15],[30.12048193 19.87951807] ; [19.87951807 13.12048193],0
r4,1,0.392852,0.730096,[26 24] ; [14 19],[24.09638554 25.90361446] ; [15.90361446 17.09638554],0
p6,1,0.454021,0.560594,[14 35] ; [ 7 26],[12.54878049 36.45121951] ; [ 8.45121951 24.54878049],0
b5,1,0.488713,0.479358,[28 22] ; [21 12],[29.51807229 20.48192771] ; [19.48192771 13.51807229],0
p1,1,0.510225,0.433605,[ 5 44] ; [ 2 31],[ 4.18292683 44.81707317] ; [ 2.81707317 30.18292683],0
p9,1,0.584834,0.298484,[30 17] ; [23 10],[31.1375 15.8625] ; [21.8625 11.1375],0
s8,1,0.617667,0.24916,[13 37] ; [ 7 26],[12.04819277 37.95180723] ; [ 7.95180723 25.04819277],0
p5,1,0.659702,0.193886,[ 2 47] ; [ 2 30],[ 2.41975309 46.58024691] ; [ 1.58024691 30.41975309],0
s1,1,0.667941,0.18402,[ 2 48] ; [ 2 31],[ 2.40963855 47.59036145] ; [ 1.59036145 31.40963855],0
p3,1,0.678213,0.172145,[17 32] ; [10 23],[16.13414634 32.86585366] ; [10.86585366 22.13414634],0
s3,1,0.686898,0.162464,[19 31] ; [14 19],[19.87951807 30.12048193] ; [13.12048193 19.87951807],0
n2,1,0.739356,0.110694,[16  9] ; [7 5],[15.54054054  9.45945946] ; [7.45945946 4.54054054],0
b1,1,0.824326,0.049277,[23 27] ; [16 17],[23.4939759 26.5060241] ; [15.5060241 17.4939759],0
p2,1,0.825188,0.048787,[30 19] ; [21 12],[30.47560976 18.52439024] ; [20.52439024 12.47560976],0
p7,1,0.899433,0.015971,[23 26] ; [15 16],[23.275 25.725] ; [14.725 16.275],0
p8,1,0.90808,0.013331,[19 30] ; [12 20],[18.75308642 30.24691358] ; [12.24691358 19.75308642],0
p4,1,0.955967,0.003049,[20 30] ; [13 20],[19.87951807 30.12048193] ; [13.12048193 19.87951807],0
a1,1,0.990939,0.000129,[ 3 47] ; [ 2 31],[ 3.01204819 46.98795181] ; [ 1.98795181 31.01204819],0
