Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,3e-06,21.896886,[ 3 83] ; [ 49 125],[17.2 68.8] ; [ 34.8 139.2],1
p7,1,4e-06,21.067454,[57 27] ; [156  16],[69.890625 14.109375] ; [143.109375  28.890625],1
p3,1,3.6e-05,17.068821,[39 47] ; [124  49],[54.12355212 31.87644788] ; [108.87644788  64.12355212],1
p4,1,0.000202,13.809056,[55 31] ; [146  27],[66.74131274 19.25868726] ; [134.25868726  38.74131274],1
p11,1,0.000965,10.893412,[60 26] ; [151  23],[69.79230769 16.20769231] ; [141.20769231  32.79230769],1
p12,1,0.001639,9.914911,[ 3 83] ; [ 30 143],[10.95752896 75.04247104] ; [ 22.04247104 150.95752896],0
v3,1,0.01283,6.192448,[28 55] ; [86 85],[37.2519685 45.7480315] ; [76.7480315 94.2519685],0
p1,1,0.038767,4.271052,[ 6 80] ; [ 28 145],[11.28957529 74.71042471] ; [ 22.71042471 150.28957529],0
p9,1,0.043917,4.059766,[72 14] ; [160  14],[76.73846154  9.26153846] ; [155.26153846  18.73846154],0
s5,1,0.047508,3.92731,[23 57] ; [71 99],[30.08 49.92] ; [ 63.92 106.08],0
r4,1,0.04987,3.845826,[75 11] ; [164  10],[79.05384615  6.94615385] ; [159.94615385  14.05384615],0
n2,1,0.052306,3.765968,[17 12] ; [23  5],[20.35087719  8.64912281] ; [19.64912281  8.35087719],0
v1,1,0.054562,3.69542,[47 37] ; [118  55],[53.92996109 30.07003891] ; [111.07003891  61.92996109],0
p10,1,0.063971,3.431311,[66 19] ; [150  23],[71.1627907 13.8372093] ; [144.8372093  28.1627907],0
d4,1,0.068025,3.330039,[65 21] ; [146  26],[70.33333333 15.66666667] ; [140.66666667  31.33333333],0
a2,1,0.094078,2.803172,[27 59] ; [ 38 136],[21.5 64.5] ; [ 43.5 130.5],0
a8,1,0.108512,2.575763,[ 9 67] ; [ 32 125],[13.37339056 62.62660944] ; [ 27.62660944 129.37339056],0
s8,1,0.133318,2.253439,[41 44] ; [100  72],[46.63424125 38.36575875] ; [94.36575875 77.63424125],0
a6,1,0.165896,1.919643,[61 25] ; [107  65],[56. 30.] ; [112.  60.],0
