Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2e-06,22.295171,[22 89] ; [86 96],[40.91467577 70.08532423] ; [ 67.08532423 114.91467577],1
d5,1,2e-05,18.14312,[42 69] ; [116  67],[59.65306122 51.34693878] ; [98.34693878 84.65306122],1
r4,1,3e-05,17.431473,[68 43] ; [152  31],[83.06122449 27.93877551] ; [136.93877551  46.06122449],1
r3,1,3.8e-05,16.98104,[85 26] ; [168  12],[96.50515464 14.49484536] ; [156.49484536  23.50515464],1
a6,1,7.8e-05,15.608169,[46 65] ; [119  64],[62.29591837 48.70408163] ; [102.70408163  80.29591837],1
r1,1,0.000497,12.127053,[56 55] ; [128  53],[69.94520548 41.05479452] ; [114.05479452  66.94520548],1
p2,1,0.000561,11.902335,[72 37] ; [153  30],[83.98972603 25.01027397] ; [141.01027397  41.98972603],1
a5,1,0.001035,10.764031,[43 68] ; [107  76],[56.63265306 54.36734694] ; [93.36734694 89.63265306],0
d4,1,0.002104,9.456728,[50 61] ; [116  67],[62.67346939 48.32653061] ; [103.32653061  79.67346939],0
p10,1,0.007143,7.23677,[65 43] ; [134  44],[75.14685315 32.85314685] ; [123.85314685  54.14685315],0
r2,1,0.011856,6.332281,[84 26] ; [157  22],[91.73010381 18.26989619] ; [149.26989619  29.73010381],0
s6,1,0.020462,5.372025,[50 57] ; [110  71],[59.44444444 47.55555556] ; [100.55555556  80.44444444],0
p9,1,0.029783,4.721747,[74 34] ; [143  36],[81.65853659 26.34146341] ; [135.34146341  43.65853659],0
u3,1,0.032658,4.563629,[24 37] ; [46 34],[30.28368794 30.71631206] ; [39.71631206 40.28368794],0
v2,1,0.035925,4.400643,[28 78] ; [ 68 108],[36.08510638 69.91489362] ; [ 59.91489362 116.08510638],0
v4,1,0.04434,4.043552,[90 19] ; [164  17],[95.46896552 13.53103448] ; [158.53103448  22.46896552],0
d2,1,0.057386,3.611357,[23 87] ; [ 23 160],[17.26962457 92.73037543] ; [ 28.73037543 154.26962457],0
p8,1,0.071159,3.256086,[39 70] ; [83 95],[46.33449477 62.66550523] ; [ 75.66550523 102.33449477],0
a3,1,0.086736,2.93394,[50 60] ; [101  80],[57.0790378 52.9209622] ; [93.9209622 87.0790378],0
u1,1,0.093997,2.804556,[  1 110] ; [  8 175],[  3.39795918 107.60204082] ; [  5.60204082 177.39795918],0
n3,1,0.09645,2.763279,[27 16] ; [34  9],[30.5 12.5] ; [30.5 12.5],0
