Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,64.042339,[80 39] ; [ 59 188],[45.19398907 73.80601093] ; [ 93.80601093 153.19398907],1
p7,1,0.0,27.725534,[75 43] ; [ 84 161],[51.68595041 66.31404959] ; [107.31404959 137.68595041],1
p8,1,3e-06,21.778204,[63 56] ; [ 69 178],[42.91803279 76.08196721] ; [ 89.08196721 157.91803279],1
v1,1,0.000408,12.496056,[63 52] ; [ 86 159],[47.59722222 67.40277778] ; [101.40277778 143.59722222],1
s8,1,0.001256,10.406313,[28 91] ; [ 27 224],[ 17.68918919 101.31081081] ; [ 37.31081081 213.68918919],0
v2,1,0.001649,9.904113,[67 47] ; [ 96 139],[53.24355301 60.75644699] ; [109.75644699 125.24355301],0
n4,1,0.004013,8.277777,[89 30] ; [148 101],[76.63858696 42.36141304] ; [160.36141304  88.63858696],0
p2,1,0.013752,6.069734,[94 24] ; [168  82],[84.01086957 33.98913043] ; [177.98913043  72.01086957],0
d5,1,0.017817,5.614022,[96 23] ; [173  78],[86.51621622 32.48378378] ; [182.48378378  68.51621622],0
p11,1,0.018479,5.550156,[93 26] ; [166  85],[83.3 35.7] ; [175.7  75.3],0
r4,1,0.022392,5.21508,[102  17] ; [189  62],[93.59189189 25.40810811] ; [197.40810811  53.59189189],0
n5,1,0.026668,4.912207,[85 34] ; [147 100],[75.43169399 43.56830601] ; [156.56830601  90.43169399],0
p5,1,0.030818,4.663088,[ 10 109] ; [  8 241],[  5.82065217 113.17934783] ; [ 12.17934783 236.82065217],0
p1,1,0.040949,4.178126,[ 11 107] ; [ 10 239],[  6.7520436 111.2479564] ; [ 14.2479564 234.7520436],0
p10,1,0.043141,4.089882,[89 30] ; [158  88],[80.52876712 38.47123288] ; [166.47123288  79.52876712],0
a5,1,0.045432,4.00254,[83 36] ; [148 103],[74.29459459 44.70540541] ; [156.70540541  94.29459459],0
r2,1,0.056149,3.647629,[111   8] ; [212  33],[105.59615385  13.40384615] ; [217.40384615  27.59615385],0
u1,1,0.071248,3.254037,[ 16 103] ; [ 19 232],[ 11.25675676 107.74324324] ; [ 23.74324324 227.25675676],0
n3,1,0.071629,3.245291,[21  4] ; [52 28],[17.38095238  7.61904762] ; [55.61904762 24.38095238],0
v3,1,0.073511,3.202822,[41 73] ; [ 64 176],[33.81355932 80.18644068] ; [ 71.18644068 168.81355932],0
n6,1,0.093624,2.810938,[95 23] ; [181  69],[88.5 29.5] ; [187.5  62.5],0
s5,1,0.094056,2.803554,[28 87] ; [ 41 202],[22.16480447 92.83519553] ; [ 46.83519553 196.16480447],0
s6,1,0.099705,2.710251,[60 59] ; [102 145],[52.67213115 66.32786885] ; [109.32786885 137.67213115],0
u3,1,0.12332,2.374643,[30 21] ; [47 56],[25.5 25.5] ; [51.5 51.5],0
s3,1,0.123535,2.371922,[48 68] ; [ 81 164],[41.45152355 74.54847645] ; [ 87.54847645 157.45152355],0
d1,1,0.135993,2.222718,[62 57] ; [110 141],[55.31891892 63.68108108] ; [116.68108108 134.31891892],0
p9,1,0.1378,2.202353,[91 28] ; [169  76],[85. 34.] ; [175.  70.],0
a4,1,0.189393,1.722337,[48 71] ; [ 83 166],[42.36141304 76.63858696] ; [ 88.63858696 160.36141304],0
v4,1,0.204958,1.606686,[109  10] ; [216  32],[105.38147139  13.61852861] ; [219.61852861  28.38147139],0
s2,1,0.237989,1.392467,[35 83] ; [ 59 188],[30.3890411 87.6109589] ; [ 63.6109589 183.3890411],0
a1,1,0.240307,1.378792,[  3 116] ; [ 13 238],[  5.14594595 113.85405405] ; [ 10.85405405 240.14594595],0
a7,1,0.307045,1.043343,[87 32] ; [169  80],[82.7826087 36.2173913] ; [173.2173913  75.7826087],0
r1,1,0.308713,1.036175,[86 31] ; [170  79],[81.83606557 35.16393443] ; [174.16393443  74.83606557],0
b5,1,0.317491,0.999252,[67 52] ; [155  96],[71.4 47.6] ; [150.6 100.4],0
r3,1,0.326128,0.964211,[107  12] ; [214  34],[104.08446866  14.91553134] ; [216.91553134  31.08446866],0
b1,1,0.327171,0.960061,[47 72] ; [ 86 165],[42.77567568 76.22432432] ; [ 90.22432432 160.77567568],0
d2,1,0.35422,0.85828,[51 67] ; [ 95 154],[46.94277929 71.05722071] ; [ 99.05722071 149.94277929],0
n2,1,0.35934,0.840199,[19  6] ; [53 27],[17.14285714  7.85714286] ; [54.85714286 25.14285714],0
a2,1,0.410833,0.676388,[21 98] ; [ 36 215],[ 18.33243243 100.66756757] ; [ 38.66756757 212.33243243],0
a8,1,0.475918,0.508202,[ 9 97] ; [ 26 210],[10.84795322 95.15204678] ; [ 24.15204678 211.84795322],0
a6,1,0.649386,0.206675,[82 37] ; [167  84],[80.08378378 38.91621622] ; [168.91621622  82.08378378],0
