Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.001219,10.461662,[10 97] ; [32 92],[19.45454545 87.54545455] ; [ 22.54545455 101.45454545],0
d3,1,0.003176,8.703686,[68 41] ; [99 25],[78.12446352 30.87553648] ; [88.87553648 35.12446352],0
p6,1,0.003706,8.422356,[47 61] ; [77 46],[57.97402597 50.02597403] ; [66.02597403 56.97402597],0
s6,1,0.004008,8.280221,[89 19] ; [117   7],[95.89655172 12.10344828] ; [110.10344828  13.89655172],0
v1,1,0.006023,7.543401,[54 48] ; [87 36],[63.92 38.08] ; [77.08 45.92],0
s7,1,0.007185,7.226166,[68 35] ; [95 21],[76.66210046 26.33789954] ; [86.33789954 29.66210046],0
p8,1,0.02167,5.272076,[61 47] ; [88 36],[69.36206897 38.63793103] ; [79.63793103 44.36206897],0
n2,1,0.035939,4.4,[12  8] ; [21  3],[15.  5.] ; [18.  6.],0
p9,1,0.03694,4.353154,[92 16] ; [116   8],[96.82758621 11.17241379] ; [111.17241379  12.82758621],0
p7,1,0.039028,4.259668,[75 33] ; [99 23],[81.70434783 26.29565217] ; [92.29565217 29.70434783],0
p10,1,0.048288,3.899919,[89 19] ; [113  11],[94.03448276 13.96551724] ; [107.96551724  16.03448276],0
n3,1,0.095188,2.784375,[17  3] ; [15  9],[14.54545455  5.45454545] ; [17.45454545  6.54545455],0
r2,1,0.128599,2.309337,[101   7] ; [121   3],[103.34482759   4.65517241] ; [118.65517241   5.34482759],0
u4,1,0.132536,2.262546,[  7 102] ; [  3 121],[  4.67811159 104.32188841] ; [  5.32188841 118.67811159],0
v4,1,0.132536,2.262546,[102   7] ; [121   3],[104.32188841   4.67811159] ; [118.67811159   5.32188841],0
p2,1,0.159061,1.983129,[92 16] ; [113  11],[95.43103448 12.56896552] ; [109.56896552  14.43103448],0
n6,1,0.174125,1.847064,[94 15] ; [112  10],[97.2034632 11.7965368] ; [108.7965368  13.2034632],0
s4,1,0.196466,1.668454,[20 89] ; [31 91],[24.06493506 84.93506494] ; [26.93506494 95.06493506],0
r4,1,0.204638,1.608962,[98 11] ; [117   7],[100.57939914   8.42060086] ; [114.42060086   9.57939914],0
r3,1,0.227497,1.45644,[103   6] ; [120   3],[104.77155172   4.22844828] ; [118.22844828   4.77155172],0
v2,1,0.242207,1.367704,[56 46] ; [77 46],[60.29333333 41.70666667] ; [72.70666667 50.29333333],0
n1,1,0.245716,1.3475,[ 9 11] ; [15  9],[10.90909091  9.09090909] ; [13.09090909 10.90909091],0
p1,1,0.258347,1.277592,[12 96] ; [ 20 103],[14.96103896 93.03896104] ; [ 17.03896104 105.96103896],0
a3,1,0.263651,1.249484,[84 25] ; [102  21],[87.38793103 21.61206897] ; [98.61206897 24.38793103],0
d1,1,0.275825,1.187544,[71 38] ; [89 35],[74.84978541 34.15021459] ; [85.15021459 38.84978541],0
b1,1,0.305921,1.048203,[53 56] ; [52 72],[49.12017167 59.87982833] ; [55.87982833 68.12017167],0
d2,1,0.315857,1.006023,[66 43] ; [67 57],[62.21888412 46.78111588] ; [70.78111588 53.21888412],0
a5,1,0.330928,0.945265,[87 22] ; [105  19],[89.81974249 19.18025751] ; [102.18025751  21.81974249],0
