Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,7.2e-05,15.763491,[ 2 35] ; [20 25],[ 9.92682927 27.07317073] ; [12.07317073 32.92682927],1
d4,1,0.001098,10.654058,[14 22] ; [33 11],[21.15 14.85] ; [25.85 18.15],0
p4,1,0.002729,8.980651,[ 6 31] ; [21 23],[12.33333333 24.66666667] ; [14.66666667 29.33333333],0
d3,1,0.009349,6.754931,[10 27] ; [25 20],[15.79268293 21.20731707] ; [19.20731707 25.79268293],0
a7,1,0.011677,6.359324,[14 23] ; [29 15],[19.64197531 17.35802469] ; [23.35802469 20.64197531],0
v4,1,0.033022,4.544631,[23 13] ; [38  7],[27.11111111  8.88888889] ; [33.88888889 11.11111111],0
s8,1,0.044486,4.038037,[ 4 33] ; [13 32],[ 7.67073171 29.32926829] ; [ 9.32926829 35.67073171],0
u3,1,0.05203,3.774815,[10 17] ; [16  9],[13.5 13.5] ; [12.5 12.5],0
p7,1,0.056089,3.649425,[22 14] ; [17 26],[17.7721519 18.2278481] ; [21.2278481 21.7721519],0
r1,1,0.062909,3.458991,[18 19] ; [31 14],[22.1097561 14.8902439] ; [26.8902439 18.1097561],0
v3,1,0.082843,3.008233,[ 7 30] ; [16 28],[10.50617284 26.49382716] ; [12.49382716 31.50617284],0
s6,1,0.088816,2.895706,[12 25] ; [23 22],[15.79268293 21.20731707] ; [19.20731707 25.79268293],0
r4,1,0.09935,2.715951,[18 19] ; [30 15],[21.65853659 15.34146341] ; [26.34146341 18.65853659],0
a3,1,0.103222,2.65504,[10 27] ; [20 25],[13.53658537 23.46341463] ; [16.46341463 28.53658537],0
s7,1,0.106682,2.60269,[ 6 29] ; [14 28],[ 9.09090909 25.90909091] ; [10.90909091 31.09090909],0
d2,1,0.114738,2.487715,[ 9 28] ; [18 26],[12.33333333 24.66666667] ; [14.66666667 29.33333333],0
b4,1,0.115213,2.481224,[21 16] ; [33 12],[24.36585366 12.63414634] ; [29.63414634 15.36585366],0
p10,1,0.175919,1.831768,[ 6 31] ; [13 32],[ 8.57317073 28.42682927] ; [10.42682927 34.57317073],0
v2,1,0.1808,1.791032,[10 25] ; [19 25],[12.84810127 22.15189873] ; [16.15189873 27.84810127],0
p6,1,0.192762,1.696383,[12 24] ; [ 9 35],[ 9.45 26.55] ; [11.55 32.45],0
r3,1,0.221783,1.492798,[26 11] ; [36  8],[28.32098765  8.67901235] ; [33.67901235 10.32098765],0
a4,1,0.228604,1.449525,[ 2 35] ; [ 6 39],[ 3.6097561 33.3902439] ; [ 4.3902439 40.6097561],0
s1,1,0.270636,1.213519,[ 4 33] ; [ 2 43],[ 2.70731707 34.29268293] ; [ 3.29268293 41.70731707],0
s5,1,0.278816,1.172851,[ 4 32] ; [ 9 36],[ 5.77777778 30.22222222] ; [ 7.22222222 37.77777778],0
p2,1,0.303993,1.056596,[18 19] ; [27 18],[20.30487805 16.69512195] ; [24.69512195 20.30487805],0
b5,1,0.321996,0.980823,[19 18] ; [28 17],[21.20731707 15.79268293] ; [25.79268293 19.20731707],0
n5,1,0.339477,0.912407,[22 15] ; [22 23],[19.85365854 17.14634146] ; [24.14634146 20.85365854],0
b1,1,0.386329,0.750465,[17 20] ; [25 20],[18.95121951 18.04878049] ; [23.04878049 21.95121951],0
p5,1,0.406984,0.687595,[ 1 36] ; [ 3 42],[ 1.80487805 35.19512195] ; [ 2.19512195 42.80487805],0
n1,1,0.445601,0.581818,[ 6 10] ; [ 4 12],[ 5. 11.] ; [ 5. 11.],0
s4,1,0.463455,0.537538,[ 6 31] ; [10 34],[ 7.30864198 29.69135802] ; [ 8.69135802 35.30864198],0
r2,1,0.473765,0.51318,[26 11] ; [34 10],[27.40740741  9.59259259] ; [32.59259259 11.40740741],0
u2,1,0.481959,0.494428,[12 14] ; [14 11],[13.25490196 12.74509804] ; [12.74509804 12.25490196],0
n6,1,0.522688,0.408586,[23 14] ; [31 14],[24.36585366 12.63414634] ; [29.63414634 15.36585366],0
b3,1,0.538578,0.378182,[ 6 16] ; [ 6 24],[ 5.07692308 16.92307692] ; [ 6.92307692 23.07692308],0
b2,1,0.538578,0.378182,[ 6 16] ; [ 6 24],[ 5.07692308 16.92307692] ; [ 6.92307692 23.07692308],0
n2,1,0.60524,0.267165,[10  6] ; [8 7],[9.29032258 6.70967742] ; [8.70967742 6.29032258],0
a1,1,0.675914,0.174762,[ 1 36] ; [ 2 43],[ 1.35365854 35.64634146] ; [ 1.64634146 43.35365854],0
p11,1,0.704013,0.144331,[18 19] ; [20 25],[17.14634146 19.85365854] ; [20.85365854 24.14634146],0
n3,1,0.718894,0.129555,[10  6] ; [9 7],[9.5 6.5] ; [9.5 6.5],0
a8,1,0.801908,0.06294,[ 3 33] ; [ 4 36],[ 3.31578947 32.68421053] ; [ 3.68421053 36.31578947],0
p8,1,0.808921,0.058476,[ 9 28] ; [12 33],[ 9.47560976 27.52439024] ; [11.52439024 33.47560976],0
v1,1,0.822366,0.050401,[ 9 28] ; [10 35],[ 8.57317073 28.42682927] ; [10.42682927 34.57317073],0
s2,1,0.839378,0.041083,[11 26] ; [14 30],[11.41975309 25.58024691] ; [13.58024691 30.41975309],0
p3,1,0.851853,0.034877,[10 27] ; [13 32],[10.37804878 26.62195122] ; [12.62195122 32.37804878],0
u1,1,0.888379,0.0197,[ 1 36] ; [ 1 44],[ 0.90243902 36.09756098] ; [ 1.09756098 43.90243902],0
n4,1,0.891848,0.018487,[20 17] ; [25 20],[20.30487805 16.69512195] ; [24.69512195 20.30487805],0
p1,1,0.899802,0.015854,[ 3 34] ; [ 4 41],[ 3.15853659 33.84146341] ; [ 3.84146341 41.15853659],0
a6,1,0.925889,0.008652,[16 21] ; [19 26],[15.79268293 21.20731707] ; [19.20731707 25.79268293],0
s3,1,0.92706,0.00838,[15 22] ; [17 26],[14.8 22.2] ; [17.2 25.8],0
