Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.3e-05,19.081441,[3 5] ; [85  8],[6.97029703 1.02970297] ; [81.02970297 11.97029703],1
p10,1,0.022288,5.223185,[4 4] ; [75 15],[6.44897959 1.55102041] ; [72.55102041 17.44897959],0
a7,1,0.032903,4.550831,[2 6] ; [59 34],[4.83168317 3.16831683] ; [56.16831683 36.83168317],0
s1,1,0.04071,4.188034,[2 6] ; [ 5 85],[0.57142857 7.42857143] ; [ 6.42857143 83.57142857],0
p7,1,0.044269,4.046274,[2 6] ; [56 35],[4.68686869 3.31313131] ; [53.31313131 37.68686869],0
d2,1,0.055652,3.662447,[4 4] ; [19 74],[1.82178218 6.17821782] ; [21.17821782 71.82178218],0
p3,1,0.057307,3.613661,[1 7] ; [44 49],[3.56435644 4.43564356] ; [41.43564356 51.56435644],0
n3,1,0.063487,3.443878,[3 3] ; [18  3],[4.66666667 1.33333333] ; [16.33333333  4.66666667],0
r2,1,0.064628,3.414461,[6 2] ; [86  6],[7.36 0.64] ; [84.64  7.36],0
p4,1,0.092546,2.829518,[2 6] ; [52 41],[4.27722772 3.72277228] ; [49.72277228 43.27722772],0
d5,1,0.104869,2.629888,[2 6] ; [51 42],[4.1980198 3.8019802] ; [48.8019802 44.1980198],0
p9,1,0.107547,2.589899,[5 3] ; [78 14],[6.64 1.36] ; [76.36 15.64],0
a6,1,0.13013,2.290954,[3 5] ; [60 33],[4.99009901 3.00990099] ; [58.00990099 34.99009901],0
s8,1,0.14855,2.087078,[2 6] ; [48 45],[3.96039604 4.03960396] ; [46.03960396 46.96039604],0
p1,1,0.232058,1.4282,[2 6] ; [10 83],[0.95049505 7.04950495] ; [11.04950495 81.95049505],0
r1,1,0.239836,1.381559,[5 3] ; [73 18],[6.3030303 1.6969697] ; [71.6969697 19.3030303],0
d3,1,0.267135,1.231398,[1 7] ; [29 64],[2.37623762 5.62376238] ; [27.62376238 65.37623762],0
b4,1,0.269778,1.217877,[6 2] ; [51 42],[4.51485149 3.48514851] ; [52.48514851 40.51485149],0
p2,1,0.383955,0.758,[5 3] ; [71 22],[6.01980198 1.98019802] ; [69.98019802 23.01980198],0
s4,1,0.394627,0.724638,[3 5] ; [22 70],[2. 6.] ; [23. 69.],0
b1,1,0.409819,0.679325,[2 6] ; [37 56],[3.08910891 4.91089109] ; [35.91089109 57.08910891],0
v4,1,0.419612,0.651403,[7 1] ; [87  5],[7.52 0.48] ; [86.48  5.52],0
n1,1,0.455924,0.555882,[3 3] ; [ 7 14],[2.22222222 3.77777778] ; [ 7.77777778 13.22222222],0
n2,1,0.457901,0.55102,[4 2] ; [17  4],[4.66666667 1.33333333] ; [16.33333333  4.66666667],0
s3,1,0.499941,0.455061,[3 3] ; [58 33],[3.77319588 2.22680412] ; [57.22680412 33.77319588],0
p12,1,0.525,0.404061,[1 7] ; [ 6 86],[0.56 7.44] ; [ 6.44 85.56],0
a4,1,0.567252,0.327302,[2 5] ; [18 74],[1.41414141 5.58585859] ; [18.58585859 73.41414141],0
v1,1,0.59855,0.277188,[3 5] ; [42 47],[3.71134021 4.28865979] ; [41.28865979 47.71134021],0
p8,1,0.615024,0.252923,[3 5] ; [43 49],[3.68 4.32] ; [42.32 49.68],0
b5,1,0.658007,0.195954,[4 4] ; [54 39],[4.59405941 3.40594059] ; [53.40594059 39.59405941],0
n6,1,0.681887,0.16801,[7 1] ; [76 17],[6.57425743 1.42574257] ; [76.42574257 16.57425743],0
a5,1,0.702037,0.146362,[4 4] ; [53 40],[4.51485149 3.48514851] ; [52.48514851 40.51485149],0
a3,1,0.73602,0.113655,[4 3] ; [47 46],[3.57 3.43] ; [47.43 45.57],0
s5,1,0.760321,0.093061,[3 5] ; [29 61],[2.6122449 5.3877551] ; [29.3877551 60.6122449],0
v3,1,0.766914,0.087861,[2 5] ; [31 60],[2.35714286 4.64285714] ; [30.64285714 60.35714286],0
p6,1,0.794906,0.067572,[2 6] ; [27 65],[2.32 5.68] ; [26.68 65.32],0
s7,1,0.830823,0.045645,[4 4] ; [48 41],[4.28865979 3.71134021] ; [47.71134021 41.28865979],0
b2,1,0.845366,0.038039,[1 5] ; [11 44],[1.18032787 4.81967213] ; [10.81967213 44.18032787],0
b3,1,0.845366,0.038039,[1 5] ; [11 44],[1.18032787 4.81967213] ; [10.81967213 44.18032787],0
s2,1,0.881406,0.022257,[4 4] ; [48 43],[4.2020202 3.7979798] ; [47.7979798 43.2020202],0
p11,1,0.931698,0.007346,[6 2] ; [71 22],[6.0990099 1.9009901] ; [70.9009901 22.0990099],0
u2,1,0.933476,0.006968,[2 2] ; [24 22],[2.08 1.92] ; [23.92 22.08],0
p5,1,0.96503,0.001922,[1 7] ; [12 80],[1.04 6.96] ; [11.96 80.04],0
