Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,98.363287,[578  19] ; [87 36],[551.39583333  45.60416667] ; [113.60416667   9.39583333],1
v4,1,1e-05,19.495456,[579  16] ; [108  14],[570.10460251  24.89539749] ; [116.89539749   5.10460251],1
r3,1,1.2e-05,19.085413,[576  16] ; [109  14],[567.16083916  24.83916084] ; [117.83916084   5.16083916],1
u1,1,5e-05,16.431425,[141 456] ; [  9 114],[124.375 472.625] ; [25.625 97.375],1
d4,1,0.000276,13.228793,[542  54] ; [98 25],[530.51460362  65.48539638] ; [109.48539638  13.51460362],1
s6,1,0.000343,12.819423,[415 169] ; [64 54],[398.48433048 185.51566952] ; [80.51566952 37.48433048],1
d1,1,0.000847,11.135178,[439 158] ; [72 51],[423.70416667 173.29583333] ; [87.29583333 35.70416667],1
a2,1,0.001134,10.594303,[178 419] ; [ 19 104],[163.34583333 433.65416667] ; [33.65416667 89.34583333],0
p2,1,0.001394,10.214194,[504  87] ; [88 32],[492.08438819  98.91561181] ; [99.91561181 20.08438819],0
n4,1,0.002729,8.98018,[475 120] ; [83 40],[462.40947075 132.59052925] ; [95.59052925 27.40947075],0
s8,1,0.00436,8.127423,[285 306] ; [42 81],[270.66806723 320.33193277] ; [56.33193277 66.66806723],0
d3,1,0.004908,7.913106,[459 138] ; [79 43],[446.71210014 150.28789986] ; [91.28789986 30.71210014],0
a7,1,0.006073,7.528577,[453 142] ; [79 44],[440.86350975 154.13649025] ; [91.13649025 31.86350975],0
a5,1,0.006295,7.463822,[475 122] ; [84 39],[463.50416667 133.49583333] ; [95.49583333 27.50416667],0
p4,1,0.007827,7.07273,[371 222] ; [60 61],[357.95938375 235.04061625] ; [73.04061625 47.95938375],0
a6,1,0.007879,7.060863,[426 170] ; [73 50],[413.63560501 182.36439499] ; [85.36439499 37.63560501],0
v2,1,0.011259,6.423906,[346 226] ; [57 62],[333.59768452 238.40231548] ; [69.40231548 49.59768452],0
p7,1,0.012736,6.205474,[374 202] ; [64 57],[361.96269727 214.03730273] ; [76.03730273 44.96269727],0
a8,1,0.013463,6.107217,[ 77 456] ; [  7 110],[ 68.88 464.12] ; [ 15.12 101.88],0
p8,1,0.013483,6.104566,[313 271] ; [49 70],[300.72261735 283.27738265] ; [61.27738265 57.72261735],0
v1,1,0.016426,5.756647,[331 250] ; [54 66],[319.09415121 261.90584879] ; [65.90584879 54.09415121],0
s7,1,0.017494,5.646103,[294 273] ; [47 71],[282.25839416 284.74160584] ; [58.74160584 59.25839416],0
s3,1,0.026935,4.89497,[339 249] ; [57 65],[327.95492958 260.04507042] ; [68.04507042 53.95492958],0
n5,1,0.039131,4.25518,[452 140] ; [83 40],[442.96503497 149.03496503] ; [92.03496503 30.96503497],0
a1,1,0.045869,3.986411,[ 27 570] ; [ 11 112],[ 31.50833333 565.49166667] ; [  6.49166667 116.50833333],0
p12,1,0.074206,3.187443,[ 46 542] ; [  4 118],[ 41.4084507 546.5915493] ; [  8.5915493 113.4084507],0
a3,1,0.096411,2.763928,[458 137] ; [86 37],[450.80779944 144.19220056] ; [93.19220056 29.80779944],0
a4,1,0.118715,2.434197,[310 286] ; [54 68],[302.15041783 293.84958217] ; [61.84958217 60.15041783],0
s2,1,0.140451,2.173012,[317 274] ; [57 66],[309.57142857 281.42857143] ; [64.42857143 58.57142857],0
u3,1,0.144199,2.132572,[89 49] ; [19 18],[85.16571429 52.83428571] ; [22.83428571 14.16571429],0
d2,1,0.146573,2.107558,[333 262] ; [59 62],[325.75418994 269.24581006] ; [66.24581006 54.75418994],0
n3,1,0.189449,1.721894,[96 35] ; [25 15],[92.69590643 38.30409357] ; [28.30409357 11.69590643],0
