Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,108.918847,[348  71] ; [54 90],[299.17939609 119.82060391] ; [102.82060391  41.17939609],1
n6,1,0.0,43.074566,[352  67] ; [84 62],[323.33451327  95.66548673] ; [112.66548673  33.33451327],1
a5,1,3e-06,21.533468,[307 114] ; [76 70],[284.37918871 136.62081129] ; [98.62081129 47.37918871],1
s7,1,2.6e-05,17.668836,[168 229] ; [ 31 108],[147.39365672 249.60634328] ; [51.60634328 87.39365672],1
r2,1,2.6e-05,17.667448,[386  27] ; [119  27],[373.10375671  39.89624329] ; [131.89624329  14.10375671],1
v3,1,6.2e-05,16.033894,[168 237] ; [ 31 107],[148.42541436 256.57458564] ; [50.57458564 87.42541436],1
p10,1,0.000176,14.073563,[318  97] ; [87 57],[300.67084079 114.32915921] ; [104.32915921  39.67084079],1
p11,1,0.000443,12.340482,[330  91] ; [93 53],[314.07936508 106.92063492] ; [108.92063492  37.07936508],1
s8,1,0.000643,11.646918,[157 263] ; [ 32 114],[140.24734982 279.75265018] ; [48.75265018 97.24734982],1
d1,1,0.000647,11.634393,[239 182] ; [59 87],[221.26631393 199.73368607] ; [76.73368607 69.26631393],1
d2,1,0.000784,11.27853,[205 214] ; [48 98],[187.62300885 231.37699115] ; [65.37699115 80.62300885],1
d5,1,0.000795,11.253908,[334  86] ; [96 50],[319.08127208 100.91872792] ; [110.91872792  35.08127208],1
p3,1,0.001038,10.758795,[189 229] ; [ 43 102],[172.24866785 245.75133215] ; [59.75133215 85.24866785],0
s6,1,0.001043,10.74982,[228 191] ; [56 89],[210.9858156 208.0141844] ; [73.0141844 71.9858156],0
a4,1,0.001583,9.979663,[185 232] ; [ 43 103],[168.87388988 248.12611012] ; [59.12611012 86.87388988],0
p6,1,0.00164,9.914799,[132 281] ; [ 26 117],[117.36330935 295.63669065] ; [ 40.63669065 102.36330935],0
p4,1,0.003359,8.601209,[232 186] ; [60 85],[216.79573712 201.20426288] ; [75.20426288 69.79573712],0
r4,1,0.003597,8.476725,[359  62] ; [109  37],[347.49206349  73.50793651] ; [120.50793651  25.49206349],0
n1,1,0.005126,7.834396,[40 55] ; [10 42],[32.31292517 62.68707483] ; [17.68707483 34.31292517],0
a2,1,0.006509,7.403669,[ 96 325] ; [ 18 128],[ 84.64550265 336.35449735] ; [ 29.35449735 116.64550265],0
p2,1,0.007228,7.215496,[333  84] ; [100  45],[321.28291815  95.71708185] ; [111.71708185  33.28291815],0
u1,1,0.008292,6.969307,[ 65 356] ; [ 10 136],[ 55.68783069 365.31216931] ; [ 19.31216931 126.68783069],0
p9,1,0.009811,6.668892,[331  84] ; [99 44],[319.80286738  95.19713262] ; [110.19713262  32.80286738],0
p12,1,0.016117,5.790095,[ 27 389] ; [  2 144],[ 21.46619217 394.53380783] ; [  7.53380783 138.46619217],0
r1,1,0.017342,5.66144,[323  96] ; [98 48],[312.21061947 106.78938053] ; [108.78938053  37.21061947],0
a8,1,0.017804,5.615344,[ 59 322] ; [ 10 125],[ 50.94767442 330.05232558] ; [ 18.05232558 116.94767442],0
r3,1,0.021644,5.274194,[389  31] ; [126  20],[382.15547703  37.84452297] ; [132.84452297  13.15547703],0
a3,1,0.021901,5.253604,[287 131] ; [85 61],[275.70212766 142.29787234] ; [96.29787234 49.70212766],0
d4,1,0.023187,5.154405,[334  86] ; [102  43],[324.10619469  95.89380531] ; [111.89380531  33.10619469],0
v1,1,0.02352,5.12972,[207 200] ; [57 86],[195.36 211.64] ; [68.64 74.36],0
s3,1,0.029412,4.743347,[195 220] ; [53 92],[183.78571429 231.21428571] ; [64.21428571 80.78571429],0
v2,1,0.04357,4.07313,[222 180] ; [62 75],[211.81447124 190.18552876] ; [72.18552876 64.81447124],0
s2,1,0.045167,4.012398,[154 265] ; [ 40 105],[144.12411348 274.87588652] ; [49.87588652 95.12411348],0
p1,1,0.066769,3.36072,[ 33 386] ; [  5 140],[ 28.23049645 390.76950355] ; [  9.76950355 135.23049645],0
a1,1,0.074663,3.177418,[ 24 397] ; [  3 143],[ 20.04761905 400.95238095] ; [  6.95238095 139.04761905],0
a6,1,0.100871,2.691717,[290 130] ; [90 56],[281.97879859 138.02120141] ; [98.02120141 47.97879859],0
b3,1,0.120697,2.408259,[104 169] ; [20 51],[ 98.40697674 174.59302326] ; [25.59302326 45.40697674],0
b2,1,0.120697,2.408259,[104 169] ; [20 51],[ 98.40697674 174.59302326] ; [25.59302326 45.40697674],0
p7,1,0.126999,2.328813,[240 171] ; [73 70],[232.20758123 178.79241877] ; [80.79241877 62.20758123],0
u4,1,0.163131,1.94496,[ 11 410] ; [  1 145],[  8.91005291 412.08994709] ; [  3.08994709 142.91005291],0
u2,1,0.163751,1.939238,[69 64] ; [37 22],[73.42708333 59.57291667] ; [32.57291667 26.42708333],0
