Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,4.8e-05,16.52642,[61 10] ; [3 7],[56.09876543 14.90123457] ; [7.90123457 2.09876543],1
n5,1,0.000649,11.630369,[67  4] ; [6 4],[63.98765432  7.01234568] ; [9.01234568 0.98765432],1
p2,1,0.004519,8.0624,[65  6] ; [6 4],[62.2345679  8.7654321] ; [8.7654321 1.2345679],0
v2,1,0.013499,6.102494,[43 27] ; [2 8],[39.375 30.625] ; [5.625 4.375],0
r3,1,0.018875,5.513097,[69  2] ; [8 2],[67.49382716  3.50617284] ; [9.50617284 0.49382716],0
r4,1,0.018875,5.513097,[69  2] ; [8 2],[67.49382716  3.50617284] ; [9.50617284 0.49382716],0
s1,1,0.022714,5.190259,[ 5 66] ; [3 7],[ 7.01234568 63.98765432] ; [0.98765432 9.01234568],0
p6,1,0.029029,4.765883,[49 21] ; [3 6],[46.07594937 23.92405063] ; [5.92405063 3.07594937],0
p7,1,0.029236,4.753687,[58 12] ; [4 4],[55.64102564 14.35897436] ; [6.35897436 1.64102564],0
s2,1,0.043527,4.074811,[51 20] ; [4 6],[48.20987654 22.79012346] ; [6.79012346 3.20987654],0
s3,1,0.045406,4.003513,[54 17] ; [4 5],[51.475 19.525] ; [6.525 2.475],0
s8,1,0.056046,3.650704,[50 21] ; [4 6],[47.33333333 23.66666667] ; [6.66666667 3.33333333],0
b5,1,0.139631,2.182023,[32 39] ; [7 3],[34.18518519 36.81481481] ; [4.81481481 5.18518519],0
b4,1,0.153939,2.032778,[40 31] ; [8 2],[42.07407407 28.92592593] ; [5.92592593 4.07407407],0
a6,1,0.153939,2.032778,[40 31] ; [8 2],[42.07407407 28.92592593] ; [5.92592593 4.07407407],0
d1,1,0.15679,2.004919,[45 26] ; [4 6],[42.95061728 28.04938272] ; [6.04938272 3.95061728],0
p12,1,0.16823,1.898643,[22 49] ; [1 9],[20.16049383 50.83950617] ; [2.83950617 7.16049383],0
p1,1,0.192527,1.698172,[21 50] ; [1 9],[19.28395062 51.71604938] ; [2.71604938 7.28395062],0
a5,1,0.192527,1.698172,[50 21] ; [9 1],[51.71604938 19.28395062] ; [7.28395062 2.71604938],0
r2,1,0.194502,1.683186,[65  6] ; [7 2],[63.9  7.1] ; [8.1 0.9],0
d3,1,0.195275,1.677361,[50 21] ; [5 5],[48.20987654 22.79012346] ; [6.79012346 3.20987654],0
d4,1,0.199245,1.647902,[61 10] ; [7 3],[59.60493827 11.39506173] ; [8.39506173 1.60493827],0
v3,1,0.268127,1.226304,[41 29] ; [4 6],[39.375 30.625] ; [5.625 4.375],0
r1,1,0.318114,0.996684,[59 12] ; [7 3],[57.85185185 13.14814815] ; [8.14814815 1.85185185],0
s7,1,0.381562,0.765663,[54 12] ; [7 3],[52.97368421 13.02631579] ; [8.02631579 1.97368421],0
v4,1,0.430064,0.62265,[68  3] ; [9 1],[67.49382716  3.50617284] ; [9.50617284 0.49382716],0
n1,1,0.453388,0.562169,[8 6] ; [1 2],[7.41176471 6.58823529] ; [1.58823529 1.41176471],0
a8,1,0.462552,0.539712,[10 57] ; [2 6],[10.72 56.28] ; [1.28 6.72],0
d2,1,0.526161,0.4018,[36 35] ; [4 6],[35.0617284 35.9382716] ; [4.9382716 5.0617284],0
p11,1,0.577766,0.309861,[59 12] ; [9 1],[59.60493827 11.39506173] ; [8.39506173 1.60493827],0
v1,1,0.588279,0.29304,[48 22] ; [6 4],[47.25 22.75] ; [6.75 3.25],0
n6,1,0.591175,0.288514,[67  4] ; [9 1],[66.61728395  4.38271605] ; [9.38271605 0.61728395],0
p9,1,0.591175,0.288514,[67  4] ; [9 1],[66.61728395  4.38271605] ; [9.38271605 0.61728395],0
n3,1,0.59969,0.275463,[7 7] ; [2 1],[7.41176471 6.58823529] ; [1.58823529 1.41176471],0
n4,1,0.738101,0.111803,[66  5] ; [9 1],[65.74074074  5.25925926] ; [9.25925926 0.74074074],0
a2,1,0.808296,0.058867,[12 59] ; [2 8],[12.27160494 58.72839506] ; [1.72839506 8.27160494],0
b3,1,0.834462,0.043673,[24 27] ; [3 4],[23.74137931 27.25862069] ; [3.25862069 3.74137931],0
b2,1,0.834462,0.043673,[24 27] ; [3 4],[23.74137931 27.25862069] ; [3.25862069 3.74137931],0
a3,1,0.856727,0.032596,[55 16] ; [8 2],[55.22222222 15.77777778] ; [7.77777778 2.22222222],0
n2,1,0.86952,0.026984,[10  4] ; [2 1],[9.88235294 4.11764706] ; [2.11764706 0.88235294],0
a4,1,0.892462,0.018276,[30 41] ; [4 6],[29.80246914 41.19753086] ; [4.19753086 5.80246914],0
p8,1,0.897502,0.016594,[58 13] ; [8 2],[57.85185185 13.14814815] ; [8.14814815 1.85185185],0
p10,1,0.906113,0.013911,[64  7] ; [8 1],[63.9  7.1] ; [8.1 0.9],0
d5,1,0.93471,0.006711,[56 15] ; [8 2],[56.09876543 14.90123457] ; [7.90123457 2.09876543],0
s5,1,0.952931,0.003484,[46 22] ; [6 3],[45.92207792 22.07792208] ; [6.07792208 2.92207792],0
b1,1,0.959389,0.002593,[29 42] ; [4 6],[28.92592593 42.07407407] ; [4.07407407 5.92592593],0
a7,1,0.978144,0.000751,[50 21] ; [7 3],[49.96296296 21.03703704] ; [7.03703704 2.96296296],0
