Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,40.366194,[82  9] ; [130 118],[56.90855457 34.09144543] ; [155.09144543  92.90855457],1
s2,1,0.0,37.467021,[67 24] ; [ 89 157],[42.12462908 48.87537092] ; [113.87537092 132.12462908],1
s8,1,0.0,27.240967,[54 37] ; [ 71 178],[33.45588235 57.54411765] ; [ 91.54411765 157.45588235],1
s3,1,1e-06,25.115838,[66 22] ; [108 138],[45.84431138 42.15568862] ; [128.15568862 117.84431138],1
s7,1,3e-06,21.587556,[57 34] ; [ 81 155],[38.40366972 52.59633028] ; [ 99.59633028 136.40366972],1
s4,1,4e-06,21.408491,[26 64] ; [ 22 224],[12.85714286 77.14285714] ; [ 35.14285714 210.85714286],1
p12,1,3.4e-05,17.179449,[12 80] ; [  5 243],[ 4.6 87.4] ; [ 12.4 235.6],1
p7,1,0.001014,10.801257,[57 29] ; [110 131],[43.9204893 42.0795107] ; [123.0795107 117.9204893],0
r4,1,0.001673,9.877246,[85  7] ; [193  56],[75.00293255 16.99706745] ; [202.99706745  46.00293255],0
v1,1,0.012677,6.213613,[54 37] ; [107 136],[43.86526946 47.13473054] ; [117.13473054 125.86526946],0
a5,1,0.013844,6.057891,[72 20] ; [160  89],[62.59237537 29.40762463] ; [169.40762463  79.59237537],0
v4,1,0.014127,6.022159,[89  3] ; [217  30],[83.04424779  8.95575221] ; [222.95575221  24.04424779],0
p5,1,0.01778,5.617688,[10 82] ; [ 10 237],[ 5.42772861 86.57227139] ; [ 14.57227139 232.42772861],0
r2,1,0.017795,5.616194,[88  3] ; [216  29],[82.33333333  8.66666667] ; [221.66666667  23.33333333],0
n6,1,0.023895,5.102268,[83  9] ; [197  50],[75.98820059 16.01179941] ; [204.01179941  42.98820059],0
d2,1,0.02831,4.809069,[50 40] ; [104 143],[41.12759644 48.87240356] ; [112.87240356 134.12759644],0
p1,1,0.040619,4.191821,[10 81] ; [ 12 237],[ 5.88823529 85.11176471] ; [ 16.11176471 232.88823529],0
p6,1,0.041332,4.162339,[31 59] ; [ 57 187],[23.71257485 66.28742515] ; [ 64.28742515 179.71257485],0
r1,1,0.045956,3.983214,[75 16] ; [178  70],[67.91445428 23.08554572] ; [185.08554572  62.91445428],0
p10,1,0.05283,3.749283,[74 16] ; [176  69],[67.1641791 22.8358209] ; [182.8358209  62.1641791],0
p4,1,0.056024,3.651347,[43 47] ; [ 90 158],[35.41420118 54.58579882] ; [ 97.58579882 150.41420118],0
a4,1,0.092631,2.828038,[46 46] ; [ 98 148],[39.19526627 52.80473373] ; [104.80473373 141.19526627],0
b5,1,0.094959,2.788228,[50 42] ; [160  89],[56.6568915 35.3431085] ; [153.3431085  95.6568915],0
a3,1,0.096771,2.75797,[68 24] ; [159  88],[61.60471976 30.39528024] ; [165.39528024  81.60471976],0
d1,1,0.097634,2.74377,[54 38] ; [121 128],[47.21407625 44.78592375] ; [127.78592375 121.21407625],0
p8,1,0.112095,2.524438,[40 49] ; [ 86 157],[33.77710843 55.22289157] ; [ 92.22289157 150.77710843],0
n2,1,0.149453,2.077826,[23  4] ; [57 23],[20.18691589  6.81308411] ; [59.81308411 20.18691589],0
p9,1,0.171648,1.868488,[74 15] ; [185  58],[69.43072289 19.56927711] ; [189.56927711  53.43072289],0
v3,1,0.175936,1.831618,[35 54] ; [ 76 166],[29.84592145 59.15407855] ; [ 81.15407855 160.84592145],0
n3,1,0.197835,1.658282,[20  7] ; [47 31],[17.22857143  9.77142857] ; [49.77142857 28.22857143],0
a2,1,0.232342,1.426465,[24 68] ; [ 50 199],[19.96480938 72.03519062] ; [ 54.03519062 194.96480938],0
n4,1,0.251192,1.316663,[79 12] ; [203  46],[75.47647059 15.52352941] ; [206.52352941  42.47647059],0
b1,1,0.271815,1.207564,[40 52] ; [ 92 157],[35.61290323 56.38709677] ; [ 96.38709677 152.61290323],0
d4,1,0.27402,1.196513,[73 18] ; [184  63],[69.19230769 21.80769231] ; [187.80769231  59.19230769],0
p2,1,0.291173,1.114188,[73 19] ; [183  65],[69.27058824 22.72941176] ; [186.72941176  61.27058824],0
r3,1,0.293121,1.105233,[83  8] ; [215  32],[80.23076923 10.76923077] ; [217.76923077  29.23076923],0
u3,1,0.309714,1.031897,[14 10] ; [42 48],[11.78947368 12.21052632] ; [44.21052632 45.78947368],0
b2,1,0.322217,0.979926,[24 35] ; [47 94],[20.945 38.055] ; [50.055 90.945],0
b3,1,0.322217,0.979926,[24 35] ; [47 94],[20.945 38.055] ; [50.055 90.945],0
d5,1,0.392025,0.732653,[71 21] ; [180  68],[67.91764706 24.08235294] ; [183.08235294  64.91764706],0
