Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,30.715385,[24  2] ; [ 9 31],[13. 13.] ; [20. 20.],1
d4,1,1.4e-05,18.907139,[24  1] ; [17 23],[15.76923077  9.23076923] ; [25.23076923 14.76923077],1
a5,1,0.000421,12.438462,[20  6] ; [13 27],[13. 13.] ; [20. 20.],1
d2,1,0.000717,11.445503,[17  7] ; [11 29],[10.5 13.5] ; [17.5 22.5],1
p7,1,0.000833,11.165237,[ 1 25] ; [16 23],[ 6.8 19.2] ; [10.2 28.8],1
a4,1,0.001034,10.766046,[15 10] ; [ 8 32],[ 8.84615385 16.15384615] ; [14.15384615 25.84615385],0
a3,1,0.008151,7.000016,[19  7] ; [15 23],[13.8125 12.1875] ; [20.1875 17.8125],0
a2,1,0.027904,4.834019,[ 6 20] ; [ 2 38],[ 3.15151515 22.84848485] ; [ 4.84848485 35.15151515],0
v2,1,0.032017,4.597587,[13 12] ; [10 29],[ 8.984375 16.015625] ; [14.015625 24.984375],0
a7,1,0.035894,4.402116,[15 10] ; [13 26],[10.9375 14.0625] ; [17.0625 21.9375],0
s8,1,0.053248,3.736116,[ 4 22] ; [ 1 39],[ 1.96969697 24.03030303] ; [ 3.03030303 36.96969697],0
u1,1,0.053248,3.736116,[ 4 22] ; [ 1 39],[ 1.96969697 24.03030303] ; [ 3.03030303 36.96969697],0
a6,1,0.069113,3.303966,[17  9] ; [17 23],[13.39393939 12.60606061] ; [20.60606061 19.39393939],0
v1,1,0.071089,3.257692,[10 14] ; [ 8 31],[ 6.85714286 17.14285714] ; [11.14285714 27.85714286],0
r2,1,0.099736,2.709764,[15  8] ; [17 22],[11.87096774 11.12903226] ; [20.12903226 18.87096774],0
p8,1,0.105109,2.626263,[ 2 24] ; [ 9 30],[ 4.4 21.6] ; [ 6.6 32.4],0
r3,1,0.113727,2.501652,[14 11] ; [14 25],[10.9375 14.0625] ; [17.0625 21.9375],0
n6,1,0.138364,2.196055,[15 10] ; [16 23],[12.109375 12.890625] ; [18.890625 20.109375],0
u3,1,0.217044,1.52381,[3 4] ; [ 5 20],[1.75 5.25] ; [ 6.25 18.75],0
v3,1,0.254565,1.298077,[ 7 19] ; [ 6 33],[ 5.2 20.8] ; [ 7.8 31.2],0
p4,1,0.280203,1.166106,[ 9 17] ; [ 9 31],[ 7.09090909 18.90909091] ; [10.90909091 29.09090909],0
s7,1,0.2839,1.148325,[ 6 16] ; [ 6 32],[ 4.4 17.6] ; [ 7.6 30.4],0
b3,1,0.325792,0.965552,[ 5 14] ; [ 9 13],[ 6.48780488 12.51219512] ; [ 7.51219512 14.48780488],0
b2,1,0.325792,0.965552,[ 5 14] ; [ 9 13],[ 6.48780488 12.51219512] ; [ 7.51219512 14.48780488],0
n1,1,0.327929,0.957058,[ 4 13] ; [ 7 11],[ 5.34285714 11.65714286] ; [ 5.65714286 12.34285714],0
s4,1,0.367439,0.812308,[ 3 23] ; [ 8 32],[ 4.33333333 21.66666667] ; [ 6.66666667 33.33333333],0
n2,1,0.379581,0.772059,[ 6 11] ; [9 9],[7.28571429 9.71428571] ; [ 7.71428571 10.28571429],0
p2,1,0.401791,0.702959,[ 9 17] ; [18 22],[10.63636364 15.36363636] ; [16.36363636 23.63636364],0
p6,1,0.44025,0.595632,[ 5 20] ; [ 5 34],[ 3.90625 21.09375] ; [ 6.09375 32.90625],0
n5,1,0.475806,0.508461,[13 13] ; [23 16],[14.4 11.6] ; [21.6 17.4],0
v4,1,0.477906,0.503637,[15 11] ; [19 20],[13.6 12.4] ; [20.4 18.6],0
a8,1,0.501316,0.452149,[ 1 24] ; [ 3 33],[ 1.63934426 23.36065574] ; [ 2.36065574 33.63934426],0
a1,1,0.509245,0.435618,[ 3 23] ; [ 7 33],[ 3.93939394 22.06060606] ; [ 6.06060606 33.93939394],0
s2,1,0.511967,0.430045,[ 7 19] ; [ 8 32],[ 5.90909091 20.09090909] ; [ 9.09090909 30.90909091],0
p11,1,0.538818,0.377734,[ 9 17] ; [11 29],[ 7.87878788 18.12121212] ; [12.12121212 27.87878788],0
r1,1,0.54789,0.361111,[ 7 19] ; [ 8 31],[ 6. 20.] ; [ 9. 30.],0
p1,1,0.577091,0.310962,[ 3 23] ; [ 3 37],[ 2.36363636 23.63636364] ; [ 3.63636364 36.36363636],0
b4,1,0.61438,0.253846,[12 14] ; [21 19],[13. 13.] ; [20. 20.],0
u2,1,0.643094,0.214719,[3 4] ; [ 8 16],[2.48387097 4.51612903] ; [ 8.51612903 15.48387097],0
n4,1,0.681055,0.168941,[16 10] ; [22 17],[15.2 10.8] ; [22.8 16.2],0
p3,1,0.702719,0.145658,[ 6 19] ; [ 8 32],[ 5.38461538 19.61538462] ; [ 8.61538462 31.38461538],0
s5,1,0.721105,0.127436,[ 4 21] ; [ 5 34],[ 3.515625 21.484375] ; [ 5.484375 33.515625],0
s3,1,0.745304,0.105519,[ 9 17] ; [12 27],[ 8.4 17.6] ; [12.6 26.4],0
b1,1,0.852196,0.034714,[15 11] ; [24 16],[15.36363636 10.63636364] ; [23.63636364 16.36363636],0
n3,1,0.861864,0.030277,[8 9] ; [9 9],[8.25714286 8.74285714] ; [8.74285714 9.25714286],0
s1,1,0.870243,0.026683,[ 3 23] ; [ 4 35],[ 2.8 23.2] ; [ 4.2 34.8],0
b5,1,0.900535,0.015621,[16 10] ; [24 16],[15.75757576 10.24242424] ; [24.24242424 15.75757576],0
s6,1,0.947025,0.004415,[ 8 18] ; [12 28],[ 7.87878788 18.12121212] ; [12.12121212 27.87878788],0
p9,1,1.0,0.0,[ 6 18] ; [10 30],[ 6. 18.] ; [10. 30.],0
