Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,7.3e-05,15.742346,[14 44] ; [17  7],[21.92682927 36.07317073] ; [ 9.07317073 14.92682927],1
s6,1,0.000137,14.543274,[13 45] ; [16  8],[20.51219512 37.48780488] ; [ 8.48780488 15.51219512],1
s8,1,0.007096,7.24848,[ 4 54] ; [ 7 17],[ 7.7804878 50.2195122] ; [ 3.2195122 20.7804878],0
p3,1,0.008471,6.931077,[14 44] ; [13 11],[19.09756098 38.90243902] ; [ 7.90243902 16.09756098],0
p4,1,0.027433,4.863337,[19 40] ; [14 10],[23.45783133 35.54216867] ; [ 9.54216867 14.45783133],0
s4,1,0.056331,3.642251,[ 7 52] ; [ 7 17],[ 9.95180723 49.04819277] ; [ 4.04819277 19.95180723],0
p7,1,0.079435,3.07643,[22 37] ; [14 10],[25.59036145 33.40963855] ; [10.40963855 13.59036145],0
u1,1,0.085168,2.963404,[ 3 56] ; [ 4 20],[ 4.97590361 54.02409639] ; [ 2.02409639 21.97590361],0
s1,1,0.085168,2.963404,[ 3 56] ; [ 4 20],[ 4.97590361 54.02409639] ; [ 2.02409639 21.97590361],0
v1,1,0.098948,2.722418,[16 43] ; [11 13],[19.19277108 39.80722892] ; [ 7.80722892 16.19277108],0
v3,1,0.105672,2.617783,[12 44] ; [ 9 14],[14.88607595 41.11392405] ; [ 6.11392405 16.88607595],0
a5,1,0.146507,2.10825,[29 30] ; [16  8],[31.98795181 27.01204819] ; [13.01204819 10.98795181],0
a7,1,0.15803,1.992973,[37 22] ; [11 13],[34.12048193 24.87951807] ; [13.87951807 10.12048193],0
b4,1,0.171809,1.867086,[39 20] ; [12 12],[36.25301205 22.74698795] ; [14.74698795  9.25301205],0
p8,1,0.195134,1.678422,[16 43] ; [10 14],[18.48192771 40.51807229] ; [ 7.51807229 16.48192771],0
n2,1,0.207821,1.586538,[15 12] ; [5 1],[16.36363636 10.63636364] ; [3.63636364 2.36363636],0
s5,1,0.219771,1.505868,[ 8 50] ; [ 6 18],[ 9.90243902 48.09756098] ; [ 4.09756098 19.90243902],0
