Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.00394,8.311489,[2 1] ; [ 5 47],[0.38181818 2.61818182] ; [ 6.61818182 45.38181818],0
b2,1,0.033021,4.544695,[5 1] ; [10 18],[2.64705882 3.35294118] ; [12.35294118 15.64705882],0
b3,1,0.033021,4.544695,[5 1] ; [10 18],[2.64705882 3.35294118] ; [12.35294118 15.64705882],0
p5,1,0.044276,4.046009,[2 3] ; [ 6 56],[0.59701493 4.40298507] ; [ 7.40298507 54.59701493],0
s8,1,0.051882,3.779584,[5 1] ; [26 36],[2.73529412 3.26470588] ; [28.26470588 33.73529412],0
s7,1,0.053949,3.71429,[5 1] ; [24 33],[2.76190476 3.23809524] ; [26.23809524 30.76190476],0
p4,1,0.05635,3.641682,[5 1] ; [26 35],[2.7761194 3.2238806] ; [28.2238806 32.7761194],0
p3,1,0.074943,3.171285,[4 2] ; [19 43],[2.02941176 3.97058824] ; [20.97058824 41.02941176],0
d2,1,0.101956,2.674673,[5 1] ; [30 32],[3.08823529 2.91176471] ; [31.91176471 30.08823529],0
s3,1,0.11829,2.439815,[5 1] ; [31 31],[3.17647059 2.82352941] ; [32.82352941 29.17647059],0
p12,1,0.125804,2.343535,[1 5] ; [ 2 60],[0.26470588 5.73529412] ; [ 2.73529412 59.26470588],0
p7,1,0.158036,1.992917,[5 1] ; [32 28],[3.36363636 2.63636364] ; [33.63636364 26.36363636],0
a2,1,0.207272,1.590381,[3 3] ; [16 46],[1.67647059 4.32352941] ; [17.32352941 44.67647059],0
p8,1,0.212807,1.552228,[4 2] ; [25 37],[2.55882353 3.44117647] ; [26.44117647 35.55882353],0
a4,1,0.313581,1.015532,[4 2] ; [28 34],[2.82352941 3.17647059] ; [29.17647059 32.82352941],0
d1,1,0.352229,0.86541,[5 1] ; [40 22],[3.97058824 2.02941176] ; [41.02941176 20.97058824],0
n4,1,0.429926,0.623024,[5 1] ; [42 20],[4.14705882 1.85294118] ; [42.85294118 19.14705882],0
s2,1,0.480552,0.497611,[4 2] ; [32 30],[3.17647059 2.82352941] ; [32.82352941 29.17647059],0
p6,1,0.481332,0.495844,[3 3] ; [22 40],[2.20588235 3.79411765] ; [22.79411765 39.20588235],0
u1,1,0.485477,0.486535,[2 4] ; [13 49],[1.32352941 4.67647059] ; [13.67647059 48.32352941],0
a7,1,0.485477,0.486535,[4 2] ; [49 13],[4.67647059 1.32352941] ; [48.32352941 13.67647059],0
b4,1,0.629026,0.233384,[4 2] ; [35 27],[3.44117647 2.55882353] ; [35.55882353 26.44117647],0
r1,1,0.803519,0.061899,[5 1] ; [49 13],[4.76470588 1.23529412] ; [49.23529412 12.76470588],0
a6,1,0.891751,0.01852,[4 2] ; [43 19],[4.14705882 1.85294118] ; [42.85294118 19.14705882],0
s5,1,0.93167,0.007352,[2 4] ; [20 37],[2.0952381 3.9047619] ; [19.9047619 37.0952381],0
b5,1,0.957127,0.00289,[4 2] ; [42 20],[4.05882353 1.94117647] ; [41.94117647 20.05882353],0
d5,1,0.972758,0.001166,[5 1] ; [52 10],[5.02941176 0.97058824] ; [51.97058824 10.02941176],0
