Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.734737,[ 5 20] ; [87 36],[15.54054054  9.45945946] ; [76.45945946 46.54054054],1
p10,1,6.7e-05,15.888145,[10 15] ; [95 25],[18.10344828  6.89655172] ; [86.89655172 33.10344828],1
r3,1,0.008247,6.97914,[17  8] ; [109  14],[21.28378378  3.71621622] ; [104.71621622  18.28378378],0
v4,1,0.008775,6.86805,[17  8] ; [108  14],[21.2585034  3.7414966] ; [103.7414966  18.2585034],0
p9,1,0.015585,5.849129,[14 10] ; [98 23],[18.53793103  5.46206897] ; [93.46206897 27.53793103],0
s8,1,0.028201,4.815718,[ 3 22] ; [42 81],[ 7.60135135 17.39864865] ; [37.39864865 85.60135135],0
s2,1,0.039436,4.241999,[ 6 19] ; [57 66],[10.64189189 14.35810811] ; [52.35810811 70.64189189],0
n6,1,0.074668,3.177294,[16  9] ; [98 24],[19.3877551  5.6122449] ; [94.6122449 27.3877551],0
a8,1,0.075449,3.160301,[ 4 20] ; [  7 110],[ 1.87234043 22.12765957] ; [  9.12765957 107.87234043],0
a3,1,0.082638,3.012233,[13 12] ; [86 37],[16.72297297  8.27702703] ; [82.27702703 40.72297297],0
u2,1,0.110763,2.543305,[9 3] ; [18 19],[6.6122449 5.3877551] ; [20.3877551 16.6122449],0
v3,1,0.113808,2.500533,[ 5 20] ; [43 75],[ 8.39160839 16.60839161] ; [39.60839161 78.39160839],0
a5,1,0.118124,2.442025,[13 12] ; [84 39],[16.38513514  8.61486486] ; [80.61486486 42.38513514],0
p6,1,0.122161,2.389395,[ 5 19] ; [44 74],[ 8.28169014 15.71830986] ; [40.71830986 77.28169014],0
p7,1,0.124087,2.364959,[ 9 16] ; [64 57],[12.5 12.5] ; [60.5 60.5],0
s5,1,0.160163,1.972684,[ 4 21] ; [34 80],[ 6.83453237 18.16546763] ; [31.16546763 82.83453237],0
s7,1,0.162134,1.954213,[ 5 16] ; [47 71],[ 7.85611511 13.14388489] ; [44.14388489 73.85611511],0
b1,1,0.181837,1.782544,[14 11] ; [51 72],[10.97972973 14.02027027] ; [54.02027027 68.97972973],0
p8,1,0.219245,1.509305,[ 7 18] ; [49 70],[ 9.72222222 15.27777778] ; [46.27777778 72.72222222],0
b4,1,0.25046,1.320737,[13 12] ; [79 44],[15.54054054  9.45945946] ; [76.45945946 46.54054054],0
a4,1,0.258041,1.279234,[ 8 17] ; [54 68],[10.54421769 14.45578231] ; [51.45578231 70.54421769],0
p11,1,0.26779,1.22803,[16  9] ; [92 31],[18.24324324  6.75675676] ; [89.75675676 33.24324324],0
p12,1,0.277085,1.181332,[ 2 23] ; [  4 118],[ 1.02040816 23.97959184] ; [  4.97959184 117.02040816],0
u3,1,0.277129,1.181114,[4 8] ; [19 18],[5.63265306 6.36734694] ; [17.36734694 19.63265306],0
a2,1,0.330643,0.946378,[ 2 23] ; [ 19 104],[ 3.5472973 21.4527027] ; [ 17.4527027 105.5472973],0
d1,1,0.332323,0.939826,[12 13] ; [72 51],[14.18918919 10.81081081] ; [69.81081081 53.18918919],0
p2,1,0.345835,0.88868,[16  9] ; [88 32],[17.93103448  7.06896552] ; [86.06896552 33.93103448],0
p3,1,0.366857,0.814281,[ 9 15] ; [58 64],[11.01369863 12.98630137] ; [55.98630137 66.01369863],0
s3,1,0.40669,0.688455,[ 9 15] ; [57 65],[10.84931507 13.15068493] ; [55.15068493 66.84931507],0
a6,1,0.419258,0.652393,[17  8] ; [73 50],[15.2027027  9.7972973] ; [74.7972973 48.2027027],0
d2,1,0.424458,0.637939,[10 15] ; [59 62],[11.81506849 13.18493151] ; [57.18493151 63.81506849],0
n2,1,0.440401,0.595238,[6 4] ; [29 11],[7. 3.] ; [28. 12.],0
n4,1,0.471009,0.519608,[15 10] ; [83 40],[16.55405405  8.44594595] ; [81.44594595 41.55405405],0
n1,1,0.486126,0.485089,[3 7] ; [16 22],[3.95833333 6.04166667] ; [15.04166667 22.95833333],0
b5,1,0.536334,0.382378,[14 11] ; [77 46],[15.37162162  9.62837838] ; [75.62837838 47.37162162],0
u1,1,0.546923,0.362859,[ 1 24] ; [  9 114],[ 1.68918919 23.31081081] ; [  8.31081081 114.68918919],0
s6,1,0.570228,0.322301,[12 13] ; [64 54],[13.28671329 11.71328671] ; [62.71328671 55.28671329],0
d4,1,0.619406,0.246703,[21  4] ; [98 25],[20.10135135  4.89864865] ; [98.89864865 24.10135135],0
v1,1,0.64694,0.20978,[10 15] ; [54 66],[11.03448276 13.96551724] ; [52.96551724 67.03448276],0
n5,1,0.73609,0.113593,[16  9] ; [83 40],[16.72297297  8.27702703] ; [82.27702703 40.72297297],0
p1,1,0.775713,0.081173,[ 2 23] ; [ 12 110],[ 2.38095238 22.61904762] ; [ 11.61904762 110.38095238],0
p4,1,0.826111,0.048264,[13 12] ; [60 61],[12.5 12.5] ; [60.5 60.5],0
s1,1,0.856163,0.032855,[ 1 24] ; [  4 118],[ 0.85034014 24.14965986] ; [  4.14965986 117.85034014],0
p5,1,0.861588,0.030399,[ 2 23] ; [ 11 110],[ 2.2260274 22.7739726] ; [ 10.7739726 110.2260274],0
a1,1,0.879291,0.023064,[ 2 23] ; [ 11 112],[ 2.19594595 22.80405405] ; [ 10.80405405 112.19594595],0
n3,1,0.884175,0.021222,[6 4] ; [25 15],[6.2 3.8] ; [24.8 15.2],0
d3,1,0.942728,0.005161,[16  9] ; [79 43],[16.15646259  8.84353741] ; [78.84353741 43.15646259],0
b2,1,0.94648,0.004506,[ 7 11] ; [27 44],[ 6.87640449 11.12359551] ; [27.12359551 43.87640449],0
b3,1,0.94648,0.004506,[ 7 11] ; [27 44],[ 6.87640449 11.12359551] ; [27.12359551 43.87640449],0
s4,1,0.955328,0.003138,[ 5 20] ; [24 99],[ 4.89864865 20.10135135] ; [24.10135135 98.89864865],0
a7,1,0.982733,0.000468,[16  9] ; [79 44],[16.0472973  8.9527027] ; [78.9527027 44.0472973],0
v2,1,0.99268,8.4e-05,[12 13] ; [57 62],[11.97916667 13.02083333] ; [57.02083333 61.97916667],0
