Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,111.755892,[  2 102] ; [177 107],[47.97938144 56.02061856] ; [131.02061856 152.97938144],1
d5,1,0.0,85.061801,[42 62] ; [246  38],[77.19587629 26.80412371] ; [210.80412371  73.19587629],1
d3,1,0.0,68.312679,[29 74] ; [211  73],[63.87596899 39.12403101] ; [176.12403101 107.87596899],1
a3,1,2e-06,22.883878,[44 58] ; [197  85],[64.015625 37.984375] ; [176.984375 105.015625],1
d2,1,7e-06,20.326627,[22 82] ; [131 151],[41.22279793 62.77720207] ; [111.77720207 170.22279793],1
a4,1,1.2e-05,19.190287,[21 81] ; [128 155],[39.47532468 62.52467532] ; [109.52467532 173.47532468],1
a5,1,3e-05,17.392408,[49 55] ; [199  85],[66.4742268 37.5257732] ; [181.5257732 102.4742268],1
r1,1,0.000132,14.614496,[55 48] ; [209  74],[70.44559585 32.55440415] ; [193.55440415  89.44559585],1
u1,1,0.000397,12.545957,[  1 103] ; [ 37 247],[10.18556701 93.81443299] ; [ 27.81443299 256.18556701],1
a6,1,0.000846,11.138145,[56 48] ; [204  80],[69.69072165 34.30927835] ; [190.30927835  93.69072165],1
a2,1,0.001109,10.635496,[ 7 97] ; [ 59 225],[17.69072165 86.30927835] ; [ 48.30927835 235.69072165],0
r3,1,0.001745,9.800045,[79 23] ; [255  29],[88.25906736 13.74093264] ; [245.74093264  38.25906736],0
v2,1,0.001755,9.78952,[33 63] ; [146 130],[46.19354839 49.80645161] ; [132.80645161 143.19354839],0
a7,1,0.001997,9.551962,[56 47] ; [202  82],[68.66666667 34.33333333] ; [189.33333333  94.66666667],0
r4,1,0.005685,7.647668,[70 34] ; [229  55],[80.1443299 23.8556701] ; [218.8556701  65.1443299],0
p10,1,0.006545,7.393681,[55 45] ; [196  84],[66.05263158 33.94736842] ; [184.94736842  95.05263158],0
r2,1,0.015108,5.903783,[84 19] ; [251  26],[90.80263158 12.19736842] ; [244.19736842  32.80263158],0
n5,1,0.030851,4.661223,[77 26] ; [177 104],[68.13020833 34.86979167] ; [185.86979167  95.13020833],0
p1,1,0.035118,4.439418,[13 91] ; [ 17 265],[ 8.08290155 95.91709845] ; [ 21.91709845 260.08290155],0
p9,1,0.038593,4.278701,[63 37] ; [207  73],[71.05263158 28.94736842] ; [198.94736842  81.05263158],0
b4,1,0.062079,3.480947,[52 52] ; [172 112],[60.04123711 43.95876289] ; [163.95876289 120.04123711],0
n6,1,0.070131,3.279956,[70 33] ; [218  65],[76.84974093 26.15025907] ; [211.15025907  71.84974093],0
s5,1,0.07502,3.169617,[10 92] ; [ 48 231],[15.52755906 86.47244094] ; [ 42.47244094 236.52755906],0
p11,1,0.083762,2.990355,[66 38] ; [206  78],[72.90721649 31.09278351] ; [199.09278351  84.90721649],0
s1,1,0.084579,2.974641,[ 5 96] ; [  5 278],[ 2.63020833 98.36979167] ; [  7.36979167 275.63020833],0
p2,1,0.121581,2.396835,[71 33] ; [213  67],[76.91666667 27.08333333] ; [207.08333333  72.91666667],0
s6,1,0.153317,2.038939,[31 72] ; [106 173],[36.93979058 66.06020942] ; [100.06020942 178.93979058],0
s3,1,0.166252,1.916419,[26 76] ; [ 53 226],[21.1496063 80.8503937] ; [ 57.8503937 221.1496063],0
p12,1,0.240909,1.37527,[ 5 98] ; [  7 273],[ 3.22715405 99.77284595] ; [  8.77284595 271.22715405],0
v4,1,0.25107,1.317338,[86 16] ; [251  32],[89.28311688 12.71688312] ; [247.71688312  35.28311688],0
u3,1,0.291151,1.114292,[24 36] ; [42 44],[27.12328767 32.87671233] ; [38.87671233 47.12328767],0
p7,1,0.295494,1.09442,[48 53] ; [149 129],[52.49868074 48.50131926] ; [144.50131926 133.49868074],0
u2,1,0.356882,0.848834,[25 35] ; [42 43],[27.72413793 32.27586207] ; [39.27586207 45.72413793],0
p4,1,0.400531,0.706733,[44 60] ; [131 147],[47.64397906 56.35602094] ; [127.35602094 150.64397906],0
a1,1,0.418978,0.653181,[ 6 98] ; [ 11 273],[ 4.55670103 99.44329897] ; [ 12.44329897 271.55670103],0
v1,1,0.437059,0.603991,[41 62] ; [123 155],[44.33595801 58.66404199] ; [119.66404199 158.33595801],0
b1,1,0.510821,0.432385,[43 61] ; [107 177],[40.20618557 63.79381443] ; [109.79381443 174.20618557],0
s7,1,0.544616,0.367052,[13 84] ; [ 43 226],[14.84153005 82.15846995] ; [ 41.15846995 227.84153005],0
n3,1,0.560499,0.338842,[25  9] ; [51 24],[23.70642202 10.29357798] ; [52.29357798 22.70642202],0
p6,1,0.575207,0.314048,[25 76] ; [ 61 216],[22.97883598 78.02116402] ; [ 63.02116402 213.97883598],0
a8,1,0.581505,0.303807,[10 86] ; [ 22 236],[ 8.6779661 87.3220339] ; [ 23.3220339 234.6779661],0
b2,1,0.589272,0.291482,[18 41] ; [ 54 103],[19.66666667 39.33333333] ; [ 52.33333333 104.66666667],0
b3,1,0.589272,0.291482,[18 41] ; [ 54 103],[19.66666667 39.33333333] ; [ 52.33333333 104.66666667],0
p3,1,0.596067,0.280969,[38 66] ; [111 170],[40.24935065 63.75064935] ; [108.75064935 172.24935065],0
b5,1,0.609426,0.261011,[60 44] ; [172 112],[62.18556701 41.81443299] ; [169.81443299 114.18556701],0
p8,1,0.712437,0.135855,[42 58] ; [124 157],[43.56955381 56.43044619] ; [122.43044619 158.56955381],0
p5,1,0.795832,0.066949,[ 8 94] ; [ 20 263],[ 7.41818182 94.58181818] ; [ 20.58181818 262.41818182],0
n2,1,0.83154,0.045253,[23 12] ; [49 28],[22.5 12.5] ; [49.5 27.5],0
s4,1,0.867907,0.027661,[11 93] ; [ 28 252],[10.5625 93.4375] ; [ 28.4375 251.5625],0
n1,1,0.86908,0.027168,[13 22] ; [27 49],[12.61261261 22.38738739] ; [27.38738739 48.61261261],0
v3,1,0.966019,0.001815,[29 72] ; [ 79 194],[29.1657754 71.8342246] ; [ 78.8342246 194.1657754],0
n4,1,0.982682,0.000471,[70 33] ; [192  91],[69.9119171 33.0880829] ; [192.0880829  90.9119171],0
