Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1e-06,23.373576,[100   7] ; [2 4],[96.5840708 10.4159292] ; [5.4159292 0.5840708],1
r4,1,8e-06,20.045415,[93 14] ; [1 5],[89.00884956 17.99115044] ; [4.99115044 1.00884956],1
r1,1,0.006908,7.296837,[86 21] ; [2 4],[83.32743363 23.67256637] ; [4.67256637 1.32743363],0
s8,1,0.041546,4.153586,[43 62] ; [5 1],[45.40540541 59.59459459] ; [2.59459459 3.40540541],0
r3,1,0.046678,3.956954,[97  9] ; [4 2],[95.58928571 10.41071429] ; [5.41071429 0.58928571],0
s7,1,0.089303,2.886891,[41 58] ; [4 1],[42.83653846 56.16346154] ; [2.16346154 2.83653846],0
s2,1,0.169686,1.885714,[54 51] ; [1 4],[52.5 52.5] ; [2.5 2.5],0
a5,1,0.202969,1.62088,[79 28] ; [3 3],[77.6460177 29.3539823] ; [4.3539823 1.6460177],0
p11,1,0.366129,0.81676,[70 37] ; [5 1],[71.01769912 35.98230088] ; [3.98230088 2.01769912],0
d3,1,0.388487,0.743671,[71 36] ; [5 1],[71.96460177 35.03539823] ; [4.03539823 1.96460177],0
a8,1,0.389955,0.739082,[ 8 85] ; [1 4],[ 8.54081633 84.45918367] ; [0.45918367 4.54081633],0
b4,1,0.436059,0.60663,[73 34] ; [5 1],[73.85840708 33.14159292] ; [4.14159292 1.85840708],0
n6,1,0.456657,0.554077,[85 22] ; [4 2],[84.27433628 22.72566372] ; [4.72566372 1.27433628],0
n4,1,0.456657,0.554077,[85 22] ; [4 2],[84.27433628 22.72566372] ; [4.72566372 1.27433628],0
b5,1,0.472684,0.515695,[69 38] ; [3 3],[68.17699115 38.82300885] ; [3.82300885 2.17699115],0
p1,1,0.556082,0.346534,[10 97] ; [1 5],[10.4159292 96.5840708] ; [0.5840708 5.4159292],0
s5,1,0.594343,0.283613,[27 75] ; [1 5],[26.44444444 75.55555556] ; [1.55555556 4.44444444],0
p10,1,0.597704,0.278472,[73 33] ; [4 1],[73.53153153 32.46846847] ; [3.46846847 1.53153153],0
a4,1,0.610444,0.259529,[47 60] ; [2 4],[46.39823009 60.60176991] ; [2.60176991 3.39823009],0
a2,1,0.617933,0.248784,[26 81] ; [2 4],[26.51327434 80.48672566] ; [1.48672566 4.51327434],0
d1,1,0.641446,0.216856,[61 46] ; [4 2],[61.54867257 45.45132743] ; [3.45132743 2.54867257],0
a3,1,0.658479,0.195377,[80 27] ; [4 2],[79.53982301 27.46017699] ; [4.46017699 1.53982301],0
a7,1,0.661397,0.191831,[80 26] ; [5 1],[80.44642857 25.55357143] ; [4.55357143 1.44642857],0
s3,1,0.662217,0.190842,[52 52] ; [2 3],[51.52293578 52.47706422] ; [2.47706422 2.52293578],0
v1,1,0.711113,0.137168,[60 44] ; [3 3],[59.56363636 44.43636364] ; [3.43636364 2.56363636],0
u2,1,0.715441,0.132903,[17 10] ; [1 1],[16.75862069 10.24137931] ; [1.24137931 0.75862069],0
p8,1,0.73925,0.110787,[29 78] ; [2 4],[29.3539823 77.6460177] ; [1.6460177 4.3539823],0
d5,1,0.740682,0.109528,[83 24] ; [5 1],[83.32743363 23.67256637] ; [4.67256637 1.32743363],0
p9,1,0.740981,0.109266,[77 28] ; [4 1],[77.31818182 27.68181818] ; [3.68181818 1.31818182],0
b2,1,0.750427,0.101172,[26 35] ; [1 2],[25.734375 35.265625] ; [1.265625 1.734375],0
b3,1,0.750427,0.101172,[26 35] ; [1 2],[25.734375 35.265625] ; [1.265625 1.734375],0
p4,1,0.751076,0.100629,[46 60] ; [3 3],[46.375 59.625] ; [2.625 3.375],0
n1,1,0.765064,0.089304,[11 15] ; [1 2],[10.75862069 15.24137931] ; [1.24137931 1.75862069],0
n5,1,0.779341,0.078499,[77 30] ; [4 2],[76.69911504 30.30088496] ; [4.30088496 1.69911504],0
n3,1,0.783131,0.075758,[20  7] ; [2 1],[19.8  7.2] ; [2.2 0.8],0
d2,1,0.837668,0.041975,[57 48] ; [3 3],[56.75675676 48.24324324] ; [3.24324324 2.75675676],0
b1,1,0.841675,0.039901,[40 67] ; [2 4],[39.7699115 67.2300885] ; [2.2300885 3.7699115],0
p2,1,0.841675,0.039901,[67 40] ; [4 2],[67.2300885 39.7699115] ; [3.7699115 2.2300885],0
v2,1,0.842605,0.039427,[74 31] ; [4 2],[73.78378378 31.21621622] ; [4.21621622 1.78378378],0
p12,1,0.856336,0.032776,[15 92] ; [1 5],[15.15044248 91.84955752] ; [0.84955752 5.15044248],0
n2,1,0.862895,0.029822,[20  8] ; [2 1],[19.87096774  8.12903226] ; [2.12903226 0.87096774],0
a6,1,0.897775,0.016505,[74 33] ; [4 2],[73.85840708 33.14159292] ; [4.14159292 1.85840708],0
p6,1,0.92471,0.008931,[16 89] ; [1 5],[16.08108108 88.91891892] ; [0.91891892 5.08108108],0
s6,1,0.961861,0.002287,[69 36] ; [4 2],[69.05405405 35.94594595] ; [3.94594595 2.05405405],0
