Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,5e-06,20.980565,[33 20] ; [ 39 106],[19.27272727 33.72727273] ; [52.72727273 92.27272727],1
p2,1,0.002367,9.240473,[42 12] ; [79 67],[32.67 21.33] ; [88.33 57.67],0
p3,1,0.00364,8.455413,[18 37] ; [ 21 124],[10.725 44.275] ; [ 28.275 116.725],0
v4,1,0.007323,7.191932,[50  4] ; [108  35],[43.30964467 10.69035533] ; [114.69035533  28.30964467],0
p6,1,0.007369,7.180787,[13 40] ; [ 14 130],[ 7.26395939 45.73604061] ; [ 19.73604061 124.26395939],0
p9,1,0.008283,6.971192,[41 13] ; [78 63],[32.95384615 21.04615385] ; [86.04615385 54.95384615],0
p10,1,0.010198,6.6,[38 16] ; [72 72],[30. 24.] ; [80. 64.],0
r3,1,0.013577,6.092308,[51  4] ; [111  32],[45. 10.] ; [117.  26.],0
d1,1,0.052536,3.758611,[31 24] ; [60 86],[24.90049751 30.09950249] ; [66.09950249 79.90049751],0
r4,1,0.061192,3.50477,[43 12] ; [94 52],[37.48756219 17.51243781] ; [99.51243781 46.48756219],0
b3,1,0.066721,3.361912,[ 7 22] ; [36 47],[11.13392857 17.86607143] ; [31.86607143 51.13392857],0
b2,1,0.066721,3.361912,[ 7 22] ; [36 47],[11.13392857 17.86607143] ; [31.86607143 51.13392857],0
p11,1,0.068842,3.310408,[39 16] ; [83 63],[33.38308458 21.61691542] ; [88.61691542 57.38308458],0
n6,1,0.075923,3.150093,[41 14] ; [88 56],[35.65326633 19.34673367] ; [93.34673367 50.65326633],0
b1,1,0.08002,3.064503,[17 38] ; [65 81],[22.43781095 32.56218905] ; [59.56218905 86.43781095],0
r2,1,0.082526,3.014436,[51  4] ; [118  24],[47.18274112  7.81725888] ; [121.81725888  20.18274112],0
u2,1,0.100973,2.6901,[ 8 17] ; [26 24],[11.33333333 13.66666667] ; [22.66666667 27.33333333],0
a3,1,0.112586,2.517543,[30 25] ; [96 48],[34.8241206 20.1758794] ; [91.1758794 52.8241206],0
b5,1,0.119325,2.426157,[35 20] ; [75 71],[30.09950249 24.90049751] ; [79.90049751 66.09950249],0
a1,1,0.127293,2.325213,[ 1 54] ; [ 11 135],[ 3.28358209 51.71641791] ; [  8.71641791 137.28358209],0
s8,1,0.129883,2.293904,[10 45] ; [ 15 131],[ 6.84079602 48.15920398] ; [ 18.15920398 127.84079602],0
s2,1,0.159539,1.978586,[13 42] ; [ 22 123],[ 9.625 45.375] ; [ 25.375 119.625],0
p1,1,0.170048,1.882521,[ 6 48] ; [  8 137],[ 3.79899497 50.20100503] ; [ 10.20100503 134.79899497],0
a7,1,0.179828,1.799044,[38 17] ; [84 59],[33.88888889 21.11111111] ; [88.11111111 54.88888889],0
d3,1,0.227829,1.454365,[35 20] ; [78 66],[31.23115578 23.76884422] ; [81.76884422 62.23115578],0
s4,1,0.234366,1.414165,[ 3 52] ; [ 16 130],[ 5.19900498 49.80099502] ; [ 13.80099502 132.19900498],0
u1,1,0.250344,1.321384,[ 7 48] ; [ 11 135],[ 4.92537313 50.07462687] ; [ 13.07462687 132.92537313],0
d5,1,0.250494,1.320547,[40 15] ; [93 52],[36.575 18.425] ; [96.425 48.575],0
u3,1,0.317311,1.0,[ 8 17] ; [22 28],[10. 15.] ; [20. 30.],0
v2,1,0.321045,0.984684,[25 28] ; [55 85],[21.96891192 31.03108808] ; [58.03108808 81.96891192],0
n1,1,0.405416,0.692204,[ 3 10] ; [20 37],[4.27142857 8.72857143] ; [18.72857143 38.27142857],0
a4,1,0.440821,0.594145,[18 37] ; [56 89],[20.35 34.65] ; [53.65 91.35],0
a2,1,0.454536,0.559316,[ 9 46] ; [ 18 128],[ 7.3880597 47.6119403] ; [ 19.6119403 126.3880597],0
b4,1,0.540262,0.375054,[29 26] ; [84 62],[30.92039801 24.07960199] ; [82.07960199 63.92039801],0
v1,1,0.571697,0.319852,[15 39] ; [46 98],[16.63636364 37.36363636] ; [44.36363636 99.63636364],0
n5,1,0.592191,0.286935,[34 21] ; [83 61],[32.33668342 22.66331658] ; [84.66331658 59.33668342],0
n3,1,0.677961,0.17243,[9 5] ; [32 23],[8.31884058 5.68115942] ; [32.68115942 22.31884058],0
n2,1,0.698095,0.150462,[9 5] ; [34 24],[8.36111111 5.63888889] ; [34.63888889 23.36111111],0
s7,1,0.714323,0.133997,[ 9 42] ; [ 21 115],[ 8.18181818 42.81818182] ; [ 21.81818182 114.18181818],0
n4,1,0.723631,0.12504,[36 19] ; [91 54],[34.925 20.075] ; [92.075 52.925],0
