Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.000876,11.073168,[ 5 41] ; [14 18],[11.20512821 34.79487179] ; [ 7.79487179 24.20512821],1
p8,1,0.003999,8.284091,[10 38] ; [17 16],[16. 32.] ; [11. 22.],0
p2,1,0.010137,6.61065,[26 22] ; [27  6],[31.40740741 16.59259259] ; [21.59259259 11.40740741],0
s8,1,0.016328,5.767226,[10 37] ; [15 17],[14.87341772 32.12658228] ; [10.12658228 21.87341772],0
p7,1,0.027077,4.885875,[15 31] ; [19 14],[19.79746835 26.20253165] ; [14.20253165 18.79746835],0
p3,1,0.030031,4.707501,[13 34] ; [17 16],[17.625 29.375] ; [12.375 20.625],0
s6,1,0.042415,4.118563,[23 24] ; [23  9],[27.36708861 19.63291139] ; [18.63291139 13.36708861],0
s2,1,0.05843,3.581396,[16 32] ; [17 14],[20.05063291 27.94936709] ; [12.94936709 18.05063291],0
a3,1,0.070794,3.264521,[36 11] ; [19 14],[32.3125 14.6875] ; [22.6875 10.3125],0
s5,1,0.077054,3.125961,[ 7 39] ; [10 21],[10.15584416 35.84415584] ; [ 6.84415584 24.15584416],0
d3,1,0.118933,2.431315,[30 18] ; [26  7],[33.18518519 14.81481481] ; [22.81481481 10.18518519],0
s7,1,0.141655,2.159888,[15 30] ; [16 16],[18.11688312 26.88311688] ; [12.88311688 19.11688312],0
n2,1,0.147202,2.10101,[10  5] ; [10  1],[11.53846154  3.46153846] ; [8.46153846 2.53846154],0
p5,1,0.152645,2.045621,[ 1 47] ; [ 3 30],[ 2.37037037 45.62962963] ; [ 1.62962963 31.37037037],0
n6,1,0.198492,1.653432,[27 19] ; [24  9],[29.69620253 16.30379747] ; [21.30379747 11.69620253],0
v4,1,0.218375,1.51502,[40  7] ; [31  2],[41.7125  5.2875] ; [29.2875  3.7125],0
v3,1,0.234522,1.413223,[16 28] ; [16 16],[18.52631579 25.47368421] ; [13.47368421 18.52631579],0
u1,1,0.271502,1.209143,[ 7 41] ; [ 8 25],[ 8.88888889 39.11111111] ; [ 6.11111111 26.88888889],0
d5,1,0.318286,0.995977,[33 15] ; [26  7],[34.96296296 13.03703704] ; [24.03703704  8.96296296],0
r3,1,0.325042,0.968551,[41  6] ; [31  2],[42.3  4.7] ; [29.7  3.3],0
s4,1,0.32856,0.954567,[ 4 43] ; [ 5 27],[ 5.35443038 41.64556962] ; [ 3.64556962 28.35443038],0
r2,1,0.371233,0.799535,[44  3] ; [29  4],[42.8875  4.1125] ; [30.1125  2.8875],0
u2,1,0.407626,0.685714,[6 4] ; [6 8],[5. 5.] ; [7. 7.],0
u3,1,0.462325,0.54026,[6 6] ; [9 5],[6.92307692 5.07692308] ; [8.07692308 5.92307692],0
r4,1,0.468304,0.525974,[36 12] ; [27  6],[37.33333333 10.66666667] ; [25.66666667  7.33333333],0
s1,1,0.498191,0.458787,[ 3 44] ; [ 1 32],[ 2.35 44.65] ; [ 1.65 31.35],0
b5,1,0.561785,0.336623,[32 16] ; [24  9],[33.18518519 14.81481481] ; [22.81481481 10.18518519],0
