Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2e-06,22.935303,[15 18] ; [80 12],[25.08  7.92] ; [69.92 22.08],1
r4,1,3.3e-05,17.217949,[ 6 27] ; [56 37],[16.23809524 16.76190476] ; [45.76190476 47.23809524],1
v4,1,0.000623,11.705856,[19 14] ; [80 13],[25.92857143  7.07142857] ; [73.07142857 19.92857143],1
p11,1,0.000817,11.201116,[13 20] ; [67 26],[20.95238095 12.04761905] ; [59.04761905 33.95238095],1
d4,1,0.001485,10.097385,[14 19] ; [68 25],[21.47619048 11.52380952] ; [60.52380952 32.47619048],0
p3,1,0.002006,9.544266,[ 3 29] ; [36 57],[ 9.984 22.016] ; [29.016 63.984],0
p10,1,0.002563,9.095026,[12 19] ; [63 28],[19.05737705 11.94262295] ; [55.94262295 35.05737705],0
p4,1,0.011556,6.377742,[ 7 25] ; [44 49],[13.056 18.944] ; [37.944 55.056],0
b1,1,0.029647,4.729619,[20 13] ; [36 57],[14.66666667 18.33333333] ; [41.33333333 51.66666667],0
p8,1,0.042392,4.119465,[ 7 25] ; [39 54],[11.776 20.224] ; [34.224 58.776],0
n4,1,0.055291,3.673279,[15 18] ; [60 33],[19.64285714 13.35714286] ; [55.35714286 37.64285714],0
p2,1,0.069249,3.300728,[15 16] ; [62 31],[19.25 11.75] ; [57.75 35.25],0
b4,1,0.082082,3.023194,[13 20] ; [53 40],[17.28571429 15.71428571] ; [48.71428571 44.28571429],0
s2,1,0.089993,2.874504,[ 3 30] ; [21 72],[ 6.28571429 26.71428571] ; [17.71428571 75.28571429],0
p9,1,0.116714,2.460867,[19 13] ; [66 23],[22.47933884  9.52066116] ; [62.52066116 26.47933884],0
d5,1,0.119182,2.428039,[18 15] ; [64 28],[21.648 11.352] ; [60.352 31.648],0
s6,1,0.124467,2.360192,[ 8 25] ; [36 56],[11.616 21.384] ; [32.384 59.616],0
n2,1,0.154561,2.026654,[7 7] ; [25 10],[9.14285714 4.85714286] ; [22.85714286 12.14285714],0
n5,1,0.187197,1.739542,[18 15] ; [62 30],[21.12 11.88] ; [58.88 33.12],0
a5,1,0.18939,1.722354,[13 20] ; [49 44],[16.23809524 16.76190476] ; [45.76190476 47.23809524],0
d1,1,0.199629,1.645085,[ 9 24] ; [37 56],[12.04761905 20.95238095] ; [33.95238095 59.04761905],0
a2,1,0.199872,1.643309,[ 5 28] ; [ 7 86],[ 3.14285714 29.85714286] ; [ 8.85714286 84.14285714],0
d2,1,0.201235,1.633388,[15 18] ; [30 61],[11.97580645 21.02419355] ; [33.02419355 57.97580645],0
p7,1,0.219263,1.509187,[11 22] ; [42 50],[13.992 19.008] ; [39.008 52.992],0
a1,1,0.300595,1.071554,[ 4 29] ; [ 6 87],[ 2.61904762 30.38095238] ; [ 7.38095238 85.61904762],0
r2,1,0.322137,0.980249,[21 11] ; [68 23],[23.15447154  8.84552846] ; [65.84552846 25.15447154],0
n1,1,0.335375,0.92803,[6 8] ; [10 25],[4.57142857 9.42857143] ; [11.42857143 23.57142857],0
a8,1,0.335405,0.927917,[ 1 31] ; [ 7 79],[ 2.16949153 29.83050847] ; [ 5.83050847 80.16949153],0
s7,1,0.341196,0.905932,[ 5 26] ; [21 65],[ 6.88888889 24.11111111] ; [19.11111111 66.88888889],0
v2,1,0.365918,0.81748,[ 9 23] ; [34 58],[11.09677419 20.90322581] ; [31.90322581 60.09677419],0
s8,1,0.389023,0.741994,[ 3 30] ; [14 79],[ 4.45238095 28.54761905] ; [12.54761905 80.45238095],0
a3,1,0.399079,0.7111,[16 17] ; [53 40],[18.07142857 14.92857143] ; [50.92857143 42.07142857],0
p5,1,0.430187,0.622318,[ 2 31] ; [10 83],[ 3.14285714 29.85714286] ; [ 8.85714286 84.14285714],0
p6,1,0.447031,0.578169,[ 7 24] ; [27 64],[ 8.63934426 22.36065574] ; [25.36065574 65.63934426],0
u3,1,0.449454,0.572028,[ 7 10] ; [12 27],[ 5.76785714 11.23214286] ; [13.23214286 25.76785714],0
a7,1,0.474987,0.510351,[17 16] ; [54 38],[18.744 14.256] ; [52.256 39.744],0
v3,1,0.520333,0.413232,[ 7 26] ; [25 68],[ 8.38095238 24.61904762] ; [23.61904762 69.38095238],0
d3,1,0.533524,0.387675,[15 17] ; [49 43],[16.51612903 15.48387097] ; [47.48387097 44.51612903],0
s5,1,0.551187,0.355194,[ 4 29] ; [15 76],[ 5.05645161 27.94354839] ; [13.94354839 77.05645161],0
p1,1,0.554083,0.350054,[ 4 29] ; [ 8 85],[ 3.14285714 29.85714286] ; [ 8.85714286 84.14285714],0
a4,1,0.640221,0.218453,[10 23] ; [32 60],[11.088 21.912] ; [30.912 61.088],0
b5,1,0.707873,0.140411,[19 14] ; [57 36],[19.9047619 13.0952381] ; [56.0952381 36.9047619],0
n3,1,0.710735,0.137544,[8 6] ; [22 13],[8.57142857 5.42857143] ; [21.42857143 13.57142857],0
s1,1,0.775799,0.08111,[ 1 32] ; [ 2 91],[ 0.78571429 32.21428571] ; [ 2.21428571 90.78571429],0
s4,1,0.78574,0.0739,[ 6 27] ; [15 78],[ 5.5 27.5] ; [15.5 77.5],0
a6,1,0.854252,0.033744,[18 15] ; [49 44],[17.54761905 15.45238095] ; [49.45238095 43.54761905],0
v1,1,0.877415,0.023792,[11 22] ; [29 62],[10.64516129 22.35483871] ; [29.35483871 61.64516129],0
u1,1,0.882793,0.021735,[ 2 31] ; [ 5 88],[ 1.83333333 31.16666667] ; [ 5.16666667 87.83333333],0
b3,1,0.909403,0.012949,[ 7 10] ; [21 32],[ 6.8 10.2] ; [21.2 31.8],0
b2,1,0.909403,0.012949,[ 7 10] ; [21 32],[ 6.8 10.2] ; [21.2 31.8],0
u2,1,0.991583,0.000111,[ 7 10] ; [16 23],[ 6.98214286 10.01785714] ; [16.01785714 22.98214286],0
