Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.001524,10.049046,[21 61] ; [14  9],[27.33333333 54.66666667] ; [ 7.66666667 15.33333333],0
p10,1,0.001969,9.578301,[31 50] ; [19  7],[37.85046729 43.14953271] ; [12.14953271 13.85046729],0
b5,1,0.002927,8.852696,[43 40] ; [22  4],[49.49541284 33.50458716] ; [15.50458716 10.49541284],0
n4,1,0.002997,8.809569,[50 33] ; [ 7 19],[43.40366972 39.59633028] ; [13.59633028 12.40366972],0
p11,1,0.006158,7.503589,[32 51] ; [18  8],[38.0733945 44.9266055] ; [11.9266055 14.0733945],0
p9,1,0.010265,6.588361,[39 42] ; [20  6],[44.6635514 36.3364486] ; [14.3364486 11.6635514],0
r4,1,0.011827,6.336693,[44 39] ; [21  5],[49.49541284 33.50458716] ; [15.50458716 10.49541284],0
a7,1,0.012912,6.181133,[48 35] ; [22  4],[53.30275229 29.69724771] ; [16.69724771  9.30275229],0
n5,1,0.018041,5.592193,[41 42] ; [ 6 20],[35.78899083 47.21100917] ; [11.21100917 14.78899083],0
b1,1,0.036852,4.357247,[45 38] ; [ 8 18],[40.35779817 42.64220183] ; [12.64220183 13.35779817],0
p6,1,0.052379,3.763634,[ 8 74] ; [ 6 18],[10.83018868 71.16981132] ; [ 3.16981132 20.83018868],0
s8,1,0.05294,3.745815,[14 69] ; [ 9 17],[17.51376147 65.48623853] ; [ 5.48623853 20.51376147],0
r1,1,0.055267,3.674012,[50 33] ; [21  5],[54.06422018 28.93577982] ; [16.93577982  9.06422018],0
p2,1,0.060648,3.519562,[40 43] ; [18  8],[44.16513761 38.83486239] ; [13.83486239 12.16513761],0
p3,1,0.081085,3.043018,[15 67] ; [ 9 17],[18.22222222 63.77777778] ; [ 5.77777778 20.22222222],0
r3,1,0.090824,2.859711,[56 27] ; [22  4],[59.39449541 23.60550459] ; [18.60550459  7.39449541],0
a4,1,0.148416,2.088459,[32 51] ; [ 6 20],[28.93577982 54.06422018] ; [ 9.06422018 16.93577982],0
a6,1,0.150902,2.063108,[47 35] ; [19  7],[50.11111111 31.88888889] ; [15.88888889 10.11111111],0
s6,1,0.178919,1.806576,[26 56] ; [12 14],[28.85185185 53.14814815] ; [ 9.14814815 16.85185185],0
s4,1,0.20303,1.620445,[15 68] ; [ 2 24],[12.94495413 70.05504587] ; [ 4.05504587 21.94495413],0
v4,1,0.223184,1.483783,[59 22] ; [22  4],[61.31775701 19.68224299] ; [19.68224299  6.31775701],0
s1,1,0.229372,1.444754,[ 4 78] ; [ 3 23],[ 5.31481481 76.68518519] ; [ 1.68518519 24.31481481],0
b4,1,0.248238,1.333195,[49 34] ; [12 14],[46.44954128 36.55045872] ; [14.55045872 11.44954128],0
a3,1,0.269257,1.220528,[54 28] ; [14 12],[51.62962963 30.37037037] ; [16.37037037  9.62962963],0
d3,1,0.321461,0.982991,[44 37] ; [17  9],[46.17757009 34.82242991] ; [14.82242991 11.17757009],0
d2,1,0.329725,0.949977,[34 48] ; [ 8 18],[31.88888889 50.11111111] ; [10.11111111 15.88888889],0
a1,1,0.349051,0.876905,[ 8 75] ; [ 1 25],[ 6.85321101 76.14678899] ; [ 2.14678899 23.85321101],0
n3,1,0.381785,0.764947,[23 15] ; [2 3],[22.09302326 15.90697674] ; [2.90697674 2.09302326],0
p5,1,0.386686,0.749336,[ 1 81] ; [ 1 25],[ 1.51851852 80.48148148] ; [ 0.48148148 25.51851852],0
b2,1,0.390443,0.737561,[13 28] ; [ 3 12],[11.71428571 29.28571429] ; [ 4.28571429 10.71428571],0
b3,1,0.390443,0.737561,[13 28] ; [ 3 12],[11.71428571 29.28571429] ; [ 4.28571429 10.71428571],0
u3,1,0.431175,0.619657,[13 16] ; [7 5],[14.14634146 14.85365854] ; [5.85365854 6.14634146],0
s3,1,0.493965,0.467878,[41 41] ; [11 15],[39.48148148 42.51851852] ; [12.51851852 13.48148148],0
p1,1,0.497383,0.460515,[ 6 76] ; [ 3 23],[ 6.83333333 75.16666667] ; [ 2.16666667 23.83333333],0
u2,1,0.529895,0.394593,[17 11] ; [6 6],[16.1 11.9] ; [6.9 5.1],0
s5,1,0.530236,0.393939,[13 65] ; [ 3 23],[12. 66.] ; [ 4. 22.],0
s2,1,0.590217,0.290005,[27 56] ; [ 7 19],[25.88990826 57.11009174] ; [ 8.11009174 17.88990826],0
r2,1,0.619093,0.247145,[65 16] ; [22  4],[65.85981308 15.14018692] ; [21.14018692  4.85981308],0
a8,1,0.643248,0.214519,[ 9 71] ; [ 2 23],[ 8.38095238 71.61904762] ; [ 2.61904762 22.38095238],0
v3,1,0.653689,0.201281,[19 59] ; [ 5 20],[18.17475728 59.82524272] ; [ 5.82524272 19.17475728],0
u1,1,0.670906,0.180544,[ 5 78] ; [ 1 25],[ 4.56880734 78.43119266] ; [ 1.43119266 24.56880734],0
s7,1,0.696435,0.152207,[21 54] ; [ 6 19],[20.25 54.75] ; [ 6.75 18.25],0
a5,1,0.70689,0.141403,[45 38] ; [13 13],[44.16513761 38.83486239] ; [13.83486239 12.16513761],0
d4,1,0.721521,0.12704,[59 22] ; [18  8],[58.28971963 22.71028037] ; [18.71028037  7.28971963],0
d1,1,0.732564,0.11677,[32 51] ; [11 15],[32.74311927 50.25688073] ; [10.25688073 15.74311927],0
a2,1,0.819635,0.051991,[11 72] ; [ 3 23],[10.66055046 72.33944954] ; [ 3.33944954 22.66055046],0
n1,1,0.857514,0.032234,[14 25] ; [2 3],[14.18181818 24.81818182] ; [1.81818182 3.18181818],0
v1,1,0.900641,0.015588,[33 49] ; [10 14],[33.26415094 48.73584906] ; [ 9.73584906 14.26415094],0
n2,1,0.913435,0.011817,[25 15] ; [3 2],[24.88888889 15.11111111] ; [3.11111111 1.88888889],0
v2,1,0.932259,0.007226,[27 50] ; [ 9 16],[27.17647059 49.82352941] ; [ 8.82352941 16.17647059],0
d5,1,0.944335,0.004875,[53 29] ; [17  9],[53.14814815 28.85185185] ; [16.85185185  9.14814815],0
