Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1.2e-05,19.090897,[ 6 20] ; [37 12],[14.90666667 11.09333333] ; [28.09333333 20.90666667],1
a3,1,0.001115,10.625981,[11 15] ; [39 10],[17.33333333  8.66666667] ; [32.66666667 16.33333333],0
r1,1,0.013813,6.061864,[15 11] ; [41  8],[19.41333333  6.58666667] ; [36.58666667 12.41333333],0
a4,1,0.016419,5.757443,[ 1 25] ; [13 36],[ 4.85333333 21.14666667] ; [ 9.14666667 39.85333333],0
d3,1,0.01965,5.442745,[ 7 19] ; [27 22],[11.78666667 14.21333333] ; [22.21333333 26.78666667],0
v3,1,0.023242,5.15029,[ 5 21] ; [22 26],[ 9.48648649 16.51351351] ; [17.51351351 30.48648649],0
v2,1,0.026764,4.905984,[ 7 18] ; [26 21],[11.45833333 13.54166667] ; [21.54166667 25.45833333],0
d2,1,0.045402,4.003638,[ 3 23] ; [16 33],[ 6.58666667 19.41333333] ; [12.41333333 36.58666667],0
n3,1,0.087375,2.922078,[3 4] ; [9 2],[4.66666667 2.33333333] ; [7.33333333 3.66666667],0
p3,1,0.091016,2.856313,[ 9 17] ; [27 22],[12.48 13.52] ; [23.52 25.48],0
a7,1,0.127838,2.318561,[14 12] ; [35 14],[16.98666667  9.01333333] ; [32.01333333 16.98666667],0
p9,1,0.133693,2.24909,[20  6] ; [44  5],[22.18666667  3.81333333] ; [41.81333333  7.18666667],0
b2,1,0.151127,2.060836,[ 5 11] ; [18 16],[7.36 8.64] ; [15.64 18.36],0
b3,1,0.151127,2.060836,[ 5 11] ; [18 16],[7.36 8.64] ; [15.64 18.36],0
p10,1,0.181312,1.78684,[19  7] ; [42  7],[21.14666667  4.85333333] ; [39.85333333  9.14666667],0
s1,1,0.217923,1.517997,[ 3 23] ; [ 2 47],[ 1.73333333 24.26666667] ; [ 3.26666667 45.73333333],0
r4,1,0.223313,1.482956,[20  6] ; [43  6],[21.84  4.16] ; [41.16  7.84],0
u2,1,0.233762,1.417824,[11  4] ; [5 5],[9.6 5.4] ; [6.4 3.6],0
p8,1,0.311129,1.025876,[15 11] ; [34 15],[16.98666667  9.01333333] ; [32.01333333 16.98666667],0
p11,1,0.31737,0.999752,[18  8] ; [39 10],[19.76  6.24] ; [37.24 11.76],0
r3,1,0.334963,0.929614,[22  4] ; [45  4],[23.22666667  2.77333333] ; [43.77333333  5.22666667],0
v1,1,0.406285,0.689645,[12 14] ; [27 21],[13.7027027 12.2972973] ; [25.2972973 22.7027027],0
p2,1,0.415725,0.662368,[21  5] ; [43  6],[22.18666667  3.81333333] ; [41.81333333  7.18666667],0
u3,1,0.466985,0.529101,[10  5] ; [8 2],[10.8  4.2] ; [7.2 2.8],0
b1,1,0.481518,0.495423,[10 16] ; [23 26],[11.44 14.56] ; [21.56 27.44],0
s4,1,0.521304,0.411312,[ 7 19] ; [10 39],[ 5.89333333 20.10666667] ; [11.10666667 37.89333333],0
s5,1,0.524209,0.405605,[ 8 17] ; [19 29],[ 9.24657534 15.75342466] ; [17.75342466 30.24657534],0
p7,1,0.560704,0.338487,[18  7] ; [32 17],[16.89189189  8.10810811] ; [33.10810811 15.89189189],0
a8,1,0.572879,0.317889,[ 3 22] ; [ 8 39],[ 3.81944444 21.18055556] ; [ 7.18055556 39.81944444],0
n2,1,0.605242,0.267161,[5 2] ; [9 2],[5.44444444 1.55555556] ; [8.55555556 2.44444444],0
n1,1,0.628745,0.233766,[3 4] ; [6 5],[3.5 3.5] ; [5.5 5.5],0
p4,1,0.656478,0.19783,[14 12] ; [29 20],[14.90666667 11.09333333] ; [28.09333333 20.90666667],0
b5,1,0.656478,0.19783,[14 12] ; [29 20],[14.90666667 11.09333333] ; [28.09333333 20.90666667],0
n4,1,0.665912,0.186421,[19  7] ; [38 11],[19.76  6.24] ; [37.24 11.76],0
p6,1,0.673785,0.177206,[12 13] ; [21 28],[11.14864865 13.85135135] ; [21.85135135 27.14864865],0
p5,1,0.694499,0.154258,[ 5 20] ; [ 8 41],[ 4.39189189 20.60810811] ; [ 8.60810811 40.39189189],0
p12,1,0.702241,0.146151,[ 2 24] ; [ 5 43],[ 2.45945946 23.54054054] ; [ 4.54054054 43.45945946],0
s6,1,0.743451,0.107116,[20  6] ; [36 13],[19.41333333  6.58666667] ; [36.58666667 12.41333333],0
n5,1,0.745363,0.105469,[22  4] ; [40  9],[21.49333333  4.50666667] ; [40.50666667  8.49333333],0
v4,1,0.760865,0.092626,[23  2] ; [46  3],[23.31081081  1.68918919] ; [45.68918919  3.31081081],0
d4,1,0.784296,0.074925,[14 12] ; [28 21],[14.56 11.44] ; [27.44 21.56],0
p1,1,0.788317,0.07209,[ 6 20] ; [10 39],[ 5.54666667 20.45333333] ; [10.45333333 38.54666667],0
b4,1,0.800625,0.063776,[13 13] ; [26 23],[13.52 12.48] ; [25.48 23.52],0
s3,1,0.838064,0.041767,[19  7] ; [34 14],[18.62162162  7.37837838] ; [34.37837838 13.62162162],0
s8,1,0.883019,0.021651,[16 10] ; [31 18],[16.29333333  9.70666667] ; [30.70666667 18.29333333],0
n6,1,0.926301,0.008556,[22  4] ; [41  7],[22.13513514  3.86486486] ; [40.86486486  7.13513514],0
r2,1,0.980585,0.000592,[23  2] ; [45  4],[22.97297297  2.02702703] ; [45.02702703  3.97297297],0
s2,1,0.994576,4.6e-05,[17  9] ; [32 17],[16.98666667  9.01333333] ; [32.01333333 16.98666667],0
