Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.002637,9.042826,[ 4 19] ; [19 14],[ 9.44642857 13.55357143] ; [13.55357143 19.44642857],0
b3,1,0.002637,9.042826,[ 4 19] ; [19 14],[ 9.44642857 13.55357143] ; [13.55357143 19.44642857],0
d5,1,0.003622,8.464082,[29 13] ; [54  5],[34.51485149  7.48514851] ; [48.48514851 10.51485149],0
p10,1,0.006011,7.546881,[28 12] ; [53  5],[33.06122449  6.93877551] ; [47.93877551 10.06122449],0
a3,1,0.016498,5.748962,[20 22] ; [42 17],[25.78217822 16.21782178] ; [36.21782178 22.78217822],0
d1,1,0.016498,5.748962,[20 22] ; [42 17],[25.78217822 16.21782178] ; [36.21782178 22.78217822],0
p9,1,0.018098,5.586671,[29 12] ; [51  6],[33.46938776  7.53061224] ; [46.53061224 10.46938776],0
s8,1,0.018164,5.580255,[ 5 37] ; [19 40],[ 9.98019802 32.01980198] ; [14.01980198 44.98019802],0
d4,1,0.018692,5.530141,[34  7] ; [57  2],[37.31  3.69] ; [53.69  5.31],0
n5,1,0.029135,4.759602,[24 18] ; [45 13],[28.98 13.02] ; [40.02 17.98],0
v4,1,0.031494,4.625811,[36  5] ; [57  1],[38.51515152  2.48484848] ; [54.48484848  3.51515152],0
r2,1,0.034362,4.476586,[37  5] ; [57  1],[39.48  2.52] ; [54.52  3.48],0
a2,1,0.043882,4.061113,[ 4 38] ; [15 44],[ 7.9009901 34.0990099] ; [11.0990099 47.9009901],0
n4,1,0.065604,3.389727,[24 18] ; [44 15],[28.27722772 13.72277228] ; [39.72277228 19.27722772],0
s2,1,0.079057,3.084172,[15 27] ; [31 27],[19.32 22.68] ; [26.68 31.32],0
b5,1,0.089293,2.887073,[17 25] ; [34 25],[21.20792079 20.79207921] ; [29.79207921 29.20792079],0
a4,1,0.10936,2.563439,[16 26] ; [32 27],[19.96039604 22.03960396] ; [28.03960396 30.96039604],0
v3,1,0.114615,2.489406,[ 9 32] ; [21 36],[12.55102041 28.44897959] ; [17.44897959 39.55102041],0
r4,1,0.115946,2.471252,[35  7] ; [55  4],[37.42574257  4.57425743] ; [52.57425743  6.42574257],0
u3,1,0.140393,2.173649,[ 9 13] ; [11  6],[11.28205128 10.71794872] ; [8.71794872 8.28205128],0
v2,1,0.161513,1.96,[18 24] ; [32 24],[21.42857143 20.57142857] ; [28.57142857 27.42857143],0
p8,1,0.185701,1.751395,[19 23] ; [34 24],[22.26 19.74] ; [30.74 27.26],0
s3,1,0.199094,1.649006,[17 25] ; [30 26],[20.14285714 21.85714286] ; [26.85714286 29.14285714],0
b4,1,0.201568,1.630974,[24 18] ; [41 18],[27.02970297 14.97029703] ; [37.97029703 21.02970297],0
