Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.011448,6.39438,[28  8] ; [16 17],[22.95652174 13.04347826] ; [21.04347826 11.95652174],0
r3,1,0.015649,5.841898,[25 10] ; [14 19],[20.07352941 14.92647059] ; [18.92647059 14.07352941],0
p11,1,0.06801,3.330406,[21 15] ; [12 21],[17.2173913 18.7826087] ; [15.7826087 17.2173913],0
v4,1,0.068915,3.308669,[27  8] ; [18 14],[23.50746269 11.49253731] ; [21.49253731 10.50746269],0
p6,1,0.088508,2.901305,[ 3 31] ; [ 8 25],[ 5.58208955 28.41791045] ; [ 5.41791045 27.58208955],0
p3,1,0.106221,2.609563,[10 26] ; [ 4 29],[ 7.30434783 28.69565217] ; [ 6.69565217 26.30434783],0
u2,1,0.131269,2.277433,[ 8 14] ; [13  9],[10.5 11.5] ; [10.5 11.5],0
p7,1,0.145038,2.12368,[11 23] ; [16 16],[13.90909091 20.09090909] ; [13.09090909 18.90909091],0
s7,1,0.176113,1.830125,[ 6 29] ; [10 22],[ 8.35820896 26.64179104] ; [ 7.64179104 24.35820896],0
b5,1,0.192668,1.697098,[22 14] ; [15 18],[19.30434783 16.69565217] ; [17.69565217 15.30434783],0
v1,1,0.221834,1.492468,[ 8 27] ; [12 21],[10.29411765 24.70588235] ; [ 9.70588235 23.29411765],0
a1,1,0.262304,1.256556,[ 1 35] ; [ 3 30],[ 2.08695652 33.91304348] ; [ 1.91304348 31.08695652],0
n4,1,0.275778,1.187777,[20 16] ; [14 19],[17.73913043 18.26086957] ; [16.26086957 16.73913043],0
b3,1,0.284307,1.146384,[ 4 14] ; [ 8 13],[ 5.53846154 12.46153846] ; [ 6.46153846 14.53846154],0
b2,1,0.284307,1.146384,[ 4 14] ; [ 8 13],[ 5.53846154 12.46153846] ; [ 6.46153846 14.53846154],0
b1,1,0.284713,1.144456,[15 21] ; [18 15],[17.2173913 18.7826087] ; [15.7826087 17.2173913],0
p4,1,0.339888,0.910853,[11 24] ; [ 7 26],[ 9.26470588 25.73529412] ; [ 8.73529412 24.26470588],0
v2,1,0.38387,0.758272,[13 21] ; [ 9 23],[11.33333333 22.66666667] ; [10.66666667 21.33333333],0
v3,1,0.419316,0.65223,[ 8 27] ; [ 5 28],[ 6.69117647 28.30882353] ; [ 6.30882353 26.69117647],0
p1,1,0.435402,0.608369,[ 4 31] ; [ 2 31],[ 3.08823529 31.91176471] ; [ 2.91176471 30.08823529],0
s2,1,0.445973,0.580867,[ 9 27] ; [11 22],[10.43478261 25.56521739] ; [ 9.56521739 23.43478261],0
s1,1,0.457033,0.553151,[ 4 32] ; [ 2 31],[ 3.13043478 32.86956522] ; [ 2.86956522 30.13043478],0
d4,1,0.481267,0.495991,[21 14] ; [17 16],[19.55882353 15.44117647] ; [18.44117647 14.55882353],0
p8,1,0.482287,0.493687,[13 23] ; [ 9 23],[11.64705882 24.35294118] ; [10.35294118 21.64705882],0
p2,1,0.49212,0.471888,[24 11] ; [20 13],[22.64705882 12.35294118] ; [21.35294118 11.64705882],0
d5,1,0.512307,0.429351,[17 19] ; [13 20],[15.65217391 20.34782609] ; [14.34782609 18.65217391],0
a4,1,0.534045,0.38669,[ 5 31] ; [ 3 30],[ 4.17391304 31.82608696] ; [ 3.82608696 29.17391304],0
d3,1,0.561391,0.337302,[16 20] ; [12 20],[14.82352941 21.17647059] ; [13.17647059 18.82352941],0
n5,1,0.569519,0.323487,[21 15] ; [17 16],[19.82608696 16.17391304] ; [18.17391304 14.82608696],0
p5,1,0.590127,0.290145,[ 2 33] ; [ 1 32],[ 1.54411765 33.45588235] ; [ 1.45588235 31.54411765],0
s3,1,0.592021,0.2872,[12 23] ; [13 19],[13.05970149 21.94029851] ; [11.94029851 20.05970149],0
r2,1,0.598661,0.27702,[18 16] ; [19 13],[19.06060606 14.93939394] ; [17.93939394 14.06060606],0
n3,1,0.600472,0.274284,[9 7] ; [ 9 10],[8.22857143 7.77142857] ; [9.77142857 9.22857143],0
a6,1,0.600848,0.273719,[12 24] ; [13 20],[13.04347826 22.95652174] ; [11.95652174 21.04347826],0
p10,1,0.622301,0.242647,[16 18] ; [17 15],[17. 17.] ; [16. 16.],0
p9,1,0.627029,0.236111,[17 19] ; [17 15],[18. 18.] ; [16. 16.],0
s4,1,0.629331,0.232969,[ 7 29] ; [ 8 25],[ 7.82608696 28.17391304] ; [ 7.17391304 25.82608696],0
d2,1,0.661802,0.191342,[ 9 26] ; [ 7 26],[ 8.23529412 26.76470588] ; [ 7.76470588 25.23529412],0
s5,1,0.700989,0.147445,[ 5 29] ; [ 6 27],[ 5.58208955 28.41791045] ; [ 5.41791045 27.58208955],0
d1,1,0.709581,0.138695,[ 9 27] ; [ 7 26],[ 8.34782609 27.65217391] ; [ 7.65217391 25.34782609],0
a3,1,0.742506,0.107937,[13 22] ; [11 22],[12.35294118 22.64705882] ; [11.64705882 21.35294118],0
n2,1,0.781745,0.076754,[10  6] ; [11  8],[9.6 6.4] ; [11.4  7.6],0
s6,1,0.804656,0.06117,[11 25] ; [11 22],[11.47826087 24.52173913] ; [10.52173913 22.47826087],0
s8,1,0.86364,0.029496,[ 6 30] ; [ 5 28],[ 5.73913043 30.26086957] ; [ 5.26086957 27.73913043],0
u3,1,0.920183,0.010041,[ 7 16] ; [ 7 15],[ 7.15555556 15.84444444] ; [ 6.84444444 15.15555556],0
n1,1,0.9293,0.007872,[ 4 12] ; [ 5 14],[ 4.11428571 11.88571429] ; [ 4.88571429 14.11428571],0
r1,1,0.941845,0.005322,[ 9 27] ; [ 8 25],[ 8.86956522 27.13043478] ; [ 8.13043478 24.86956522],0
a7,1,0.971223,0.001301,[15 20] ; [14 19],[14.92647059 20.07352941] ; [14.07352941 18.92647059],0
