Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,91.357775,[263 253] ; [254  47],[326.52631579 189.47368421] ; [190.47368421 110.52631579],1
p4,1,0.0,81.636491,[247 276] ; [241  63],[308.61426844 214.38573156] ; [179.38573156 124.61426844],1
p8,1,0.0,53.961029,[216 305] ; [206  97],[266.82281553 254.17718447] ; [155.17718447 147.82281553],1
p3,1,0.0,50.806139,[211 315] ; [200 104],[260.46506024 265.53493976] ; [150.53493976 153.46506024],1
p5,1,0.0,34.133092,[ 30 491] ; [ 57 248],[ 54.87530266 466.12469734] ; [ 32.12469734 272.87530266],1
s7,1,0.0,31.154196,[211 292] ; [183 110],[248.97236181 254.02763819] ; [145.02763819 147.97236181],1
s8,1,0.0,29.381703,[196 329] ; [172 131],[233.33333333 291.66666667] ; [134.66666667 168.33333333],1
p1,1,8e-06,20.019515,[ 27 496] ; [ 43 261],[ 44.26844015 478.73155985] ; [ 25.73155985 278.26844015],1
s5,1,8e-06,19.936355,[145 364] ; [127 161],[173.71141782 335.28858218] ; [ 98.28858218 189.71141782],1
n4,1,2.1e-05,18.07786,[373 151] ; [257  48],[398.21471653 125.78528347] ; [231.78528347  73.21471653],1
v1,1,3.2e-05,17.310849,[244 264] ; [190 111],[272.52410383 235.47589617] ; [161.47589617 139.52410383],1
p9,1,7.8e-05,15.596999,[415 104] ; [275  29],[435.12758202  83.87241798] ; [254.87241798  49.12758202],1
s6,1,0.000231,13.561437,[327 191] ; [224  72],[350.63636364 167.36363636] ; [200.36363636  95.63636364],1
s2,1,0.000318,12.959676,[246 275] ; [183 121],[270.92 250.08] ; [158.08 145.92],1
p12,1,0.000455,12.292074,[ 27 496] ; [ 36 267],[ 39.88983051 483.11016949] ; [ 23.11016949 279.88983051],1
p2,1,0.000527,12.017601,[415 110] ; [270  35],[433.28313253  91.71686747] ; [251.71686747  53.28313253],1
n5,1,0.000927,10.968134,[364 158] ; [244  60],[384.23244552 137.76755448] ; [223.76755448  80.23244552],1
n6,1,0.001036,10.762952,[428  97] ; [272  30],[444.37726723  80.62273277] ; [255.62273277  46.37726723],0
b2,1,0.001314,10.322504,[ 99 205] ; [ 91 103],[115.98393574 188.01606426] ; [ 74.01606426 119.98393574],0
b3,1,0.001314,10.322504,[ 99 205] ; [ 91 103],[115.98393574 188.01606426] ; [ 74.01606426 119.98393574],0
a1,1,0.001853,9.689335,[ 14 513] ; [ 22 283],[ 22.80288462 504.19711538] ; [ 13.19711538 291.80288462],0
d1,1,0.008714,6.880582,[295 232] ; [199 106],[312.90625 214.09375] ; [181.09375 123.90625],0
p10,1,0.009302,6.763911,[404 116] ; [258  45],[418.2746051 101.7253949] ; [243.7253949  59.2746051],0
u1,1,0.009774,6.675652,[ 83 444] ; [ 70 235],[ 96.91225962 430.08774038] ; [ 56.08774038 248.91225962],0
a4,1,0.011111,6.447456,[222 304] ; [156 148],[239.55180723 286.44819277] ; [138.44819277 165.55180723],0
b1,1,0.035762,4.408415,[181 346] ; [127 178],[195.09134615 331.90865385] ; [112.90865385 192.09134615],0
d3,1,0.047783,3.917594,[352 174] ; [222  80],[364.64251208 161.35748792] ; [209.35748792  92.64251208],0
d2,1,0.066039,3.378818,[245 280] ; [162 142],[257.75030157 267.24969843] ; [149.24969843 154.75030157],0
a3,1,0.086567,2.937086,[361 165] ; [225  78],[371.81664656 154.18335344] ; [214.18335344  88.81664656],0
d4,1,0.142973,2.145662,[426  99] ; [258  45],[433.69565217  91.30434783] ; [250.30434783  52.69565217],0
s3,1,0.147388,2.09908,[289 230] ; [185 119],[298.91373026 220.08626974] ; [175.08626974 128.91373026],0
a2,1,0.150497,2.067208,[120 407] ; [ 83 222],[128.58293269 398.41706731] ; [ 74.41706731 230.58293269],0
a5,1,0.155295,2.019455,[377 150] ; [232  73],[385.74879808 141.25120192] ; [223.25120192  81.74879808],0
s4,1,0.196762,1.666244,[ 83 440] ; [ 58 241],[ 89.71167883 433.28832117] ; [ 51.28832117 247.71167883],0
u4,1,0.210085,1.570843,[ 10 517] ; [ 10 295],[ 12.66826923 514.33173077] ; [  7.33173077 297.66826923],0
a6,1,0.230304,1.438984,[370 156] ; [201 102],[362.29915561 163.70084439] ; [208.70084439  94.29915561],0
