Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.025347,5.0,[8 1] ; [2 4],[6. 3.] ; [4. 2.],0
p3,1,0.132026,2.268519,[5 4] ; [1 5],[3.6 5.4] ; [2.4 3.6],0
n3,1,0.196706,1.666667,[3 2] ; [1 4],[2. 3.] ; [2. 3.],0
s5,1,0.197703,1.659259,[4 4] ; [1 5],[2.85714286 5.14285714] ; [2.14285714 3.85714286],0
b1,1,0.204894,1.607143,[3 6] ; [4 2],[4.2 4.8] ; [2.8 3.2],0
p11,1,0.204894,1.607143,[6 3] ; [2 4],[4.8 4.2] ; [3.2 2.8],0
r4,1,0.204894,1.607143,[6 3] ; [2 4],[4.8 4.2] ; [3.2 2.8],0
r1,1,0.263552,1.25,[5 4] ; [5 1],[6. 3.] ; [4. 2.],0
a3,1,0.263552,1.25,[7 2] ; [3 3],[6. 3.] ; [4. 2.],0
a7,1,0.263552,1.25,[7 2] ; [3 3],[6. 3.] ; [4. 2.],0
a5,1,0.263552,1.25,[7 2] ; [3 3],[6. 3.] ; [4. 2.],0
d5,1,0.263552,1.25,[7 2] ; [3 3],[6. 3.] ; [4. 2.],0
b4,1,0.263552,1.25,[5 4] ; [5 1],[6. 3.] ; [4. 2.],0
n4,1,0.291841,1.111111,[8 1] ; [4 2],[7.2 1.8] ; [4.8 1.2],0
n6,1,0.291841,1.111111,[8 1] ; [4 2],[7.2 1.8] ; [4.8 1.2],0
s7,1,0.291841,1.111111,[8 1] ; [4 2],[7.2 1.8] ; [4.8 1.2],0
p5,1,0.291841,1.111111,[1 8] ; [2 4],[1.8 7.2] ; [1.2 4.8],0
n1,1,0.303052,1.060714,[4 1] ; [3 3],[3.18181818 1.81818182] ; [3.81818182 2.18181818],0
d1,1,0.398025,0.714286,[5 4] ; [2 4],[4.2 4.8] ; [2.8 3.2],0
s6,1,0.518605,0.416667,[6 3] ; [3 3],[5.4 3.6] ; [3.6 2.4],0
d2,1,0.518605,0.416667,[6 3] ; [3 3],[5.4 3.6] ; [3.6 2.4],0
p4,1,0.518605,0.416667,[6 3] ; [3 3],[5.4 3.6] ; [3.6 2.4],0
d4,1,0.633553,0.227273,[7 2] ; [4 2],[6.6 2.4] ; [4.4 1.6],0
p9,1,0.756495,0.096154,[8 1] ; [5 1],[7.8 1.2] ; [5.2 0.8],0
p12,1,0.756495,0.096154,[1 8] ; [1 5],[1.2 7.8] ; [0.8 5.2],0
n5,1,0.756495,0.096154,[8 1] ; [5 1],[7.8 1.2] ; [5.2 0.8],0
p10,1,0.792147,0.069444,[7 2] ; [5 1],[7.2 1.8] ; [4.8 1.2],0
a2,1,0.792147,0.069444,[2 7] ; [1 5],[1.8 7.2] ; [1.2 4.8],0
v3,1,0.803017,0.062222,[3 6] ; [2 3],[3.21428571 5.78571429] ; [1.78571429 3.21428571],0
p8,1,0.832662,0.044643,[5 4] ; [3 3],[4.8 4.2] ; [3.2 2.8],0
a4,1,1.0,0.0,[3 6] ; [2 4],[3. 6.] ; [2. 4.],0
v1,1,1.0,0.0,[3 6] ; [2 4],[3. 6.] ; [2. 4.],0
d3,1,1.0,0.0,[6 3] ; [4 2],[6. 3.] ; [4. 2.],0
a6,1,1.0,0.0,[6 3] ; [4 2],[6. 3.] ; [4. 2.],0
