Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.000472,12.224339,[3 2] ; [ 1 26],[0.625 4.375] ; [ 3.375 23.625],1
n6,1,0.028877,4.774908,[2 3] ; [22  4],[3.87096774 1.12903226] ; [20.12903226  5.87096774],0
p9,1,0.04295,4.097354,[3 2] ; [25  2],[4.375 0.625] ; [23.625  3.375],0
n4,1,0.084382,2.978422,[2 3] ; [21  6],[3.59375 1.40625] ; [19.40625  7.59375],0
b5,1,0.106116,2.611126,[1 4] ; [16 11],[2.65625 2.34375] ; [14.34375 12.65625],0
s3,1,0.106116,2.611126,[1 4] ; [16 11],[2.65625 2.34375] ; [14.34375 12.65625],0
p11,1,0.131063,2.279865,[2 3] ; [20  7],[3.4375 1.5625] ; [18.5625  8.4375],0
d5,1,0.131063,2.279865,[2 3] ; [20  7],[3.4375 1.5625] ; [18.5625  8.4375],0
s6,1,0.141645,2.16,[1 4] ; [14 11],[2.5 2.5] ; [12.5 12.5],0
a5,1,0.189059,1.724932,[2 3] ; [19  8],[3.28125 1.71875] ; [17.71875  9.28125],0
d3,1,0.189854,1.718751,[4 1] ; [13 14],[2.65625 2.34375] ; [14.34375 12.65625],0
a7,1,0.189854,1.718751,[1 4] ; [14 13],[2.34375 2.65625] ; [12.65625 14.34375],0
v1,1,0.257899,1.28,[3 2] ; [ 9 18],[1.875 3.125] ; [10.125 16.875],0
s7,1,0.348314,0.879588,[1 4] ; [11 15],[1.93548387 3.06451613] ; [10.06451613 15.93548387],0
s1,1,0.374888,0.787399,[1 4] ; [ 2 25],[0.46875 4.53125] ; [ 2.53125 24.46875],0
n5,1,0.399075,0.711111,[3 2] ; [21  6],[3.75 1.25] ; [20.25  6.75],0
p3,1,0.425213,0.635861,[3 2] ; [11 16],[2.1875 2.8125] ; [11.8125 15.1875],0
a3,1,0.461264,0.542825,[4 1] ; [17 10],[3.28125 1.71875] ; [17.71875  9.28125],0
p7,1,0.522003,0.409935,[2 3] ; [15 12],[2.65625 2.34375] ; [14.34375 12.65625],0
p8,1,0.522007,0.409927,[1 4] ; [ 9 17],[1.61290323 3.38709677] ; [ 8.38709677 17.61290323],0
p2,1,0.555215,0.348057,[3 2] ; [19  7],[3.5483871 1.4516129] ; [18.4516129  7.5483871],0
d2,1,0.626354,0.237037,[2 3] ; [14 13],[2.5 2.5] ; [13.5 13.5],0
a4,1,0.645845,0.211178,[2 3] ; [ 8 19],[1.5625 3.4375] ; [ 8.4375 18.5625],0
s5,1,0.711923,0.136364,[1 4] ; [ 7 18],[1.33333333 3.66666667] ; [ 6.66666667 18.33333333],0
p4,1,0.737342,0.112476,[2 3] ; [13 14],[2.34375 2.65625] ; [12.65625 14.34375],0
p5,1,0.769279,0.086036,[1 4] ; [ 4 23],[0.78125 4.21875] ; [ 4.21875 22.78125],0
s4,1,0.769279,0.086036,[1 4] ; [ 4 23],[0.78125 4.21875] ; [ 4.21875 22.78125],0
b4,1,0.77864,0.079012,[4 1] ; [20  7],[3.75 1.25] ; [20.25  6.75],0
d4,1,0.77864,0.079012,[4 1] ; [20  7],[3.75 1.25] ; [20.25  6.75],0
b2,1,0.840342,0.040584,[2 3] ; [ 9 11],[2.2 2.8] ; [ 8.8 11.2],0
b3,1,0.840342,0.040584,[2 3] ; [ 9 11],[2.2 2.8] ; [ 8.8 11.2],0
b1,1,0.854,0.033862,[3 2] ; [15 12],[2.8125 2.1875] ; [15.1875 11.8125],0
r1,1,0.854,0.033862,[2 3] ; [12 15],[2.1875 2.8125] ; [11.8125 15.1875],0
d1,1,0.854,0.033862,[2 3] ; [12 15],[2.1875 2.8125] ; [11.8125 15.1875],0
a6,1,0.854,0.033862,[2 3] ; [12 15],[2.1875 2.8125] ; [11.8125 15.1875],0
v3,1,0.912084,0.01219,[1 4] ; [ 6 21],[1.09375 3.90625] ; [ 5.90625 21.09375],0
r2,1,0.923704,0.009172,[3 2] ; [15 11],[2.90322581 2.09677419] ; [15.09677419 10.90322581],0
