Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,29.204661,[62 13] ; [ 7 20],[50.73529412 24.26470588] ; [18.26470588  8.73529412],1
p11,1,0.000437,12.368832,[64 11] ; [14 13],[57.35294118 17.64705882] ; [20.64705882  6.35294118],1
p8,1,0.001066,10.708424,[58 16] ; [12 15],[51.28712871 22.71287129] ; [18.71287129  8.28712871],0
p4,1,0.013558,6.094815,[60 15] ; [15 12],[55.14705882 19.85294118] ; [19.85294118  7.14705882],0
n6,1,0.021885,5.254878,[66  8] ; [19  8],[62.27722772 11.72277228] ; [22.72277228  4.27722772],0
u3,1,0.025827,4.967575,[11 13] ; [8 1],[13.81818182 10.18181818] ; [5.18181818 3.81818182],0
v1,1,0.037186,4.341876,[42 32] ; [ 9 18],[37.36633663 36.63366337] ; [13.63366337 13.36633663],0
p2,1,0.049202,3.868444,[69  6] ; [21  6],[66.17647059  8.82352941] ; [23.82352941  3.17647059],0
p9,1,0.049202,3.868444,[69  6] ; [21  6],[66.17647059  8.82352941] ; [23.82352941  3.17647059],0
b4,1,0.121285,2.40065,[37 38] ; [18  9],[40.44117647 34.55882353] ; [14.55882353 12.44117647],0
d3,1,0.129199,2.302098,[52 23] ; [22  4],[54.95049505 20.04950495] ; [19.04950495  6.95049505],0
p5,1,0.129493,2.298568,[11 64] ; [ 1 26],[ 8.82352941 66.17647059] ; [ 3.17647059 23.82352941],0
u2,1,0.133975,2.245833,[ 9 15] ; [6 3],[10.90909091 13.09090909] ; [4.09090909 4.90909091],0
s8,1,0.202832,1.621863,[44 31] ; [12 15],[41.17647059 33.82352941] ; [14.82352941 12.17647059],0
d2,1,0.214523,1.540636,[34 41] ; [16 11],[36.76470588 38.23529412] ; [13.23529412 13.76470588],0
d4,1,0.319713,0.990121,[57 18] ; [23  4],[58.82352941 16.17647059] ; [21.17647059  5.82352941],0
