Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,1e-06,24.743501,[74  9] ; [24 24],[62.09160305 20.90839695] ; [35.90839695 12.09160305],1
p8,1,2e-06,22.860164,[55 28] ; [11 37],[41.81679389 41.18320611] ; [24.18320611 23.81679389],1
p3,1,8e-06,19.898634,[56 27] ; [13 35],[43.71755725 39.28244275] ; [25.28244275 22.71755725],1
p6,1,5e-05,16.444285,[39 43] ; [ 6 42],[28.38461538 53.61538462] ; [16.61538462 31.38461538],1
p4,1,6.2e-05,16.03239,[55 28] ; [14 33],[44.05384615 38.94615385] ; [24.94615385 22.05384615],1
p10,1,0.001638,9.916207,[70 13] ; [28 19],[62.56923077 20.43076923] ; [35.43076923 11.56923077],0
v2,1,0.00344,8.557918,[63 17] ; [26 22],[55.625 24.375] ; [33.375 14.625],0
n6,1,0.003624,8.463267,[74  9] ; [33 15],[67.79389313 15.20610687] ; [39.20610687  8.79389313],0
s7,1,0.003977,8.294314,[48 30] ; [16 30],[40.25806452 37.74193548] ; [23.74193548 22.25806452],0
r3,1,0.00945,6.735731,[80  3] ; [40  8],[76.03053435  6.96946565] ; [43.96946565  4.03053435],0
p11,1,0.009456,6.73453,[66 17] ; [28 20],[59.55725191 23.44274809] ; [34.44274809 13.55725191],0
v4,1,0.022723,5.189547,[80  3] ; [41  7],[76.66412214  6.33587786] ; [44.33587786  3.66412214],0
n5,1,0.030694,4.670001,[69 14] ; [32 16],[63.99236641 19.00763359] ; [37.00763359 10.99236641],0
b4,1,0.034433,4.473056,[45 38] ; [35 13],[50.6870229 32.3129771] ; [29.3129771 18.6870229],0
s1,1,0.034748,4.457529,[ 1 82] ; [ 4 42],[ 3.21705426 79.78294574] ; [ 1.78294574 44.21705426],0
p9,1,0.04008,4.214505,[68 15] ; [31 16],[63.20769231 19.79230769] ; [35.79230769 11.20769231],0
r1,1,0.056078,3.649749,[69 14] ; [33 15],[64.6259542 18.3740458] ; [37.3740458 10.6259542],0
s3,1,0.095396,2.780872,[47 36] ; [19 27],[42.46511628 40.53488372] ; [23.53488372 22.46511628],0
a4,1,0.115908,2.471761,[24 59] ; [ 8 40],[20.27480916 62.72519084] ; [11.72519084 36.27480916],0
d2,1,0.117702,2.447634,[ 9 74] ; [10 38],[12.03816794 70.96183206] ; [ 6.96183206 41.03816794],0
s5,1,0.140392,2.173657,[30 52] ; [11 35],[26.265625 55.734375] ; [14.734375 31.265625],0
n3,1,0.147569,2.097198,[16  3] ; [6 4],[14.4137931  4.5862069] ; [7.5862069 2.4137931],0
s8,1,0.163073,1.945498,[38 45] ; [16 32],[34.21374046 48.78625954] ; [19.78625954 28.21374046],0
