Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,8.9e-05,15.351907,[147  15] ; [20 11],[140.1761658  21.8238342] ; [26.8238342  4.1761658],1
p4,1,0.00032,12.948889,[104  59] ; [ 9 22],[94.94329897 68.05670103] ; [18.05670103 12.94329897],1
s5,1,0.000787,11.272506,[68 89] ; [ 3 26],[59.93010753 97.06989247] ; [11.06989247 17.93010753],1
r1,1,0.003837,8.359316,[133  30] ; [18 13],[126.87113402  36.12886598] ; [24.12886598  6.87113402],0
r4,1,0.025901,4.962628,[146  18] ; [23  8],[142.13333333  21.86666667] ; [26.86666667  4.13333333],0
d5,1,0.039343,4.245988,[131  32] ; [19 11],[126.68393782  36.31606218] ; [23.31606218  6.68393782],0
d4,1,0.043341,4.082045,[135  27] ; [21 10],[130.94300518  31.05699482] ; [25.05699482  5.94300518],0
a4,1,0.049519,3.85768,[73 90] ; [ 8 23],[68.05670103 94.94329897] ; [12.94329897 18.05670103],0
v4,1,0.049702,3.851491,[156   7] ; [26  4],[153.70984456   9.29015544] ; [28.29015544  1.70984456],0
n6,1,0.05195,3.777367,[139  24] ; [22  9],[135.27319588  27.72680412] ; [25.72680412  5.27319588],0
s7,1,0.06243,3.471619,[105  50] ; [15 15],[100.54054054  54.45945946] ; [19.45945946 10.54054054],0
d1,1,0.066127,3.376628,[98 66] ; [13 18],[93.35384615 70.64615385] ; [17.64615385 13.35384615],0
s4,1,0.068268,3.324177,[ 52 108] ; [ 5 26],[ 47.7486911 112.2513089] ; [ 9.2513089 21.7486911],0
s8,1,0.07285,3.217616,[87 77] ; [11 20],[82.42051282 81.57948718] ; [15.57948718 15.42051282],0
a3,1,0.085479,2.957521,[115  48] ; [17 14],[110.90721649  52.09278351] ; [21.09278351  9.90721649],0
a2,1,0.111896,2.527242,[ 43 121] ; [ 4 27],[ 39.52820513 124.47179487] ; [ 7.47179487 23.52820513],0
u3,1,0.120408,2.412005,[31 16] ; [6 8],[28.50819672 18.49180328] ; [8.49180328 5.50819672],0
r3,1,0.148399,2.088636,[156   6] ; [28  3],[154.44559585   7.55440415] ; [29.55440415  1.44559585],0
p9,1,0.20298,1.620801,[134  26] ; [23  8],[131.51832461  28.48167539] ; [25.48167539  5.51832461],0
a5,1,0.219729,1.506139,[113  50] ; [18 13],[110.06701031  52.93298969] ; [20.93298969 10.06701031],0
a8,1,0.226845,1.460533,[ 15 135] ; [ 5 23],[ 16.85393258 133.14606742] ; [ 3.14606742 24.85393258],0
b4,1,0.239607,1.382905,[98 66] ; [15 16],[95.03589744 68.96410256] ; [17.96410256 13.03589744],0
u1,1,0.252568,1.30904,[ 36 128] ; [ 4 27],[ 33.64102564 130.35897436] ; [ 6.35897436 24.64102564],0
p3,1,0.258672,1.27585,[78 85] ; [11 19],[75.16580311 87.83419689] ; [13.83419689 16.16580311],0
n2,1,0.325777,0.96561,[29 12] ; [7 1],[30.12244898 10.87755102] ; [5.87755102 2.12244898],0
d3,1,0.401635,0.703425,[115  47] ; [19 11],[113.0625  48.9375] ; [20.9375  9.0625],0
n3,1,0.442334,0.590219,[31 10] ; [5 3],[30.12244898 10.87755102] ; [5.87755102 2.12244898],0
s1,1,0.459465,0.547196,[ 11 153] ; [ 1 30],[ 10.09230769 153.90769231] ; [ 1.90769231 29.09230769],0
p6,1,0.500691,0.453471,[ 63 100] ; [10 21],[ 61.33505155 101.66494845] ; [11.66494845 19.33505155],0
r2,1,0.538741,0.377878,[152  10] ; [29  1],[152.71875   9.28125] ; [28.28125  1.71875],0
a7,1,0.545601,0.365257,[122  41] ; [24  6],[123.30569948  39.69430052] ; [22.69430052  7.30569948],0
d2,1,0.55665,0.345537,[83 80] ; [14 17],[81.5 81.5] ; [15.5 15.5],0
p2,1,0.583674,0.300333,[137  26] ; [24  6],[135.97409326  27.02590674] ; [25.02590674  4.97409326],0
p10,1,0.584931,0.298331,[132  31] ; [23  7],[130.90673575  32.09326425] ; [24.09326425  5.90673575],0
a1,1,0.600534,0.274191,[  9 155] ; [ 1 30],[  8.41025641 155.58974359] ; [ 1.58974359 29.41025641],0
b5,1,0.60973,0.260568,[98 66] ; [17 14],[96.71794872 67.28205128] ; [18.28205128 12.71794872],0
v2,1,0.617641,0.249198,[71 87] ; [12 18],[69.75531915 88.24468085] ; [13.24468085 16.75531915],0
u2,1,0.62243,0.242467,[27 20] ; [7 7],[26.19672131 20.80327869] ; [7.80327869 6.19672131],0
p1,1,0.62694,0.236234,[ 12 150] ; [ 3 27],[ 12.65625 149.34375] ; [ 2.34375 27.65625],0
p8,1,0.746788,0.104249,[78 83] ; [16 15],[78.82291667 82.17708333] ; [15.17708333 15.82291667],0
n1,1,0.772445,0.083624,[14 27] ; [2 5],[13.66666667 27.33333333] ; [2.33333333 4.66666667],0
v3,1,0.834491,0.043658,[ 45 115] ; [ 9 21],[ 45.47368421 114.52631579] ; [ 8.52631579 21.47368421],0
p11,1,0.85574,0.033051,[119  45] ; [22  9],[118.58461538  45.41538462] ; [22.41538462  8.58461538],0
n4,1,0.85574,0.033051,[119  45] ; [22  9],[118.58461538  45.41538462] ; [22.41538462  8.58461538],0
n5,1,0.861222,0.030562,[113  50] ; [21 10],[112.58762887  50.41237113] ; [21.41237113  9.58762887],0
b1,1,0.872954,0.02557,[66 98] ; [12 19],[65.6 98.4] ; [12.4 18.6],0
a6,1,0.986116,0.000303,[110  52] ; [21 10],[109.95854922  52.04145078] ; [21.04145078  9.95854922],0
b2,1,0.986666,0.000279,[28 61] ; [ 5 11],[27.97142857 61.02857143] ; [ 5.02857143 10.97142857],0
b3,1,0.986666,0.000279,[28 61] ; [ 5 11],[27.97142857 61.02857143] ; [ 5.02857143 10.97142857],0
p7,1,0.991032,0.000126,[105  55] ; [19 10],[104.97354497  55.02645503] ; [19.02645503  9.97354497],0
