Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.001954,9.592105,[13 44] ; [14 10],[19. 38.] ; [ 8. 16.],0
s6,1,0.005058,7.858481,[17 41] ; [15  9],[22.63414634 35.36585366] ; [ 9.36585366 14.63414634],0
s4,1,0.00727,7.204989,[ 7 52] ; [ 9 15],[11.37349398 47.62650602] ; [ 4.62650602 19.37349398],0
p2,1,0.008468,6.931695,[23 36] ; [17  7],[28.43373494 30.56626506] ; [11.56626506 12.43373494],0
p6,1,0.01318,6.144765,[ 6 51] ; [ 8 16],[ 9.85185185 47.14814815] ; [ 4.14814815 19.85185185],0
r4,1,0.015356,5.875156,[27 32] ; [18  6],[31.98795181 27.01204819] ; [13.01204819 10.98795181],0
n5,1,0.016664,5.731421,[30 29] ; [ 5 18],[25.18292683 33.81707317] ; [ 9.81707317 13.18292683],0
p4,1,0.018635,5.535415,[12 47] ; [11 13],[16.34939759 42.65060241] ; [ 6.65060241 17.34939759],0
d4,1,0.039529,4.237991,[37 20] ; [21  3],[40.81481481 16.18518519] ; [17.18518519  6.81481481],0
d2,1,0.041925,4.138211,[22 36] ; [15  9],[26.17073171 31.82926829] ; [10.82926829 13.17073171],0
s3,1,0.041925,4.138211,[22 36] ; [15  9],[26.17073171 31.82926829] ; [10.82926829 13.17073171],0
u3,1,0.049311,3.864734,[ 9 14] ; [7 2],[11.5 11.5] ; [4.5 4.5],0
p1,1,0.085168,2.963404,[ 3 56] ; [ 4 20],[ 4.97590361 54.02409639] ; [ 2.02409639 21.97590361],0
r2,1,0.133463,2.251753,[45 13] ; [22  2],[47.3902439 10.6097561] ; [19.6097561  4.3902439],0
a5,1,0.146507,2.10825,[29 30] ; [16  8],[31.98795181 27.01204819] ; [13.01204819 10.98795181],0
d1,1,0.15803,1.992973,[22 37] ; [13 11],[24.87951807 34.12048193] ; [10.12048193 13.87951807],0
n4,1,0.186548,1.744675,[25 34] ; [14 10],[27.72289157 31.27710843] ; [11.27710843 12.72289157],0
b1,1,0.23913,1.385717,[31 28] ; [16  8],[33.40963855 25.59036145] ; [13.59036145 10.40963855],0
v2,1,0.239558,1.383192,[16 38] ; [10 13],[18.23376623 35.76623377] ; [ 7.76623377 15.23376623],0
r3,1,0.261213,1.262315,[36 22] ; [18  6],[38.19512195 19.80487805] ; [15.80487805  8.19512195],0
n2,1,0.269544,1.219065,[16 17] ; [5 2],[17.325 15.675] ; [3.675 3.325],0
a8,1,0.284418,1.14586,[ 7 50] ; [ 1 22],[ 5.7 51.3] ; [ 2.3 20.7],0
v4,1,0.325836,0.965378,[37 21] ; [18  6],[38.90243902 19.09756098] ; [16.09756098  7.90243902],0
s2,1,0.329672,0.950185,[18 41] ; [10 14],[19.90361446 39.09638554] ; [ 8.09638554 15.90361446],0
v1,1,0.329672,0.950185,[18 41] ; [10 14],[19.90361446 39.09638554] ; [ 8.09638554 15.90361446],0
a6,1,0.334822,0.930158,[38 20] ; [13 11],[36.07317073 21.92682927] ; [14.92682927  9.07317073],0
p8,1,0.349886,0.873869,[11 45] ; [ 7 17],[12.6 43.4] ; [ 5.4 18.6],0
s1,1,0.362309,0.829874,[ 6 52] ; [ 1 23],[ 4.95121951 53.04878049] ; [ 2.04878049 21.95121951],0
b4,1,0.407977,0.684689,[31 28] ; [15  9],[32.69879518 26.30120482] ; [13.30120482 10.69879518],0
s5,1,0.45399,0.560672,[ 9 46] ; [ 5 16],[10.13157895 44.86842105] ; [ 3.86842105 17.13157895],0
b2,1,0.558527,0.342262,[10 20] ; [ 4 12],[ 9.13043478 20.86956522] ; [ 4.86956522 11.13043478],0
b3,1,0.558527,0.342262,[10 20] ; [ 4 12],[ 9.13043478 20.86956522] ; [ 4.86956522 11.13043478],0
p9,1,0.601461,0.272798,[24 31] ; [12 12],[25.06329114 29.93670886] ; [10.93670886 13.06329114],0
r1,1,0.629516,0.232718,[36 23] ; [16  8],[36.96385542 22.03614458] ; [15.03614458  8.96385542],0
u1,1,0.650114,0.205757,[ 4 55] ; [ 1 23],[ 3.55421687 55.44578313] ; [ 1.44578313 22.55421687],0
u2,1,0.680724,0.169312,[13 11] ; [5 3],[13.5 10.5] ; [4.5 3.5],0
v3,1,0.687618,0.161677,[13 41] ; [ 6 15],[13.68 40.32] ; [ 5.32 15.68],0
s7,1,0.687618,0.161677,[13 41] ; [ 6 15],[13.68 40.32] ; [ 5.32 15.68],0
d3,1,0.700105,0.148363,[33 24] ; [15  9],[33.77777778 23.22222222] ; [14.22222222  9.77777778],0
s8,1,0.715144,0.133193,[ 8 51] ; [ 4 20],[ 8.53012048 50.46987952] ; [ 3.46987952 20.53012048],0
d5,1,0.750457,0.101147,[39 19] ; [17  7],[39.6097561 18.3902439] ; [16.3902439  7.6097561],0
p10,1,0.80067,0.063746,[19 36] ; [ 9 15],[19.49367089 35.50632911] ; [ 8.50632911 15.49367089],0
n1,1,0.806981,0.059693,[11 22] ; [2 5],[10.725 22.275] ; [2.275 4.725],0
a2,1,0.81869,0.052546,[11 48] ; [ 5 19],[11.37349398 47.62650602] ; [ 4.62650602 19.37349398],0
a3,1,0.855557,0.033136,[35 23] ; [15  9],[35.36585366 22.63414634] ; [14.63414634  9.36585366],0
a4,1,0.933818,0.006896,[24 35] ; [10 14],[24.1686747 34.8313253] ; [ 9.8313253 14.1686747],0
b5,1,0.944184,0.004902,[30 29] ; [12 12],[29.85542169 29.14457831] ; [12.14457831 11.85542169],0
a7,1,0.985567,0.000327,[37 22] ; [15  9],[36.96385542 22.03614458] ; [15.03614458  8.96385542],0
