Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.029273,4.751515,[3 1] ; [ 2 10],[1.25 2.75] ; [3.75 8.25],0
s6,1,0.037987,4.305585,[3 1] ; [ 7 22],[1.21212121 2.78787879] ; [ 8.78787879 20.21212121],0
p6,1,0.086926,2.930403,[2 2] ; [ 4 24],[0.75 3.25] ; [ 5.25 22.75],0
p12,1,0.09037,2.86777,[1 3] ; [ 1 28],[0.24242424 3.75757576] ; [ 1.75757576 27.24242424],0
a1,1,0.09037,2.86777,[1 3] ; [ 1 28],[0.24242424 3.75757576] ; [ 1.75757576 27.24242424],0
p1,1,0.09037,2.86777,[1 3] ; [ 1 28],[0.24242424 3.75757576] ; [ 1.75757576 27.24242424],0
s7,1,0.119088,2.429275,[2 2] ; [ 4 21],[0.82758621 3.17241379] ; [ 5.17241379 19.82758621],0
s2,1,0.133002,2.257105,[2 2] ; [ 5 24],[0.84848485 3.15151515] ; [ 6.15151515 22.84848485],0
p3,1,0.145775,2.115918,[2 2] ; [ 5 23],[0.875 3.125] ; [ 6.125 21.875],0
b5,1,0.159657,1.977476,[1 3] ; [18 11],[2.3030303 1.6969697] ; [16.6969697 12.3030303],0
p4,1,0.159657,1.977476,[3 1] ; [11 18],[1.6969697 2.3030303] ; [12.3030303 16.6969697],0
n1,1,0.201352,1.63254,[1 1] ; [ 2 13],[0.35294118 1.64705882] ; [ 2.64705882 12.35294118],0
s4,1,0.237737,1.393966,[1 3] ; [ 2 27],[0.36363636 3.63636364] ; [ 2.63636364 26.36363636],0
p5,1,0.251739,1.313629,[1 3] ; [ 2 26],[0.375 3.625] ; [ 2.625 25.375],0
a5,1,0.257673,1.281218,[1 3] ; [16 13],[2.06060606 1.93939394] ; [14.93939394 14.06060606],0
b1,1,0.360505,0.836132,[2 2] ; [21  8],[2.78787879 1.21212121] ; [20.21212121  8.78787879],0
v1,1,0.45067,0.568966,[2 2] ; [ 9 20],[1.33333333 2.66666667] ; [ 9.66666667 19.33333333],0
p2,1,0.45195,0.565757,[3 1] ; [16 13],[2.3030303 1.6969697] ; [16.6969697 12.3030303],0
n5,1,0.45195,0.565757,[1 3] ; [13 16],[1.6969697 2.3030303] ; [12.3030303 16.6969697],0
p11,1,0.45195,0.565757,[3 1] ; [16 13],[2.3030303 1.6969697] ; [16.6969697 12.3030303],0
r3,1,0.545323,0.365764,[2 2] ; [19 10],[2.54545455 1.45454545] ; [18.45454545 10.54545455],0
u2,1,0.550985,0.355556,[3 1] ; [7 5],[2.5 1.5] ; [7.5 4.5],0
v3,1,0.557867,0.343411,[1 3] ; [ 4 25],[0.60606061 3.39393939] ; [ 4.39393939 24.60606061],0
s8,1,0.557867,0.343411,[1 3] ; [ 4 25],[0.60606061 3.39393939] ; [ 4.39393939 24.60606061],0
d3,1,0.643297,0.214456,[2 2] ; [18 11],[2.42424242 1.57575758] ; [17.57575758 11.42424242],0
p8,1,0.683178,0.16657,[2 2] ; [11 17],[1.625 2.375] ; [11.375 16.625],0
v4,1,0.706063,0.142241,[3 1] ; [19 10],[2.66666667 1.33333333] ; [19.33333333  9.66666667],0
a7,1,0.743645,0.106948,[2 2] ; [17 12],[2.3030303 1.6969697] ; [16.6969697 12.3030303],0
n6,1,0.845582,0.037931,[2 2] ; [13 16],[1.81818182 2.18181818] ; [13.18181818 15.81818182],0
d5,1,0.845582,0.037931,[2 2] ; [13 16],[1.81818182 2.18181818] ; [13.18181818 15.81818182],0
p9,1,0.893488,0.017927,[2 2] ; [15 13],[2.125 1.875] ; [14.875 13.125],0
d2,1,0.913303,0.011853,[1 3] ; [ 8 21],[1.09090909 2.90909091] ; [ 7.90909091 21.09090909],0
n2,1,0.929308,0.00787,[1 1] ; [8 7],[1.05882353 0.94117647] ; [7.94117647 7.05882353],0
p7,1,0.948428,0.004184,[2 2] ; [14 15],[1.93939394 2.06060606] ; [14.06060606 14.93939394],0
p10,1,0.948428,0.004184,[2 2] ; [15 14],[2.06060606 1.93939394] ; [14.93939394 14.06060606],0
b4,1,0.948428,0.004184,[2 2] ; [14 15],[1.93939394 2.06060606] ; [14.06060606 14.93939394],0
s3,1,0.969915,0.001422,[1 3] ; [ 7 22],[0.96969697 3.03030303] ; [ 7.03030303 21.96969697],0
r4,1,0.969915,0.001422,[1 3] ; [ 7 22],[0.96969697 3.03030303] ; [ 7.03030303 21.96969697],0
