Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.007201,7.222222,[40 12] ; [5 8],[36. 16.] ; [9. 4.],0
p9,1,0.023494,5.131579,[48  4] ; [9 4],[45.6  6.4] ; [11.4  1.6],0
p3,1,0.023494,5.131579,[34 18] ; [4 9],[30.4 21.6] ; [7.6 5.4],0
n5,1,0.029133,4.759725,[40 12] ; [6 7],[36.8 15.2] ; [9.2 3.8],0
b3,1,0.078546,3.094737,[15 23] ; [1 9],[12.66666667 25.33333333] ; [3.33333333 6.66666667],0
b2,1,0.078546,3.094737,[15 23] ; [1 9],[12.66666667 25.33333333] ; [3.33333333 6.66666667],0
v3,1,0.080865,3.047427,[22 28] ; [ 2 10],[19.35483871 30.64516129] ; [4.64516129 7.35483871],0
u3,1,0.156709,2.005698,[8 8] ; [5 1],[9.45454545 6.54545455] ; [3.54545455 2.45454545],0
r4,1,0.179042,1.805556,[38 14] ; [7 6],[36. 16.] ; [9. 4.],0
r3,1,0.244551,1.354167,[49  3] ; [11  2],[48.  4.] ; [12.  1.],0
b1,1,0.254565,1.298077,[19 33] ; [7 6],[20.8 31.2] ; [5.2 7.8],0
p8,1,0.289682,1.121099,[28 23] ; [5 8],[26.296875 24.703125] ; [6.703125 6.296875],0
a3,1,0.294405,1.099366,[36 16] ; [7 6],[34.4 17.6] ; [8.6 4.4],0
a6,1,0.316378,1.003861,[28 24] ; [9 4],[29.6 22.4] ; [7.4 5.6],0
a5,1,0.363933,0.824275,[35 17] ; [7 6],[33.6 18.4] ; [8.4 4.6],0
a8,1,0.375337,0.78592,[ 4 45] ; [ 2 10],[ 4.81967213 44.18032787] ; [ 1.18032787 10.81967213],0
v2,1,0.403563,0.697684,[27 22] ; [5 7],[25.70491803 23.29508197] ; [6.29508197 5.70491803],0
p1,1,0.472607,0.515873,[ 8 44] ; [ 1 12],[ 7.2 44.8] ; [ 1.8 11.2],0
p6,1,0.479074,0.50097,[28 21] ; [6 7],[26.87096774 22.12903226] ; [7.12903226 5.87096774],0
s6,1,0.508397,0.437365,[39 11] ; [9 4],[38.0952381 11.9047619] ; [9.9047619 3.0952381],0
n3,1,0.516937,0.42,[12  4] ; [3 2],[11.42857143  4.57142857] ; [3.57142857 1.42857143],0
v1,1,0.520282,0.413333,[26 24] ; [5 7],[25. 25.] ; [6. 6.],0
r2,1,0.582392,0.302384,[44  6] ; [9 2],[43.44262295  6.55737705] ; [9.55737705 1.44262295],0
p7,1,0.58587,0.29684,[34 17] ; [7 5],[33.19047619 17.80952381] ; [7.80952381 4.19047619],0
n1,1,0.595732,0.281481,[8 8] ; [2 1],[8.42105263 7.57894737] ; [1.57894737 1.42105263],0
b5,1,0.60723,0.264228,[32 20] ; [9 4],[32.8 19.2] ; [8.2 4.8],0
s7,1,0.617409,0.249525,[38 12] ; [9 4],[37.3015873 12.6984127] ; [9.6984127 3.3015873],0
n2,1,0.626928,0.23625,[11  5] ; [4 1],[11.42857143  4.57142857] ; [3.57142857 1.42857143],0
s4,1,0.672038,0.179228,[13 39] ; [4 9],[13.6 38.4] ; [3.4 9.6],0
a4,1,0.697203,0.151398,[19 33] ; [4 9],[18.4 33.6] ; [4.6 8.4],0
a7,1,0.705765,0.142544,[31 21] ; [7 6],[30.4 21.6] ; [7.6 5.4],0
d2,1,0.707123,0.141168,[23 29] ; [5 8],[22.4 29.6] ; [5.6 7.4],0
p2,1,0.756495,0.096154,[42 10] ; [10  3],[41.6 10.4] ; [10.4  2.6],0
s2,1,0.777763,0.079657,[38 14] ; [10  3],[38.4 13.6] ; [9.6 3.4],0
d5,1,0.777763,0.079657,[38 14] ; [10  3],[38.4 13.6] ; [9.6 3.4],0
s3,1,0.777763,0.079657,[38 14] ; [10  3],[38.4 13.6] ; [9.6 3.4],0
p4,1,0.795327,0.067288,[34 18] ; [8 5],[33.6 18.4] ; [8.4 4.6],0
a1,1,0.796356,0.066598,[ 3 49] ; [ 1 12],[ 3.2 48.8] ; [ 0.8 12.2],0
u1,1,0.796356,0.066598,[ 3 49] ; [ 1 12],[ 3.2 48.8] ; [ 0.8 12.2],0
a2,1,0.857497,0.032242,[ 7 45] ; [ 2 11],[ 7.2 44.8] ; [ 1.8 11.2],0
s5,1,0.886038,0.020541,[16 29] ; [4 8],[15.78947368 29.21052632] ; [4.21052632 7.78947368],0
v4,1,0.890762,0.018862,[47  5] ; [11  1],[47.125  4.875] ; [10.875  1.125],0
d1,1,0.900713,0.015565,[29 23] ; [7 6],[28.8 23.2] ; [7.2 5.8],0
b4,1,0.900713,0.015565,[29 23] ; [7 6],[28.8 23.2] ; [7.2 5.8],0
d3,1,0.901183,0.015417,[27 25] ; [7 6],[27.2 24.8] ; [6.8 6.2],0
p10,1,0.978667,0.000715,[43  8] ; [11  2],[43.03125  7.96875] ; [10.96875  2.03125],0
d4,1,1.0,0.0,[40 12] ; [10  3],[40. 12.] ; [10.  3.],0
p11,1,1.0,0.0,[44  8] ; [11  2],[44.  8.] ; [11.  2.],0
