Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1e-05,19.428571,[48 20] ; [ 2 15],[40. 28.] ; [10.  7.],1
p11,1,0.000718,11.440913,[64  6] ; [10  7],[59.54022989 10.45977011] ; [14.45977011  2.54022989],1
p8,1,0.001422,10.176868,[61  9] ; [9 8],[56.32183908 13.67816092] ; [13.67816092  3.32183908],0
s7,1,0.018696,5.529684,[49 17] ; [7 9],[45.07317073 20.92682927] ; [10.92682927  5.07317073],0
r3,1,0.021173,5.3125,[66  2] ; [14  3],[64.  4.] ; [16.  1.],0
v2,1,0.025596,4.983103,[43 23] ; [ 6 11],[38.96385542 27.03614458] ; [10.03614458  6.96385542],0
p4,1,0.03527,4.432076,[65  5] ; [12  4],[62.6744186  7.3255814] ; [14.3255814  1.6744186],0
s8,1,0.052883,3.747598,[46 23] ; [ 7 10],[42.52325581 26.47674419] ; [10.47674419  6.52325581],0
n1,1,0.059739,3.544615,[4 9] ; [4 1],[5.77777778 7.22222222] ; [2.22222222 2.77777778],0
p3,1,0.097476,2.746365,[58 12] ; [11  6],[55.51724138 14.48275862] ; [13.48275862  3.51724138],0
p2,1,0.10949,2.561562,[65  4] ; [14  3],[63.38372093  5.61627907] ; [15.61627907  1.38372093],0
r4,1,0.132171,2.266824,[63  7] ; [13  4],[61.14942529  8.85057471] ; [14.85057471  2.14942529],0
n5,1,0.132171,2.266824,[63  7] ; [13  4],[61.14942529  8.85057471] ; [14.85057471  2.14942529],0
a3,1,0.138614,2.193277,[60 10] ; [12  5],[57.93103448 12.06896552] ; [14.06896552  2.93103448],0
s6,1,0.193336,1.692012,[54 10] ; [12  5],[52.14814815 11.85185185] ; [13.85185185  3.14814815],0
a1,1,0.242741,1.364605,[12 58] ; [ 1 16],[10.45977011 59.54022989] ; [ 2.54022989 14.45977011],0
a8,1,0.264566,1.244708,[11 52] ; [ 1 15],[ 9.56962025 53.43037975] ; [ 2.43037975 13.56962025],0
n4,1,0.270396,1.214738,[64  6] ; [14  3],[62.75862069  7.24137931] ; [15.24137931  1.75862069],0
a7,1,0.306695,1.044853,[49 21] ; [14  3],[50.68965517 19.31034483] ; [12.31034483  4.68965517],0
a2,1,0.311183,1.025649,[16 54] ; [ 2 15],[14.48275862 55.51724138] ; [ 3.51724138 13.48275862],0
v3,1,0.313152,1.017333,[40 26] ; [8 9],[38.1686747 27.8313253] ; [9.8313253 7.1686747],0
s2,1,0.323247,0.975765,[41 27] ; [8 9],[39.2 28.8] ; [9.8 7.2],0
a6,1,0.327256,0.959725,[46 24] ; [9 8],[44.25287356 25.74712644] ; [10.74712644  6.25287356],0
r1,1,0.337211,0.921006,[56 13] ; [12  5],[54.55813953 14.44186047] ; [13.44186047  3.55813953],0
p10,1,0.345619,0.889477,[65  4] ; [14  2],[64.12941176  4.87058824] ; [14.87058824  1.12941176],0
p1,1,0.355894,0.852329,[17 53] ; [ 6 11],[18.50574713 51.49425287] ; [ 4.49425287 12.50574713],0
s4,1,0.367003,0.813787,[10 58] ; [ 1 15],[ 8.9047619 59.0952381] ; [ 2.0952381 13.9047619],0
b5,1,0.387559,0.746588,[33 37] ; [10  7],[34.59770115 35.40229885] ; [8.40229885 8.59770115],0
u3,1,0.408961,0.681818,[8 2] ; [3 2],[7.33333333 2.66666667] ; [3.66666667 1.33333333],0
p12,1,0.423275,0.641206,[20 50] ; [ 3 13],[18.72093023 51.27906977] ; [ 4.27906977 11.72093023],0
s5,1,0.462683,0.539395,[41 21] ; [9 7],[39.74358974 22.25641026] ; [10.25641026  5.74358974],0
d3,1,0.485659,0.486129,[52 18] ; [14  3],[53.10344828 16.89655172] ; [12.89655172  4.10344828],0
b4,1,0.501175,0.452447,[39 31] ; [11  6],[40.22988506 29.77011494] ; [9.77011494 7.22988506],0
p9,1,0.539757,0.37599,[68  2] ; [16  1],[67.5862069  2.4137931] ; [16.4137931  0.5862069],0
u1,1,0.571055,0.320921,[16 54] ; [ 5 12],[16.89655172 53.10344828] ; [ 4.10344828 12.89655172],0
a4,1,0.583763,0.30019,[34 36] ; [ 7 10],[32.98850575 37.01149425] ; [8.01149425 8.98850575],0
d1,1,0.596928,0.279655,[49 21] ; [13  4],[49.88505747 20.11494253] ; [12.11494253  4.88505747],0
n2,1,0.636982,0.222711,[10  3] ; [4 2],[9.57894737 3.42105263] ; [4.42105263 1.57894737],0
u2,1,0.698535,0.15,[7 3] ; [3 2],[6.66666667 3.33333333] ; [3.33333333 1.66666667],0
r2,1,0.71029,0.137987,[62  6] ; [15  2],[61.6  6.4] ; [15.4  1.6],0
b2,1,0.740398,0.109777,[27 26] ; [5 6],[26.5 26.5] ; [5.5 5.5],0
b3,1,0.740398,0.109777,[27 26] ; [5 6],[26.5 26.5] ; [5.5 5.5],0
a5,1,0.747274,0.103836,[56 14] ; [13  4],[55.51724138 14.48275862] ; [13.48275862  3.51724138],0
b1,1,0.75405,0.09816,[30 40] ; [8 9],[30.57471264 39.42528736] ; [7.42528736 9.57471264],0
v4,1,0.832315,0.044831,[63  5] ; [16  1],[63.2  4.8] ; [15.8  1.2],0
n6,1,0.843247,0.039102,[64  5] ; [16  1],[64.18604651  4.81395349] ; [15.81395349  1.18604651],0
s1,1,0.854033,0.033847,[ 5 65] ; [ 1 16],[ 4.82758621 65.17241379] ; [ 1.17241379 15.82758621],0
n3,1,0.875975,0.024359,[7 6] ; [3 3],[6.84210526 6.15789474] ; [3.15789474 2.84210526],0
d5,1,0.90324,0.014779,[61  9] ; [15  2],[61.14942529  8.85057471] ; [14.85057471  2.14942529],0
s3,1,0.911853,0.012255,[41 27] ; [10  7],[40.8 27.2] ; [10.2  6.8],0
v1,1,0.912719,0.012014,[47 20] ; [11  5],[46.81927711 20.18072289] ; [11.18072289  4.81927711],0
d2,1,0.984896,0.000358,[41 29] ; [10  7],[41.03448276 28.96551724] ; [9.96551724 7.03448276],0
