Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.003253,8.659705,[13  2] ; [15 21],[8.23529412 6.76470588] ; [19.76470588 16.23529412],0
p11,1,0.017164,5.679545,[6 9] ; [27  9],[9.70588235 5.29411765] ; [23.29411765 12.70588235],0
p10,1,0.020638,5.357143,[6 9] ; [26  9],[9.6 5.4] ; [22.4 12.6],0
n4,1,0.028522,4.796238,[ 5 10] ; [24 12],[8.52941176 6.47058824] ; [20.47058824 15.52941176],0
s2,1,0.04343,4.078601,[ 2 13] ; [15 20],[5.1 9.9] ; [11.9 23.1],0
a4,1,0.080866,3.047407,[7 8] ; [ 8 28],[ 4.41176471 10.58823529] ; [10.58823529 25.41176471],0
p2,1,0.081842,3.027946,[7 8] ; [26 10],[9.70588235 5.29411765] ; [23.29411765 12.70588235],0
v2,1,0.087726,2.915606,[ 4 11] ; [19 17],[6.76470588 8.23529412] ; [16.23529412 19.76470588],0
s3,1,0.116808,2.459608,[ 2 12] ; [13 22],[4.28571429 9.71428571] ; [10.71428571 24.28571429],0
s8,1,0.144758,2.126641,[ 2 13] ; [12 24],[ 4.11764706 10.88235294] ; [ 9.88235294 26.11764706],0
s6,1,0.148042,2.092308,[ 5 10] ; [20 16],[7.35294118 7.64705882] ; [17.64705882 18.35294118],0
p9,1,0.154561,2.026654,[7 7] ; [25 10],[9.14285714 4.85714286] ; [22.85714286 12.14285714],0
v4,1,0.182546,1.776774,[7 8] ; [24 12],[9.11764706 5.88235294] ; [21.88235294 14.11764706],0
a6,1,0.204933,1.606867,[10  5] ; [17 19],[7.94117647 7.05882353] ; [19.05882353 16.94117647],0
n3,1,0.2524,1.309972,[2 4] ; [8 5],[3.15789474 2.84210526] ; [6.84210526 6.15789474],0
p8,1,0.312718,1.019161,[ 4 11] ; [15 21],[5.58823529 9.41176471] ; [13.41176471 22.58823529],0
a2,1,0.346517,0.88617,[ 2 13] ; [ 2 34],[ 1.17647059 13.82352941] ; [ 2.82352941 33.17647059],0
n6,1,0.408501,0.68316,[8 7] ; [23 12],[9.3 5.7] ; [21.7 13.3],0
p6,1,0.440401,0.595238,[ 2 13] ; [ 8 27],[ 3. 12.] ; [ 7. 28.],0
