Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.0,33.599593,[  9 111] ; [50 79],[28.43373494 91.56626506] ; [30.56626506 98.43373494],1
p8,1,0.0,33.009136,[28 92] ; [77 53],[50.4 69.6] ; [54.6 75.4],1
p3,1,0.0,31.92455,[25 96] ; [73 59],[46.86956522 74.13043478] ; [51.13043478 80.86956522],1
p2,1,0.0,29.679317,[71 50] ; [117  15],[89.91304348 31.08695652] ; [98.08695652 33.91304348],1
p4,1,2e-06,22.953882,[34 86] ; [77 55],[52.85714286 67.14285714] ; [58.14285714 73.85714286],1
s3,1,0.000644,11.643213,[ 18 101] ; [44 86],[29.63052209 89.36947791] ; [32.36947791 97.63052209],1
v2,1,0.000921,10.980336,[36 79] ; [67 61],[48.74485597 66.25514403] ; [54.25514403 73.74485597],1
s6,1,0.001664,9.887399,[39 82] ; [66 61],[51.22983871 69.77016129] ; [53.77016129 73.22983871],0
p5,1,0.003135,8.727049,[  5 116] ; [ 20 111],[ 12.00396825 108.99603175] ; [ 12.99603175 118.00396825],0
b2,1,0.00314,8.72448,[29 32] ; [19 61],[20.76595745 40.23404255] ; [27.23404255 52.76595745],0
b3,1,0.00314,8.72448,[29 32] ; [19 61],[20.76595745 40.23404255] ; [27.23404255 52.76595745],0
s7,1,0.004546,8.051633,[19 97] ; [39 82],[28.38818565 87.61181435] ; [29.61181435 91.38818565],0
r3,1,0.00958,6.711396,[94 26] ; [119  13],[101.42857143  18.57142857] ; [111.57142857  20.42857143],0
v1,1,0.011058,6.456014,[40 79] ; [63 64],[49.82520325 69.17479675] ; [53.17479675 73.82520325],0
r4,1,0.015121,5.902275,[82 39] ; [107  25],[90.39130435 30.60869565] ; [98.60869565 33.39130435],0
s8,1,0.015144,5.899667,[ 16 105] ; [33 97],[23.62151394 97.37848606] ; [ 25.37848606 104.62151394],0
p11,1,0.01689,5.70779,[78 43] ; [103  29],[86.56521739 34.43478261] ; [94.43478261 37.56521739],0
a7,1,0.018195,5.577249,[64 57] ; [89 43],[73.17391304 47.82608696] ; [79.82608696 52.17391304],0
n3,1,0.02647,4.925076,[23 15] ; [34  7],[27.41772152 10.58227848] ; [29.58227848 11.41772152],0
v4,1,0.033895,4.500006,[98 22] ; [119  12],[103.74501992  16.25498008] ; [113.25498008  17.74501992],0
p10,1,0.042744,4.105486,[69 49] ; [92 38],[76.60483871 41.39516129] ; [84.39516129 45.60483871],0
s5,1,0.045595,3.996496,[ 12 105] ; [ 25 104],[17.59756098 99.40243902] ; [ 19.40243902 109.59756098],0
n6,1,0.089965,2.875,[82 39] ; [102  30],[88. 33.] ; [96. 36.],0
r1,1,0.098337,2.732313,[72 49] ; [91 40],[78.26587302 42.73412698] ; [84.73412698 46.26587302],0
p9,1,0.099778,2.709084,[78 40] ; [99 32],[83.87951807 34.12048193] ; [93.12048193 37.87951807],0
p12,1,0.111099,2.538524,[  3 116] ; [  9 123],[  5.68924303 113.31075697] ; [  6.31075697 125.68924303],0
b1,1,0.146254,2.110892,[45 76] ; [61 71],[50.69565217 70.30434783] ; [55.30434783 76.69565217],0
v3,1,0.147423,2.098719,[27 90] ; [41 90],[32.08064516 84.91935484] ; [35.91935484 95.08064516],0
a6,1,0.24197,1.369082,[73 48] ; [70 62],[68.39130435 52.60869565] ; [74.60869565 57.39130435],0
s4,1,0.256925,1.285252,[ 11 110] ; [ 18 114],[ 13.86956522 107.13043478] ; [ 15.13043478 116.86956522],0
a5,1,0.298024,1.083015,[59 62] ; [73 59],[63.13043478 57.86956522] ; [68.86956522 63.13043478],0
u1,1,0.301027,1.069638,[  2 119] ; [  5 127],[  3.34782609 117.65217391] ; [  3.65217391 128.34782609],0
n5,1,0.306534,1.045553,[77 44] ; [92 40],[80.82608696 40.17391304] ; [88.17391304 43.82608696],0
u3,1,0.308017,1.039161,[22 34] ; [32 34],[24.78688525 31.21311475] ; [29.21311475 36.78688525],0
a1,1,0.309533,1.032666,[  8 113] ; [  5 127],[  6.2173913 114.7826087] ; [  6.7826087 125.2173913],0
u2,1,0.31269,1.019278,[25 31] ; [35 30],[27.76859504 28.23140496] ; [32.23140496 32.76859504],0
d5,1,0.368411,0.809019,[61 60] ; [74 58],[64.56521739 56.43478261] ; [70.43478261 61.56521739],0
s1,1,0.438899,0.599159,[  6 115] ; [  4 127],[  4.8015873 116.1984127] ; [  5.1984127 125.8015873],0
b4,1,0.441008,0.593658,[70 51] ; [70 62],[66.95652174 54.04347826] ; [73.04347826 58.95652174],0
r2,1,0.446451,0.579646,[98 23] ; [110  20],[100.27091633  20.72908367] ; [107.72908367  22.27091633],0
a3,1,0.502584,0.449476,[65 54] ; [66 65],[62.356 56.644] ; [68.644 62.356],0
a4,1,0.684319,0.165305,[32 88] ; [32 99],[30.59760956 89.40239044] ; [33.40239044 97.59760956],0
b5,1,0.700289,0.148171,[68 53] ; [71 61],[66.47826087 54.52173913] ; [72.52173913 59.47826087],0
a2,1,0.701765,0.146643,[  6 115] ; [  8 124],[  6.69565217 114.30434783] ; [  7.30434783 124.69565217],0
d2,1,0.735027,0.114545,[ 19 101] ; [ 23 109],[ 20. 100.] ; [ 22. 110.],0
a8,1,0.746644,0.104373,[ 13 103] ; [ 12 109],[ 12.23628692 103.76371308] ; [ 12.76371308 108.23628692],0
p1,1,0.814941,0.054783,[ 11 109] ; [ 11 121],[ 10.47619048 109.52380952] ; [ 11.52380952 120.47619048],0
n4,1,0.81728,0.053382,[79 42] ; [88 44],[79.86956522 41.13043478] ; [87.13043478 44.86956522],0
n1,1,0.862448,0.030019,[15 24] ; [15 26],[14.625 24.375] ; [15.375 25.625],0
d3,1,0.864156,0.029271,[44 77] ; [49 82],[44.6547619 76.3452381] ; [48.3452381 82.6547619],0
n2,1,0.867914,0.027659,[28 12] ; [28 13],[27.65432099 12.34567901] ; [28.34567901 12.65432099],0
d4,1,0.930188,0.007675,[63 58] ; [68 64],[62.65217391 58.34782609] ; [68.34782609 63.65217391],0
