Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,5.8e-05,16.182153,[14 49] ; [19 10],[22.59782609 40.40217391] ; [10.40217391 18.59782609],1
p7,1,0.004145,8.219088,[17 45] ; [17 12],[23.16483516 38.83516484] ; [10.83516484 18.16483516],0
p1,1,0.005033,7.867582,[ 3 61] ; [ 7 22],[ 6.88172043 57.11827957] ; [ 3.11827957 25.88172043],0
r4,1,0.016324,5.767667,[34 30] ; [23  6],[39.22580645 24.77419355] ; [17.77419355 11.22580645],0
d1,1,0.016606,5.737581,[15 49] ; [14 15],[19.95698925 44.04301075] ; [ 9.04301075 19.95698925],0
n4,1,0.016727,5.724823,[27 37] ; [20  9],[32.34408602 31.65591398] ; [14.65591398 14.34408602],0
s6,1,0.016995,5.696867,[24 38] ; [19 10],[29.2967033 32.7032967] ; [13.7032967 15.2967033],0
v4,1,0.027013,4.889956,[46 17] ; [27  2],[49.98913043 13.01086957] ; [23.01086957  5.98913043],0
d3,1,0.036033,4.395548,[26 36] ; [19 10],[30.65934066 31.34065934] ; [14.34065934 14.65934066],0
p2,1,0.044727,4.028892,[37 27] ; [23  6],[41.29032258 22.70967742] ; [18.70967742 10.29032258],0
p5,1,0.045488,4.000441,[ 3 61] ; [ 5 24],[ 5.50537634 58.49462366] ; [ 2.49462366 26.50537634],0
n3,1,0.072819,3.218294,[15 16] ; [6 1],[17.13157895 13.86842105] ; [3.86842105 3.13157895],0
n6,1,0.079616,3.072732,[34 30] ; [21  8],[37.84946237 26.15053763] ; [17.15053763 11.84946237],0
n2,1,0.098835,2.724235,[16 15] ; [6 1],[17.94736842 13.05263158] ; [4.05263158 2.94736842],0
p6,1,0.103078,2.657267,[10 52] ; [ 9 20],[12.94505495 49.05494505] ; [ 6.05494505 22.94505495],0
v2,1,0.131455,2.275237,[21 40] ; [ 5 22],[18.02272727 42.97727273] ; [ 7.97727273 19.02272727],0
r3,1,0.131475,2.275,[42 21] ; [23  5],[45. 18.] ; [20.  8.],0
d4,1,0.145828,2.115362,[38 25] ; [22  7],[41.08695652 21.91304348] ; [18.91304348 10.08695652],0
d5,1,0.174675,1.842354,[34 29] ; [20  9],[36.97826087 26.02173913] ; [17.02173913 11.97826087],0
a7,1,0.186809,1.742608,[32 31] ; [19 10],[34.92391304 28.07608696] ; [16.07608696 12.92391304],0
s2,1,0.260105,1.268195,[23 41] ; [14 15],[25.46236559 38.53763441] ; [11.53763441 17.46236559],0
b3,1,0.267272,1.230695,[11 23] ; [ 3 14],[ 9.33333333 24.66666667] ; [ 4.66666667 12.33333333],0
b2,1,0.267272,1.230695,[11 23] ; [ 3 14],[ 9.33333333 24.66666667] ; [ 4.66666667 12.33333333],0
u3,1,0.277162,1.180952,[19 23] ; [12  8],[21. 21.] ; [10. 10.],0
p8,1,0.284987,1.143151,[15 48] ; [10 19],[17.11956522 45.88043478] ; [ 7.88043478 21.11956522],0
s3,1,0.300695,1.071111,[27 35] ; [16 13],[29.2967033 32.7032967] ; [13.7032967 15.2967033],0
p10,1,0.348005,0.880718,[30 30] ; [11 17],[27.95454545 32.04545455] ; [13.04545455 14.95454545],0
n1,1,0.368955,0.807181,[ 8 23] ; [3 4],[ 8.97368421 22.02631579] ; [2.02631579 4.97368421],0
v1,1,0.383106,0.760711,[21 42] ; [12 16],[22.84615385 40.15384615] ; [10.15384615 17.84615385],0
r2,1,0.477941,0.503558,[48 15] ; [24  5],[49.30434783 13.69565217] ; [22.69565217  6.30434783],0
r1,1,0.505381,0.443619,[35 29] ; [18 11],[36.47311828 27.52688172] ; [16.52688172 12.47311828],0
