Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,6e-06,20.391142,[31 32] ; [ 9 60],[19.09090909 43.90909091] ; [20.90909091 48.09090909],1
p6,1,7.3e-05,15.720863,[23 38] ; [ 6 63],[13.60769231 47.39230769] ; [15.39230769 53.60769231],1
p8,1,0.000145,14.437622,[37 26] ; [18 51],[26.25 36.75] ; [28.75 40.25],1
p2,1,0.000399,12.53708,[52 11] ; [37 32],[42.47727273 20.52272727] ; [46.52272727 22.47727273],1
p4,1,0.003469,8.542972,[32 31] ; [18 51],[23.86363636 39.13636364] ; [26.13636364 42.86363636],0
n3,1,0.010022,6.630938,[16  4] ; [15 19],[11.48148148  8.51851852] ; [19.51851852 14.48148148],0
p10,1,0.011206,6.432358,[46 17] ; [35 33],[38.95419847 24.04580153] ; [42.04580153 25.95419847],0
p11,1,0.03231,4.581978,[46 17] ; [38 31],[40.09090909 22.90909091] ; [43.90909091 25.09090909],0
s7,1,0.047037,3.944069,[17 44] ; [ 9 57],[12.48818898 48.51181102] ; [13.51181102 52.48818898],0
r4,1,0.070667,3.267452,[50 13] ; [45 24],[45.34090909 17.65909091] ; [49.65909091 19.34090909],0
s6,1,0.104624,2.633608,[26 35] ; [20 49],[21.58461538 39.41538462] ; [24.41538462 44.58461538],0
a5,1,0.108946,2.569448,[38 25] ; [32 37],[33.40909091 29.59090909] ; [36.59090909 32.40909091],0
p5,1,0.111067,2.53897,[ 6 57] ; [ 2 67],[ 3.81818182 59.18181818] ; [ 4.18181818 64.81818182],0
b4,1,0.126732,2.332091,[30 33] ; [42 27],[34.36363636 28.63636364] ; [37.63636364 31.36363636],0
v1,1,0.138361,2.196096,[27 36] ; [21 48],[22.90909091 40.09090909] ; [25.09090909 43.90909091],0
n6,1,0.13924,2.186335,[46 17] ; [42 27],[42. 21.] ; [46. 23.],0
u3,1,0.164071,1.936303,[11 14] ; [20 12],[13.59649123 11.40350877] ; [17.40350877 14.59649123],0
r2,1,0.192271,1.700131,[54  9] ; [53 16],[51.06818182 11.93181818] ; [55.93181818 13.06818182],0
p9,1,0.208178,1.58405,[46 17] ; [42 25],[42.64615385 20.35384615] ; [45.35384615 21.64615385],0
s8,1,0.217561,1.520385,[12 50] ; [ 8 61],[ 9.46564885 52.53435115] ; [10.53435115 58.46564885],0
s2,1,0.23391,1.416928,[11 52] ; [ 7 61],[ 8.65648855 54.34351145] ; [ 9.34351145 58.65648855],0
v4,1,0.235823,1.40539,[58  5] ; [59 10],[55.84090909  7.15909091] ; [61.15909091  7.84090909],0
b1,1,0.248534,1.331528,[30 33] ; [26 43],[26.72727273 36.27272727] ; [29.27272727 39.72727273],0
a1,1,0.267443,1.229814,[ 3 60] ; [ 1 68],[ 1.90909091 61.09090909] ; [ 2.09090909 66.90909091],0
b2,1,0.280906,1.1627,[ 9 20] ; [ 7 29],[ 7.13846154 21.86153846] ; [ 8.86153846 27.13846154],0
b3,1,0.280906,1.1627,[ 9 20] ; [ 7 29],[ 7.13846154 21.86153846] ; [ 8.86153846 27.13846154],0
a6,1,0.319388,0.991453,[32 31] ; [41 28],[34.84090909 28.15909091] ; [38.15909091 30.84090909],0
a2,1,0.341205,0.9059,[ 5 58] ; [ 9 60],[ 6.68181818 56.31818182] ; [ 7.31818182 61.68181818],0
n2,1,0.365731,0.818118,[14  6] ; [19 14],[12.45283019  7.54716981] ; [20.54716981 12.45283019],0
a8,1,0.369539,0.805215,[ 4 57] ; [ 2 62],[ 2.928 58.072] ; [ 3.072 60.928],0
d1,1,0.414508,0.665835,[23 40] ; [30 39],[25.29545455 37.70454545] ; [27.70454545 41.29545455],0
a3,1,0.438007,0.601498,[38 25] ; [37 32],[35.79545455 27.20454545] ; [39.20454545 29.79545455],0
r3,1,0.48307,0.491925,[54  9] ; [56 13],[52.5 10.5] ; [57.5 11.5],0
u1,1,0.550153,0.357043,[ 3 60] ; [ 5 64],[ 3.81818182 59.18181818] ; [ 4.18181818 64.81818182],0
d4,1,0.602897,0.270648,[44 19] ; [51 18],[45.34090909 17.65909091] ; [49.65909091 19.34090909],0
r1,1,0.631309,0.23029,[40 23] ; [41 28],[38.65909091 24.34090909] ; [42.34090909 26.65909091],0
u2,1,0.652577,0.202667,[14 11] ; [16 16],[13.15789474 11.84210526] ; [16.84210526 15.15789474],0
d5,1,0.684697,0.164887,[42 20] ; [49 20],[43.06870229 18.93129771] ; [47.93129771 21.06870229],0
b5,1,0.69271,0.156167,[39 24] ; [45 24],[40.09090909 22.90909091] ; [43.90909091 25.09090909],0
n1,1,0.706491,0.141807,[ 5 15] ; [ 7 27],[ 4.44444444 15.55555556] ; [ 7.55555556 26.44444444],0
v2,1,0.72347,0.125192,[27 34] ; [28 40],[26.00775194 34.99224806] ; [28.99224806 39.00775194],0
p1,1,0.724332,0.12438,[ 2 61] ; [ 3 66],[ 2.38636364 60.61363636] ; [ 2.61363636 66.38636364],0
d3,1,0.729269,0.119784,[38 23] ; [45 24],[38.94615385 22.05384615] ; [44.05384615 24.94615385],0
a4,1,0.762787,0.091097,[15 48] ; [18 51],[15.75 47.25] ; [17.25 51.75],0
v3,1,0.778762,0.078923,[14 47] ; [14 53],[13.34375 47.65625] ; [14.65625 52.34375],0
n5,1,0.795797,0.066972,[22 40] ; [23 46],[21.29770992 40.70229008] ; [23.70229008 45.29770992],0
a7,1,0.808934,0.058468,[41 21] ; [47 22],[41.64885496 20.35114504] ; [46.35114504 22.64885496],0
s5,1,0.817659,0.053156,[10 52] ; [12 56],[10.49230769 51.50769231] ; [11.50769231 56.49230769],0
d2,1,0.894775,0.017494,[18 45] ; [19 50],[17.65909091 45.34090909] ; [19.34090909 49.65909091],0
s4,1,0.991361,0.000117,[10 53] ; [11 58],[10.02272727 52.97727273] ; [10.97727273 58.02272727],0
