Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,43.540004,[ 3 29] ; [56 15],[18.33009709 13.66990291] ; [40.66990291 30.33009709],1
s7,1,2.5e-05,17.731053,[ 7 22] ; [46 19],[16.35106383 12.64893617] ; [36.64893617 28.35106383],1
n5,1,8.3e-05,15.496131,[12 20] ; [55 16],[20.81553398 11.18446602] ; [46.18446602 24.81553398],1
s8,1,0.000132,14.606532,[ 5 26] ; [41 31],[13.84466019 17.15533981] ; [32.15533981 39.84466019],1
s6,1,0.002562,9.095925,[18 13] ; [59 10],[23.87  7.13] ; [53.13 15.87],0
s2,1,0.003468,8.543105,[12 19] ; [50 22],[18.66019417 12.33980583] ; [43.33980583 28.66019417],0
r2,1,0.005114,7.838531,[25  7] ; [68  3],[28.89320388  3.10679612] ; [64.10679612  6.89320388],0
s5,1,0.006131,7.511437,[ 6 25] ; [32 34],[12.1443299 18.8556701] ; [25.8556701 40.1443299],0
a3,1,0.00627,7.470907,[14 18] ; [51 20],[20.19417476 11.80582524] ; [44.80582524 26.19417476],0
r4,1,0.008012,7.030712,[23  9] ; [66  6],[27.38461538  4.61538462] ; [61.61538462 10.38461538],0
p2,1,0.008989,6.825,[21 11] ; [63  9],[25.84615385  6.15384615] ; [58.15384615 13.84615385],0
n4,1,0.009407,6.743809,[15 17] ; [52 19],[20.81553398 11.18446602] ; [46.18446602 24.81553398],0
u3,1,0.011325,6.413555,[ 8 10] ; [16  3],[11.67567568  6.32432432] ; [12.32432432  6.67567568],0
v4,1,0.027833,4.838366,[25  7] ; [67  5],[28.30769231  3.69230769] ; [63.69230769  8.30769231],0
a4,1,0.042097,4.131283,[10 22] ; [38 34],[14.76923077 17.23076923] ; [33.23076923 38.76923077],0
p6,1,0.042493,4.115472,[ 8 23] ; [34 38],[12.6407767 18.3592233] ; [29.3592233 42.6407767],0
u2,1,0.046082,3.978587,[ 5 13] ; [12  8],[8.05263158 9.94736842] ; [ 8.94736842 11.05263158],0
n6,1,0.048771,3.883221,[21 11] ; [59 12],[24.85436893  7.14563107] ; [55.14563107 15.85436893],0
v1,1,0.062254,3.476296,[11 21] ; [39 33],[15.38461538 16.61538462] ; [34.61538462 37.38461538],0
d4,1,0.073569,3.201539,[20 12] ; [57 15],[23.69230769  8.30769231] ; [53.30769231 18.69230769],0
d5,1,0.092817,2.824834,[22 10] ; [60 12],[25.23076923  6.76923077] ; [56.76923077 15.23076923],0
a5,1,0.146556,2.107735,[19 13] ; [53 19],[22.15384615  9.84615385] ; [49.84615385 22.15384615],0
r1,1,0.152044,2.051624,[21 11] ; [56 15],[23.9223301  8.0776699] ; [53.0776699 17.9223301],0
d1,1,0.168545,1.895833,[14 18] ; [42 30],[17.23076923 14.76923077] ; [38.76923077 33.23076923],0
r3,1,0.173366,1.853596,[27  5] ; [66  5],[28.89320388  3.10679612] ; [64.10679612  6.89320388],0
a6,1,0.176236,1.829086,[15 17] ; [44 28],[18.15384615 13.84615385] ; [40.84615385 31.15384615],0
b5,1,0.187986,1.733333,[17 15] ; [48 24],[20. 12.] ; [45. 27.],0
n1,1,0.290466,1.11746,[3 7] ; [11 11],[4.375 5.625] ; [ 9.625 12.375],0
a2,1,0.326441,0.962963,[ 6 26] ; [20 52],[ 8. 24.] ; [18. 54.],0
