Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,50.378788,[12 64] ; [44 13],[32. 44.] ; [24. 33.],1
s7,1,5e-06,20.658675,[17 55] ; [35 20],[29.48031496 42.51968504] ; [22.51968504 32.48031496],1
s6,1,8e-06,20.060794,[33 42] ; [47 10],[45.45454545 29.54545455] ; [34.54545455 22.45454545],1
s8,1,0.000107,15.006407,[20 56] ; [34 23],[30.85714286 45.14285714] ; [23.14285714 33.85714286],1
v1,1,0.002195,9.378867,[21 54] ; [30 25],[29.42307692 45.57692308] ; [21.57692308 33.42307692],0
p9,1,0.007783,7.082693,[38 35] ; [42 14],[45.27131783 27.72868217] ; [34.72868217 21.27131783],0
n1,1,0.012844,6.190454,[ 7 19] ; [10  5],[10.7804878 15.2195122] ; [6.2195122 8.7804878],0
r3,1,0.015196,5.893553,[64 13] ; [55  2],[68.38059701  8.61940299] ; [50.61940299  6.38059701],0
p10,1,0.016963,5.700231,[40 35] ; [42 15],[46.59090909 28.40909091] ; [35.40909091 21.59090909],0
r4,1,0.017612,5.63438,[58 19] ; [52  5],[63.20895522 13.79104478] ; [46.79104478 10.20895522],0
r1,1,0.018536,5.544783,[46 31] ; [45 12],[52.29104478 24.70895522] ; [38.70895522 18.29104478],0
b5,1,0.034011,4.494152,[43 34] ; [42 15],[48.84328358 28.15671642] ; [36.15671642 20.84328358],0
a4,1,0.069193,3.302069,[28 48] ; [30 27],[33.14285714 42.85714286] ; [24.85714286 32.14285714],0
d5,1,0.077491,3.116745,[50 27] ; [45 12],[54.58955224 22.41044776] ; [40.41044776 16.58955224],0
u4,1,0.084188,2.982133,[ 1 76] ; [ 4 53],[ 2.87313433 74.12686567] ; [ 2.12686567 54.87313433],0
p7,1,0.089745,2.878939,[21 55] ; [23 32],[25.52671756 50.47328244] ; [18.47328244 36.52671756],0
p4,1,0.12716,2.326842,[22 53] ; [24 33],[26.13636364 48.86363636] ; [19.86363636 37.13636364],0
s5,1,0.137947,2.200708,[18 56] ; [20 35],[21.79844961 52.20155039] ; [16.20155039 38.79844961],0
n5,1,0.14395,2.135213,[52 25] ; [45 12],[55.73880597 21.26119403] ; [41.26119403 15.73880597],0
v2,1,0.176024,1.830877,[34 41] ; [31 23],[37.79069767 37.20930233] ; [27.20930233 26.79069767],0
d1,1,0.183583,1.768381,[37 40] ; [34 23],[40.79850746 36.20149254] ; [30.20149254 26.79850746],0
a7,1,0.183721,1.767264,[44 33] ; [39 18],[47.69402985 29.30597015] ; [35.30597015 21.69402985],0
a1,1,0.201843,1.628992,[ 7 70] ; [ 2 55],[ 5.17164179 71.82835821] ; [ 3.82835821 53.17164179],0
u1,1,0.203423,1.617627,[11 66] ; [13 44],[13.79104478 63.20895522] ; [10.20895522 46.79104478],0
d2,1,0.218685,1.512982,[34 41] ; [32 25],[37.5 37.5] ; [28.5 28.5],0
b2,1,0.25728,1.283333,[20 28] ; [12 28],[17.45454545 30.54545455] ; [14.54545455 25.45454545],0
b3,1,0.25728,1.283333,[20 28] ; [12 28],[17.45454545 30.54545455] ; [14.54545455 25.45454545],0
p3,1,0.27081,1.212641,[24 53] ; [23 34],[27.00746269 49.99253731] ; [19.99253731 37.00746269],0
u3,1,0.295194,1.095779,[15 15] ; [13  7],[16.8 13.2] ; [11.2  8.8],0
p11,1,0.302287,1.06408,[46 31] ; [39 18],[48.84328358 28.15671642] ; [36.15671642 20.84328358],0
v4,1,0.330474,0.947039,[66 11] ; [52  5],[67.80597015  9.19402985] ; [50.19402985  6.80597015],0
b1,1,0.331488,0.943077,[34 43] ; [30 27],[36.7761194 40.2238806] ; [27.2238806 29.7761194],0
