Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.38278,[ 3 20] ; [67 31],[13.30578512  9.69421488] ; [56.69421488 41.30578512],1
p10,1,8e-06,19.990802,[ 8 15] ; [78 18],[16.62184874  6.37815126] ; [69.37815126 26.62184874],1
p9,1,2.7e-05,17.609813,[10 11] ; [85 12],[16.90677966  4.09322034] ; [78.09322034 18.90677966],1
p11,1,0.000286,13.156665,[ 9 14] ; [76 22],[16.15702479  6.84297521] ; [68.84297521 29.15702479],1
v4,1,0.000474,12.215715,[13 10] ; [86 12],[18.81818182  4.18181818] ; [80.18181818 17.81818182],1
p2,1,0.000547,11.947956,[ 8 15] ; [70 26],[15.07563025  7.92436975] ; [62.92436975 33.07563025],1
n2,1,0.001993,9.555909,[3 6] ; [31  6],[6.65217391 2.34782609] ; [27.34782609  9.65217391],0
s6,1,0.004476,8.079745,[ 7 16] ; [60 35],[13.05932203  9.94067797] ; [53.94067797 41.05932203],0
v2,1,0.00689,7.301482,[ 4 19] ; [46 49],[ 9.74576271 13.25423729] ; [40.25423729 54.74576271],0
s8,1,0.015289,5.882876,[ 3 20] ; [39 59],[ 7.98347107 15.01652893] ; [34.01652893 63.98347107],0
p3,1,0.019733,5.435381,[ 6 17] ; [51 45],[11.01680672 11.98319328] ; [45.98319328 50.01680672],0
n3,1,0.025137,5.014414,[3 6] ; [27 10],[5.86956522 3.13043478] ; [24.13043478 12.86956522],0
n6,1,0.031021,4.651817,[13  9] ; [79 19],[16.86666667  5.13333333] ; [75.13333333 22.86666667],0
s1,1,0.048995,3.875534,[ 3 20] ; [ 3 94],[ 1.15 21.85] ; [ 4.85 92.15],0
s7,1,0.116754,2.46034,[ 6 16] ; [42 50],[ 9.26315789 12.73684211] ; [38.73684211 53.26315789],0
b1,1,0.118958,2.430984,[14  9] ; [42 56],[10.6446281 12.3553719] ; [45.3553719 52.6446281],0
d4,1,0.120684,2.408418,[16  7] ; [82 16],[18.62809917  4.37190083] ; [79.37190083 18.62809917],0
a4,1,0.133036,2.256718,[14  8] ; [45 53],[10.81666667 11.18333333] ; [48.18333333 49.81666667],0
s3,1,0.148052,2.09221,[ 8 15] ; [50 47],[11.11666667 11.88333333] ; [46.88333333 50.11666667],0
p8,1,0.170845,1.875512,[ 6 16] ; [41 54],[ 8.83760684 13.16239316] ; [38.16239316 56.83760684],0
r2,1,0.176152,1.829794,[15  6] ; [79 15],[17.16521739  3.83478261] ; [76.83478261 17.16521739],0
s2,1,0.188249,1.73127,[ 8 15] ; [49 49],[10.83471074 12.16528926] ; [46.16528926 51.83471074],0
n1,1,0.201095,1.634405,[2 7] ; [16 19],[3.68181818 5.31818182] ; [14.31818182 20.68181818],0
a3,1,0.202007,1.627808,[20  3] ; [73 25],[17.67768595  5.32231405] ; [75.32231405 22.67768595],0
b4,1,0.20231,1.625619,[10 13] ; [57 41],[12.73553719 10.26446281] ; [54.26446281 43.73553719],0
p6,1,0.208548,1.58148,[ 5 18] ; [33 60],[ 7.53448276 15.46551724] ; [30.46551724 62.53448276],0
