Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,55.035646,[37 12] ; [ 30 129],[15.78365385 33.21634615] ; [ 51.21634615 107.78365385],1
p1,1,8.6e-05,15.431732,[11 38] ; [  7 152],[ 4.24038462 44.75961538] ; [ 13.75961538 145.24038462],1
s2,1,0.000707,11.471538,[25 24] ; [ 40 118],[15.38647343 33.61352657] ; [ 49.61352657 108.38647343],1
p6,1,0.001172,10.533894,[12 37] ; [ 12 147],[ 5.65384615 43.34615385] ; [ 18.34615385 140.65384615],0
s6,1,0.002099,9.461075,[32 17] ; [64 95],[22.61538462 26.38461538] ; [73.38461538 85.61538462],0
p8,1,0.002568,9.091758,[17 32] ; [ 24 135],[ 9.65865385 39.34134615] ; [ 31.34134615 127.65865385],0
b5,1,0.003341,8.611259,[19 30] ; [100  60],[27.89952153 21.10047847] ; [91.10047847 68.89952153],0
s3,1,0.006881,7.303842,[28 21] ; [ 56 102],[19.88405797 29.11594203] ; [64.11594203 93.88405797],0
p2,1,0.019217,5.481615,[35 14] ; [84 76],[27.89952153 21.10047847] ; [91.10047847 68.89952153],0
n4,1,0.026554,4.919568,[39 10] ; [100  60],[32.58851675 16.41148325] ; [106.41148325  53.58851675],0
s5,1,0.027602,4.852746,[15 31] ; [ 27 127],[ 9.66 36.34] ; [ 32.34 121.66],0
p5,1,0.032306,4.582206,[ 4 45] ; [  3 157],[ 1.64114833 47.35885167] ; [  5.35885167 154.64114833],0
s7,1,0.035776,4.407746,[19 26] ; [ 40 114],[13.34170854 31.65829146] ; [ 45.65829146 108.34170854],0
s8,1,0.038797,4.269749,[19 30] ; [ 38 122],[13.36363636 35.63636364] ; [ 43.63636364 116.36363636],0
r1,1,0.061641,3.492684,[37 11] ; [100  60],[31.61538462 16.38461538] ; [105.38461538  54.61538462],0
r4,1,0.093616,2.811073,[40  9] ; [111  49],[35.40191388 13.59808612] ; [115.59808612  44.40191388],0
v4,1,0.115985,2.470714,[44  5] ; [128  32],[40.32535885  8.67464115] ; [131.67464115  28.32535885],0
a5,1,0.118027,2.443312,[34 15] ; [91 69],[29.3062201 19.6937799] ; [95.6937799 64.3062201],0
u1,1,0.130574,2.285662,[10 39] ; [ 19 141],[ 6.79904306 42.20095694] ; [ 22.20095694 137.79904306],0
s1,1,0.130794,2.283055,[ 5 44] ; [  7 151],[ 2.84057971 46.15942029] ; [  9.15942029 148.84057971],0
p10,1,0.132075,2.267942,[34 15] ; [90 67],[29.49514563 19.50485437] ; [94.50485437 62.49514563],0
r3,1,0.132751,2.260041,[44  5] ; [128  31],[40.51923077  8.48076923] ; [131.48076923  27.51923077],0
a3,1,0.139788,2.180294,[35 14] ; [95 64],[30.625 18.375] ; [99.375 59.625],0
p9,1,0.140843,2.168723,[36 13] ; [96 59],[31.70588235 17.29411765] ; [100.29411765  54.70588235],0
a8,1,0.14656,2.10769,[ 1 44] ; [ 13 139],[ 3.19796954 41.80203046] ; [ 10.80203046 141.19796954],0
r2,1,0.149695,2.075357,[45  4] ; [132  26],[41.89855072  7.10144928] ; [135.10144928  22.89855072],0
n5,1,0.150752,2.064629,[36 13] ; [99 60],[31.80288462 17.19711538] ; [103.19711538  55.80288462],0
n6,1,0.19856,1.652935,[40  9] ; [116  44],[36.57416268 12.42583732] ; [119.42583732  40.57416268],0
d5,1,0.217525,1.520626,[39 10] ; [113  47],[35.63636364 13.36363636] ; [116.36363636  43.63636364],0
d2,1,0.261873,1.258829,[26 22] ; [71 87],[22.60194175 25.39805825] ; [74.39805825 83.60194175],0
v3,1,0.265464,1.240037,[ 8 38] ; [ 39 115],[10.81 35.19] ; [ 36.19 117.81],0
b4,1,0.286082,1.137969,[35 14] ; [101  59],[31.88516746 17.11483254] ; [104.11483254  55.88516746],0
d1,1,0.303865,1.057156,[28 21] ; [78 82],[24.85167464 24.14832536] ; [81.14832536 78.85167464],0
p11,1,0.330405,0.947311,[32 17] ; [92 68],[29.07177033 19.92822967] ; [94.92822967 65.07177033],0
b2,1,0.334678,0.93071,[ 7 19] ; [32 54],[ 9.05357143 16.94642857] ; [29.94642857 56.05357143],0
b3,1,0.334678,0.93071,[ 7 19] ; [32 54],[ 9.05357143 16.94642857] ; [29.94642857 56.05357143],0
n3,1,0.379566,0.772107,[13  6] ; [36 27],[11.35365854  7.64634146] ; [37.64634146 25.35365854],0
a4,1,0.563635,0.333449,[22 27] ; [64 95],[20.25961538 28.74038462] ; [65.74038462 93.25961538],0
d4,1,0.61206,0.257186,[39 10] ; [121  38],[37.69230769 11.30769231] ; [122.30769231  36.69230769],0
b1,1,0.626289,0.237127,[18 31] ; [65 95],[19.45933014 29.54066986] ; [63.54066986 96.45933014],0
u4,1,0.683858,0.165816,[ 1 48] ; [  2 158],[ 0.70334928 48.29665072] ; [  2.29665072 157.70334928],0
s4,1,0.687304,0.16202,[ 8 41] ; [ 30 129],[ 8.95192308 40.04807692] ; [ 29.04807692 129.95192308],0
a2,1,0.72836,0.120623,[ 9 40] ; [ 26 134],[ 8.20574163 40.79425837] ; [ 26.79425837 133.20574163],0
d3,1,0.735109,0.114472,[29 20] ; [99 61],[30.00956938 18.99043062] ; [97.99043062 62.00956938],0
u3,1,0.742256,0.108153,[6 8] ; [31 34],[6.55696203 7.44303797] ; [30.44303797 34.55696203],0
p12,1,0.792146,0.069445,[ 2 47] ; [  8 152],[ 2.34449761 46.65550239] ; [  7.65550239 152.34449761],0
a6,1,0.872005,0.025957,[30 19] ; [100  60],[30.4784689 18.5215311] ; [99.5215311 60.4784689],0
a1,1,0.895803,0.017152,[ 3 46] ; [  9 151],[ 2.81339713 46.18660287] ; [  9.18660287 150.81339713],0
v2,1,0.901144,0.01543,[17 31] ; [52 99],[16.64321608 31.35678392] ; [52.35678392 98.64321608],0
u2,1,0.90438,0.014431,[6 8] ; [29 36],[6.20253165 7.79746835] ; [28.79746835 36.20253165],0
n2,1,0.9345,0.006754,[12  7] ; [41 25],[11.84705882  7.15294118] ; [41.15294118 24.84705882],0
n1,1,0.964838,0.001943,[ 8 11] ; [27 38],[ 7.91666667 11.08333333] ; [27.08333333 37.91666667],0
a7,1,0.989461,0.000174,[32 17] ; [104  55],[32.03846154 16.96153846] ; [103.96153846  55.03846154],0
