Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,97.000564,[239 115] ; [ 32 125],[187.73776908 166.26223092] ; [83.26223092 73.73776908],1
s3,1,0.0,83.934298,[246 105] ; [ 42 116],[198.60117878 152.39882122] ; [89.39882122 68.60117878],1
s7,1,0.0,78.230769,[236 108] ; [ 38 111],[191.18864097 152.81135903] ; [82.81135903 66.18864097],1
s8,1,0.0,55.703149,[216 137] ; [ 41 119],[176.84405458 176.15594542] ; [80.15594542 79.84405458],1
s5,1,0.0,50.687586,[167 181] ; [ 23 133],[131.19047619 216.80952381] ; [58.80952381 97.19047619],1
r4,1,0.0,26.64634,[337  19] ; [128  32],[320.81395349  35.18604651] ; [144.18604651  15.81395349],1
p4,1,1e-05,19.578313,[253 100] ; [82 77],[230.96679688 122.03320312] ; [104.03320312  54.96679688],1
p9,1,1.4e-05,18.866876,[325  27] ; [123  33],[310.42519685  41.57480315] ; [137.57480315  18.42519685],1
v4,1,0.000101,15.124774,[347   9] ; [143  17],[338.0620155  17.9379845] ; [151.9379845   8.0620155],1
r3,1,0.000112,14.926893,[342  14] ; [138  21],[331.80582524  24.19417476] ; [148.19417476  10.80582524],1
s4,1,0.000207,13.762212,[ 66 284] ; [ 10 150],[ 52.15686275 297.84313725] ; [ 23.84313725 136.15686275],1
p6,1,0.000273,13.248789,[154 198] ; [ 42 115],[135.54420432 216.45579568] ; [60.45579568 96.54420432],1
p2,1,0.000447,12.325612,[307  47] ; [117  41],[293.15625  60.84375] ; [130.84375  27.15625],1
r1,1,0.000615,11.730849,[309  46] ; [119  40],[295.60311284  59.39688716] ; [132.39688716  26.60311284],1
n6,1,0.000794,11.255533,[332  23] ; [133  25],[321.78362573  33.21637427] ; [143.21637427  14.78362573],1
r2,1,0.00114,10.584855,[344  10] ; [142  15],[336.68101761  17.31898239] ; [149.31898239   7.68101761],0
p12,1,0.002932,8.849119,[ 43 310] ; [  6 152],[ 33.84931507 319.15068493] ; [ 15.15068493 142.84931507],0
u1,1,0.003335,8.614726,[ 98 258] ; [ 25 135],[ 84.86046512 271.13953488] ; [ 38.13953488 121.86046512],0
p10,1,0.00471,7.987502,[311  40] ; [125  33],[300.66011788  50.33988212] ; [135.33988212  22.66011788],0
d4,1,0.005741,7.629998,[311  42] ; [126  34],[300.7037037  52.2962963] ; [136.2962963  23.7037037],0
v1,1,0.006175,7.498551,[221 125] ; [80 77],[207.04970179 138.95029821] ; [93.95029821 63.04970179],0
b5,1,0.010525,6.543862,[225 131] ; [82 78],[211.80620155 144.19379845] ; [95.19379845 64.80620155],0
p5,1,0.015013,5.914915,[ 54 298] ; [ 12 147],[ 45.46379648 306.53620352] ; [ 20.53620352 138.46379648],0
p7,1,0.015535,5.854774,[235 109] ; [91 68],[222.95029821 121.04970179] ; [103.04970179  55.95029821],0
u4,1,0.017478,5.647716,[ 17 339] ; [  1 159],[ 12.41860465 343.58139535] ; [  5.58139535 154.41860465],0
d3,1,0.036699,4.364338,[262  92] ; [104  56],[252.07003891 101.92996109] ; [113.92996109  46.07003891],0
d5,1,0.048511,3.892198,[310  43] ; [130  30],[302.76803119  50.23196881] ; [137.23196881  22.76803119],0
p3,1,0.049419,3.861052,[199 155] ; [74 84],[188.75390625 165.24609375] ; [84.24609375 73.75390625],0
n4,1,0.060838,3.514397,[327  28] ; [139  21],[321.22330097  33.77669903] ; [144.77669903  15.22330097],0
a3,1,0.122724,2.382211,[295  60] ; [123  36],[288.69649805  66.30350195] ; [129.30350195  29.69649805],0
d1,1,0.125112,2.352134,[249 107] ; [101  59],[241.47286822 114.52713178] ; [108.52713178  51.47286822],0
p11,1,0.127009,2.328684,[298  58] ; [125  35],[291.8372093  64.1627907] ; [131.1627907  28.8372093],0
a8,1,0.148953,2.082943,[ 55 268] ; [ 17 127],[ 49.7987152 273.2012848] ; [ 22.2012848 121.7987152],0
n2,1,0.196736,1.666444,[57 13] ; [32 13],[54.17391304 15.82608696] ; [34.82608696 10.17391304],0
p8,1,0.228432,1.450599,[199 148] ; [81 76],[192.77777778 154.22222222] ; [87.22222222 69.77777778],0
a2,1,0.255209,1.29456,[125 231] ; [ 48 112],[119.35658915 236.64341085] ; [ 53.64341085 106.35658915],0
v3,1,0.255302,1.294053,[155 188] ; [62 94],[149.16032064 193.83967936] ; [67.83967936 88.16032064],0
v2,1,0.295282,1.095381,[208 136] ; [86 69],[202.67735471 141.32264529] ; [91.32264529 63.67735471],0
u3,1,0.317155,1.000644,[36 25] ; [18 19],[33.6122449 27.3877551] ; [20.3877551 16.6122449],0
u2,1,0.387817,0.745775,[36 25] ; [18 18],[33.95876289 27.04123711] ; [20.04123711 15.95876289],0
n1,1,0.450358,0.56975,[33 36] ; [17 25],[31.08108108 37.91891892] ; [18.91891892 23.08108108],0
b1,1,0.458919,0.548531,[139 217] ; [68 92],[142.81395349 213.18604651] ; [64.18604651 95.81395349],0
a7,1,0.52691,0.400348,[261  95] ; [113  47],[258.03100775  97.96899225] ; [115.96899225  44.03100775],0
b4,1,0.583622,0.300416,[205 151] ; [88 72],[202.14728682 153.85271318] ; [90.85271318 69.14728682],0
s1,1,0.599915,0.275125,[ 12 338] ; [  4 153],[ 11.04536489 338.95463511] ; [  4.95463511 152.04536489],0
b2,1,0.66056,0.192844,[100 131] ; [45 53],[101.80851064 129.19148936] ; [43.19148936 54.80851064],0
b3,1,0.66056,0.192844,[100 131] ; [45 53],[101.80851064 129.19148936] ; [43.19148936 54.80851064],0
p1,1,0.73104,0.118159,[ 30 325] ; [ 15 145],[ 31.01941748 323.98058252] ; [ 13.98058252 146.01941748],0
a6,1,0.759613,0.093629,[258  95] ; [119  41],[259.417154  93.582846] ; [117.582846  42.417154],0
a4,1,0.851229,0.035175,[195 159] ; [89 70],[195.97660819 158.02339181] ; [88.02339181 70.97660819],0
a1,1,0.860715,0.030788,[ 23 333] ; [ 11 149],[ 23.45736434 332.54263566] ; [ 10.54263566 149.45736434],0
n3,1,0.949104,0.004074,[49 20] ; [31 13],[48.84955752 20.15044248] ; [31.15044248 12.84955752],0
d2,1,0.952497,0.003549,[211 142] ; [94 64],[210.69471624 142.30528376] ; [94.30528376 63.69471624],0
