Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1.9e-05,18.26544,[47 27] ; [66  5],[57.66896552 16.33103448] ; [55.33103448 15.66896552],1
r3,1,4.8e-05,16.534032,[47 27] ; [66  6],[57.2739726 16.7260274] ; [55.7260274 16.2739726],1
p7,1,0.000179,14.043399,[15 57] ; [37 36],[25.82068966 46.17931034] ; [26.17931034 46.82068966],1
r4,1,0.001538,10.032618,[40 35] ; [57 16],[49.15540541 25.84459459] ; [47.84459459 25.15540541],0
a6,1,0.004001,8.283577,[36 39] ; [52 21],[44.59459459 30.40540541] ; [43.40540541 29.59459459],0
p11,1,0.005256,7.789101,[26 49] ; [42 31],[34.45945946 40.54054054] ; [33.54054054 39.45945946],0
p8,1,0.005373,7.749412,[10 64] ; [24 49],[17.11564626 56.88435374] ; [16.88435374 56.11564626],0
b3,1,0.010933,6.476169,[18 30] ; [ 6 37],[12.65934066 35.34065934] ; [11.34065934 31.65934066],0
b2,1,0.010933,6.476169,[18 30] ; [ 6 37],[12.65934066 35.34065934] ; [11.34065934 31.65934066],0
p4,1,0.01462,5.961667,[18 55] ; [32 41],[25. 48.] ; [25. 48.],0
a7,1,0.01668,5.729766,[37 37] ; [50 22],[44.09589041 29.90410959] ; [42.90410959 29.09589041],0
s1,1,0.017064,5.689757,[10 64] ; [ 2 71],[ 6.04081633 67.95918367] ; [ 5.95918367 67.04081633],0
b5,1,0.020438,5.374064,[33 42] ; [46 27],[40.03378378 34.96621622] ; [38.96621622 34.03378378],0
d3,1,0.030942,4.656176,[34 41] ; [46 27],[40.54054054 34.45945946] ; [39.45945946 33.54054054],0
a1,1,0.03177,4.610842,[ 9 66] ; [ 2 71],[ 5.57432432 69.42567568] ; [ 5.42567568 67.57432432],0
r1,1,0.032454,4.574361,[47 27] ; [58 15],[52.85714286 21.14285714] ; [52.14285714 20.85714286],0
p10,1,0.049414,3.861244,[13 61] ; [23 50],[18.12244898 55.87755102] ; [17.87755102 55.12244898],0
n1,1,0.059099,3.5625,[14 18] ; [ 5 20],[10.66666667 21.33333333] ; [ 8.33333333 16.66666667],0
s3,1,0.067873,3.33373,[24 50] ; [34 38],[29.39726027 44.60273973] ; [28.60273973 43.39726027],0
n2,1,0.071749,3.242555,[16 18] ; [17  7],[19.34482759 14.65517241] ; [13.65517241 10.34482759],0
d5,1,0.085441,2.958239,[49 26] ; [57 16],[53.71621622 21.28378378] ; [52.28378378 20.71621622],0
s8,1,0.116953,2.457658,[10 65] ; [17 56],[13.68243243 61.31756757] ; [13.31756757 59.68243243],0
v1,1,0.125678,2.345098,[19 56] ; [27 46],[23.31081081 51.68918919] ; [22.68918919 50.31081081],0
s2,1,0.137443,2.206359,[18 57] ; [25 46],[22.0890411 52.9109589] ; [20.9109589 50.0890411],0
b1,1,0.190289,1.715375,[43 32] ; [34 39],[39.02027027 35.97972973] ; [37.97972973 35.02027027],0
s4,1,0.228176,1.452195,[ 9 66] ; [14 59],[11.65540541 63.34459459] ; [11.34459459 61.65540541],0
a4,1,0.254074,1.300764,[30 44] ; [23 50],[26.68027211 47.31972789] ; [26.31972789 46.68027211],0
n3,1,0.26575,1.238554,[14 16] ; [16 10],[16.07142857 13.92857143] ; [13.92857143 12.07142857],0
p3,1,0.27881,1.172882,[17 58] ; [22 50],[19.89795918 55.10204082] ; [19.10204082 52.89795918],0
n4,1,0.330049,0.948707,[45 29] ; [50 23],[47.82312925 26.17687075] ; [47.17687075 25.82312925],0
s6,1,0.330688,0.9462,[28 47] ; [33 40],[30.91216216 44.08783784] ; [30.08783784 42.91216216],0
p1,1,0.332492,0.939167,[ 6 69] ; [ 3 69],[ 4.59183673 70.40816327] ; [ 4.40816327 67.59183673],0
r2,1,0.336513,0.923672,[59 13] ; [64  9],[61.07586207 10.92413793] ; [61.92413793 11.07586207],0
b4,1,0.36812,0.81,[45 30] ; [49 24],[47.63513514 27.36486486] ; [46.36486486 26.63513514],0
n6,1,0.39312,0.729271,[43 30] ; [48 25],[45.5 27.5] ; [45.5 27.5],0
d2,1,0.507877,0.438438,[39 35] ; [34 38],[37. 37.] ; [36. 36.],0
u1,1,0.572613,0.31833,[ 8 67] ; [10 63],[ 9.12162162 65.87837838] ; [ 8.87837838 64.12162162],0
s7,1,0.591232,0.288425,[16 53] ; [19 51],[17.37410072 51.62589928] ; [17.62589928 52.37410072],0
a3,1,0.686118,0.16332,[45 29] ; [42 31],[43.79591837 30.20408163] ; [43.20408163 29.79591837],0
s5,1,0.721729,0.126842,[14 61] ; [12 61],[13.17567568 61.82432432] ; [12.82432432 60.17567568],0
d1,1,0.753,0.099028,[33 42] ; [34 39],[33.9527027 41.0472973] ; [33.0472973 39.9527027],0
a5,1,0.762831,0.091062,[46 29] ; [43 30],[45.10135135 29.89864865] ; [43.89864865 29.10135135],0
v3,1,0.763825,0.090277,[24 48] ; [22 49],[23.16083916 48.83916084] ; [22.83916084 48.16083916],0
a2,1,0.769118,0.086159,[12 63] ; [13 60],[12.66891892 62.33108108] ; [12.33108108 60.66891892],0
d4,1,0.833314,0.04429,[54 21] ; [50 21],[53.42465753 21.57534247] ; [50.57534247 20.42465753],0
a8,1,0.844134,0.038655,[ 5 66] ; [ 5 58],[ 5.29850746 65.70149254] ; [ 4.70149254 58.29850746],0
v2,1,0.845035,0.038203,[27 46] ; [27 43],[27.56643357 45.43356643] ; [26.43356643 43.56643357],0
u2,1,0.887276,0.020094,[13 16] ; [14 16],[13.27118644 15.72881356] ; [13.72881356 16.27118644],0
u3,1,0.906103,0.013913,[16 14] ; [17 14],[16.2295082 13.7704918] ; [16.7704918 14.2295082],0
n5,1,0.942262,0.005246,[42 32] ; [41 32],[41.78231293 32.21768707] ; [41.21768707 31.78231293],0
