Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,108.15982,[ 79 270] ; [121  53],[133.46080306 215.53919694] ; [ 66.53919694 107.46080306],1
s6,1,0.0,86.309086,[165 198] ; [156  23],[214.98708487 148.01291513] ; [106.01291513  72.98708487],1
s2,1,0.0,77.629188,[110 252] ; [127  54],[158. 204.] ; [ 79. 102.],1
s3,1,0.0,59.933119,[140 221] ; [134  47],[182.49815498 178.50184502] ; [91.50184502 89.49815498],1
p6,1,0.0,30.027164,[ 84 274] ; [84 96],[111.79182156 246.20817844] ; [ 56.20817844 123.79182156],1
p10,1,1e-06,24.491567,[237 123] ; [154  25],[261.15027829  98.84972171] ; [129.84972171  49.15027829],1
s5,1,1e-06,23.622466,[ 77 280] ; [ 72 100],[100.55387524 256.44612476] ; [ 48.44612476 123.55387524],1
p9,1,6e-06,20.438276,[253 104] ; [159  21],[273.89944134  83.10055866] ; [138.10055866  41.89944134],1
p4,1,1.2e-05,19.12967,[158 206] ; [114  66],[182. 182.] ; [90. 90.],1
u1,1,2.7e-05,17.58842,[ 36 329] ; [ 42 139],[ 52.14285714 312.85714286] ; [ 25.85714286 155.14285714],1
r4,1,6.8e-05,15.871747,[279  86] ; [164  17],[296.14468864  68.85531136] ; [146.85531136  34.14468864],1
p7,1,8.9e-05,15.361253,[180 178] ; [120  56],[201.12359551 156.87640449] ; [98.87640449 77.12359551],1
d2,1,0.000102,15.100206,[135 228] ; [99 82],[156.14338235 206.85661765] ; [ 77.85661765 103.14338235],1
v4,1,0.000105,15.038306,[313  48] ; [175   5],[325.63401109  35.36598891] ; [162.36598891  17.63401109],1
a5,1,0.000305,13.036376,[226 139] ; [140  41],[244.67032967 120.32967033] ; [121.32967033  59.67032967],1
p3,1,0.000571,11.867334,[123 240] ; [89 92],[141.46323529 221.53676471] ; [ 70.53676471 110.46323529],1
p8,1,0.000856,11.11603,[141 220] ; [97 82],[159.10740741 201.89259259] ; [ 78.89259259 100.10740741],1
