Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,103.444219,[ 92 129] ; [476 129],[151.97094431  69.02905569] ; [416.02905569 188.97094431],1
d3,1,0.0,84.944687,[100 121] ; [476 130],[153.92503023  67.07496977] ; [422.07496977 183.92503023],1
a2,1,0.0,37.885466,[ 20 201] ; [181 427],[ 53.58383595 167.41616405] ; [147.41616405 460.58383595],1
u1,1,0.0,28.981367,[ 14 207] ; [138 470],[ 40.52110977 180.47889023] ; [111.47889023 496.52110977],1
b5,1,1e-06,23.858448,[104 117] ; [400 208],[134.35946924  86.64053076] ; [369.64053076 238.35946924],1
d1,1,0.00055,11.939195,[109 112] ; [381 227],[130.62726176  90.37273824] ; [359.37273824 248.62726176],1
p2,1,0.001896,9.64736,[167  52] ; [517  88],[181.79126214  37.20873786] ; [502.20873786 102.79126214],0
b1,1,0.006038,7.538977,[ 99 122] ; [209 399],[ 82.10856454 138.89143546] ; [225.89143546 382.10856454],0
d5,1,0.006043,7.537389,[166  54] ; [508  98],[179.5157385  40.4842615] ; [494.4842615 111.5157385],0
d4,1,0.007967,7.040871,[168  51] ; [513  93],[180.77454545  38.22545455] ; [500.22545455 105.77454545],0
p4,1,0.010792,6.499258,[115 103] ; [377 225],[130.8  87.2] ; [361.2 240.8],0
v2,1,0.019725,5.436072,[107 106] ; [345 235],[121.407314  91.592686] ; [330.592686 249.407314],0
r1,1,0.022297,5.222457,[178  43] ; [525  79],[188.31878788  32.68121212] ; [514.68121212  89.31878788],0
p10,1,0.024607,5.051359,[165  52] ; [498 102],[176.09669523  40.90330477] ; [486.90330477 113.09669523],0
u3,1,0.02892,4.772354,[34 34] ; [111  59],[41.42857143 26.57142857] ; [103.57142857  66.42857143],0
s5,1,0.035225,4.434231,[ 84 124] ; [189 396],[ 71.60655738 136.39344262] ; [201.39344262 383.60655738],0
a5,1,0.055524,3.666276,[153  68] ; [461 147],[163.68395657  57.31604343] ; [450.31604343 157.68395657],0
b3,1,0.061596,3.493871,[63 78] ; [128 231],[53.862 87.138] ; [137.138 221.862],0
b2,1,0.061596,3.493871,[63 78] ; [128 231],[53.862 87.138] ; [137.138 221.862],0
p9,1,0.069353,3.298279,[176  42] ; [513  84],[184.29693252  33.70306748] ; [504.70306748  92.29693252],0
n6,1,0.113495,2.504871,[178  41] ; [519  86],[185.24635922  33.75364078] ; [511.75364078  93.24635922],0
r2,1,0.167753,1.902906,[211   8] ; [594  12],[213.69090909   5.30909091] ; [591.30909091  14.69090909],0
b4,1,0.176216,1.829255,[120 101] ; [362 246],[128.49457177  92.50542823] ; [353.50542823 254.49457177],0
s8,1,0.200017,1.642248,[107 113] ; [263 340],[ 98.90643985 121.09356015] ; [271.09356015 331.90643985],0
n2,1,0.213954,1.54447,[47 11] ; [84 32],[43.66666667 14.33333333] ; [87.33333333 28.66666667],0
s4,1,0.230408,1.438342,[ 42 178] ; [ 93 504],[ 36.35250918 183.64749082] ; [ 98.64749082 498.35250918],0
s7,1,0.250998,1.317738,[111 101] ; [276 302],[103.85316456 108.14683544] ; [283.14683544 294.85316456],0
n1,1,0.265292,1.240929,[25 32] ; [40 74],[21.66666667 35.33333333] ; [43.33333333 70.66666667],0
v4,1,0.286976,1.133753,[211   8] ; [594  14],[213.17412334   5.82587666] ; [591.82587666  16.17412334],0
p8,1,0.316061,1.005177,[107 109] ; [320 278],[113.30712531 102.69287469] ; [313.69287469 284.30712531],0
p12,1,0.320998,0.984878,[ 14 202] ; [ 52 551],[ 17.40659341 198.59340659] ; [ 48.59340659 554.40659341],0
a1,1,0.354424,0.857554,[ 12 209] ; [ 24 584],[  9.59710495 211.40289505] ; [ 26.40289505 581.59710495],0
s1,1,0.357035,0.848296,[  9 209] ; [ 17 580],[  6.95460123 211.04539877] ; [ 19.04539877 577.95460123],0
s3,1,0.357348,0.84719,[130  89] ; [334 265],[124.22493888  94.77506112] ; [339.77506112 259.22493888],0
a8,1,0.37698,0.780527,[ 27 182] ; [ 84 459],[ 30.84973404 178.15026596] ; [ 80.15026596 462.84973404],0
p5,1,0.414191,0.666738,[ 28 190] ; [ 65 537],[ 24.72439024 193.27560976] ; [ 68.27560976 533.72439024],0
u2,1,0.42524,0.635788,[36 31] ; [101  69],[38.72995781 28.27004219] ; [98.27004219 71.72995781],0
a3,1,0.445136,0.583007,[153  68] ; [436 170],[157.39903265  63.60096735] ; [431.60096735 174.39903265],0
s2,1,0.46412,0.535941,[107 112] ; [311 290],[111.63658537 107.36341463] ; [306.36341463 294.63658537],0
s6,1,0.560805,0.338313,[141  71] ; [410 187],[144.39060569  67.60939431] ; [406.60939431 190.39060569],0
v1,1,0.63014,0.231871,[115 102] ; [325 267],[118.02224969  98.97775031] ; [321.97775031 270.02224969],0
p7,1,0.692526,0.156364,[142  74] ; [379 211],[139.62282878  76.37717122] ; [381.37717122 208.62282878],0
u4,1,0.732278,0.117031,[  6 215] ; [ 14 594],[  5.33172497 215.66827503] ; [ 14.66827503 593.33172497],0
n4,1,0.794209,0.068042,[168  52] ; [468 138],[169.39467312  50.60532688] ; [466.60532688 139.39467312],0
p6,1,0.811841,0.056668,[ 77 137] ; [221 378],[ 78.4403444 135.5596556] ; [219.5596556 379.4403444],0
p11,1,0.837323,0.042156,[177  44] ; [483 125],[175.946924  45.053076] ; [484.053076 123.946924],0
p1,1,0.840668,0.040417,[ 18 202] ; [ 52 551],[ 18.71202916 201.28797084] ; [ 51.28797084 551.71202916],0
p3,1,0.841837,0.039818,[109 111] ; [304 300],[110.26699029 109.73300971] ; [302.73300971 301.26699029],0
n3,1,0.851743,0.03493,[43 14] ; [89 27],[43.49132948 13.50867052] ; [88.50867052 27.49132948],0
a4,1,0.871414,0.0262,[ 99 121] ; [277 330],[100.0241838 119.9758162] ; [275.9758162 331.0241838],0
d2,1,0.874862,0.024802,[107 113] ; [298 307],[108. 112.] ; [297. 308.],0
n5,1,0.939558,0.00575,[162  56] ; [448 157],[161.57958688  56.42041312] ; [448.42041312 156.57958688],0
v3,1,0.98915,0.000185,[ 86 126] ; [236 345],[ 86.08322825 125.91677175] ; [235.91677175 345.08322825],0
