Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,1.9e-05,18.286136,[27  6] ; [11 25],[18.17391304 14.82608696] ; [19.82608696 16.17391304],1
a4,1,0.004611,8.025936,[16 17] ; [ 6 30],[10.52173913 22.47826087] ; [11.47826087 24.52173913],0
r3,1,0.011425,6.398,[29  4] ; [22 14],[24.39130435  8.60869565] ; [26.60869565  9.39130435],0
v3,1,0.021226,5.308163,[10 18] ; [ 4 31],[ 6.22222222 21.77777778] ; [ 7.77777778 27.22222222],0
d2,1,0.023718,5.115132,[19 14] ; [11 25],[14.34782609 18.65217391] ; [15.65217391 20.34782609],0
r4,1,0.031146,4.644896,[24  9] ; [17 19],[19.60869565 13.39130435] ; [21.39130435 14.60869565],0
d5,1,0.037511,4.327069,[22 11] ; [15 21],[17.69565217 15.30434783] ; [19.30434783 16.69565217],0
d1,1,0.04086,4.181818,[15 18] ; [ 8 28],[11. 22.] ; [12. 24.],0
n5,1,0.082016,3.024495,[11 22] ; [19 16],[14.55882353 18.44117647] ; [15.44117647 19.55882353],0
s6,1,0.092643,2.827833,[18 15] ; [12 23],[14.55882353 18.44117647] ; [15.44117647 19.55882353],0
r2,1,0.106048,2.612149,[28  4] ; [25 10],[25.31343284  6.68656716] ; [27.68656716  7.31343284],0
s8,1,0.10851,2.575792,[11 22] ; [ 6 30],[ 8.13043478 24.86956522] ; [ 8.86956522 27.13043478],0
s7,1,0.121856,2.393299,[12 18] ; [ 7 25],[ 9.19354839 20.80645161] ; [ 9.80645161 22.19354839],0
d4,1,0.123862,2.367796,[23 10] ; [18 17],[19.89705882 13.10294118] ; [21.10294118 13.89705882],0
a6,1,0.127023,2.328512,[15 18] ; [10 26],[11.95652174 21.04347826] ; [13.04347826 22.95652174],0
p3,1,0.169222,1.889822,[13 19] ; [ 9 27],[10.35294118 21.64705882] ; [11.64705882 24.35294118],0
p11,1,0.170926,1.874807,[21 12] ; [17 19],[18.17391304 14.82608696] ; [19.82608696 16.17391304],0
p7,1,0.176747,1.824767,[13 20] ; [19 15],[15.76119403 17.23880597] ; [16.23880597 17.76119403],0
s3,1,0.211142,1.563582,[21 12] ; [17 18],[18.44117647 14.55882353] ; [19.55882353 15.44117647],0
p6,1,0.229701,1.44271,[ 5 25] ; [10 24],[ 7.03125 22.96875] ; [ 7.96875 26.03125],0
r1,1,0.253703,1.302797,[21 12] ; [18 18],[18.65217391 14.34782609] ; [20.34782609 15.65217391],0
s1,1,0.274885,1.192208,[ 3 30] ; [ 1 34],[ 1.94117647 31.05882353] ; [ 2.05882353 32.94117647],0
n3,1,0.27894,1.172249,[9 3] ; [10  8],[7.6 4.4] ; [11.4  6.6],0
s2,1,0.305569,1.049731,[14 19] ; [11 25],[11.95652174 21.04347826] ; [13.04347826 22.95652174],0
p10,1,0.331029,0.94487,[17 15] ; [14 20],[15.03030303 16.96969697] ; [15.96969697 18.03030303],0
v2,1,0.332421,0.939443,[14 17] ; [11 22],[12.109375 18.890625] ; [12.890625 20.109375],0
p1,1,0.333612,0.934824,[ 4 29] ; [ 2 34],[ 2.86956522 30.13043478] ; [ 3.13043478 32.86956522],0
u2,1,0.362953,0.827651,[5 1] ; [16  9],[4.06451613 1.93548387] ; [16.93548387  8.06451613],0
b4,1,0.376298,0.78276,[20 13] ; [18 18],[18.17391304 14.82608696] ; [19.82608696 16.17391304],0
p9,1,0.388899,0.742383,[19 14] ; [16 18],[17.23880597 15.76119403] ; [17.76119403 16.23880597],0
b5,1,0.389773,0.73965,[14 19] ; [19 17],[15.7826087 17.2173913] ; [17.2173913 18.7826087],0
p8,1,0.397068,0.717188,[11 21] ; [ 9 27],[ 9.41176471 22.58823529] ; [10.58823529 25.41176471],0
n2,1,0.415439,0.663182,[11  2] ; [13  5],[10.06451613  2.93548387] ; [13.93548387  4.06451613],0
p4,1,0.419806,0.650859,[15 17] ; [13 22],[13.37313433 18.62686567] ; [14.62686567 20.37313433],0
d3,1,0.441297,0.592908,[13 20] ; [11 25],[11.47826087 21.52173913] ; [12.52173913 23.47826087],0
b2,1,0.454107,0.560381,[ 9 12] ; [ 7 15],[ 7.81395349 13.18604651] ; [ 8.18604651 13.81395349],0
b3,1,0.454107,0.560381,[ 9 12] ; [ 7 15],[ 7.81395349 13.18604651] ; [ 8.18604651 13.81395349],0
a1,1,0.457033,0.553151,[ 2 31] ; [ 4 32],[ 2.86956522 30.13043478] ; [ 3.13043478 32.86956522],0
v4,1,0.484077,0.489664,[25  7] ; [24 10],[23.75757576  8.24242424] ; [25.24242424  8.75757576],0
a8,1,0.484136,0.489533,[ 2 29] ; [ 1 34],[ 1.40909091 29.59090909] ; [ 1.59090909 33.40909091],0
p5,1,0.626147,0.237322,[ 1 31] ; [ 2 34],[ 1.41176471 30.58823529] ; [ 1.58823529 34.41176471],0
n4,1,0.736729,0.113022,[17 16] ; [20 16],[17.69565217 15.30434783] ; [19.30434783 16.69565217],0
v1,1,0.736729,0.113022,[16 17] ; [16 20],[15.30434783 17.69565217] ; [16.69565217 19.30434783],0
s5,1,0.768968,0.086275,[ 7 26] ; [ 8 25],[ 7.5 25.5] ; [ 7.5 25.5],0
b1,1,0.808779,0.058565,[22 11] ; [23 13],[21.52173913 11.47826087] ; [23.47826087 12.52173913],0
p2,1,0.866037,0.028458,[17 14] ; [19 17],[16.65671642 14.34328358] ; [19.34328358 16.65671642],0
s4,1,0.919063,0.010325,[ 7 26] ; [ 8 28],[ 7.17391304 25.82608696] ; [ 7.82608696 28.17391304],0
u3,1,0.92985,0.00775,[3 3] ; [13 12],[3.09677419 2.90322581] ; [12.90322581 12.09677419],0
n1,1,1.0,0.0,[6 6] ; [9 9],[6. 6.] ; [9. 9.],0
