Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,2.8e-05,17.558313,[26  7] ; [33 58],[15.7016129 17.2983871] ; [43.2983871 47.7016129],1
a5,1,0.029505,4.737884,[27  7] ; [55 39],[21.78125 12.21875] ; [60.21875 33.78125],0
v1,1,0.041269,4.164953,[20 14] ; [35 56],[14.96 19.04] ; [40.04 50.96],0
r1,1,0.063332,3.447906,[29  5] ; [64 29],[24.8976378  9.1023622] ; [68.1023622 24.8976378],0
s8,1,0.065518,3.391897,[14 20] ; [23 71],[ 9.828125 24.171875] ; [27.171875 66.828125],0
u2,1,0.079411,3.076923,[12  1] ; [18  9],[9.75 3.25] ; [20.25  6.75],0
r4,1,0.112807,2.514447,[28  6] ; [64 30],[24.4375  9.5625] ; [67.5625 26.4375],0
v4,1,0.163559,1.941011,[31  3] ; [76 18],[28.421875  5.578125] ; [78.578125 15.421875],0
s2,1,0.170462,1.878872,[18 16] ; [37 57],[14.609375 19.390625] ; [40.390625 53.609375],0
b5,1,0.219176,1.509756,[18 16] ; [61 33],[20.984375 13.015625] ; [58.015625 35.984375],0
p12,1,0.260973,1.263587,[ 2 30] ; [ 2 90],[ 1.03225806 30.96774194] ; [ 2.96774194 89.03225806],0
s1,1,0.276446,1.184478,[ 2 31] ; [ 2 90],[ 1.056 31.944] ; [ 2.944 89.056],0
n1,1,0.277962,1.177027,[2 8] ; [12 19],[3.41463415 6.58536585] ; [10.58536585 20.41463415],0
p5,1,0.295004,1.096643,[ 3 30] ; [ 4 90],[ 1.81889764 31.18110236] ; [ 5.18110236 88.81889764],0
r3,1,0.295948,1.092363,[31  3] ; [78 15],[29.18110236  4.81889764] ; [79.81889764 13.18110236],0
a3,1,0.305163,1.051496,[21 13] ; [67 27],[23.375 10.625] ; [64.625 29.375],0
a2,1,0.328063,0.95653,[ 4 30] ; [18 76],[ 5.84375 28.15625] ; [16.15625 77.84375],0
p4,1,0.357387,0.847054,[15 17] ; [35 58],[12.8 19.2] ; [37.2 55.8],0
s5,1,0.377226,0.779722,[ 6 27] ; [23 66],[ 7.8442623 25.1557377] ; [21.1557377 67.8442623],0
b4,1,0.398482,0.712901,[22 12] ; [53 41],[19.921875 14.078125] ; [55.078125 38.921875],0
d5,1,0.40756,0.685906,[29  5] ; [74 20],[27.359375  6.640625] ; [75.640625 18.359375],0
p8,1,0.411825,0.673526,[13 19] ; [30 62],[11.09677419 20.90322581] ; [31.90322581 60.09677419],0
p10,1,0.425883,0.634025,[21 11] ; [53 39],[19.09677419 12.90322581] ; [54.90322581 37.09677419],0
a1,1,0.449408,0.572144,[ 1 33] ; [ 6 88],[ 1.859375 32.140625] ; [ 5.140625 88.859375],0
a6,1,0.457521,0.551952,[20 14] ; [62 32],[21.78125 12.21875] ; [60.21875 33.78125],0
s7,1,0.458901,0.548575,[12 19] ; [27 59],[10.33333333 20.66666667] ; [28.66666667 57.33333333],0
s4,1,0.480807,0.497032,[ 5 29] ; [19 75],[ 6.375 27.625] ; [17.625 76.375],0
r2,1,0.527335,0.399524,[30  4] ; [77 15],[28.87301587  5.12698413] ; [78.12698413 13.87301587],0
p2,1,0.585897,0.296798,[23  9] ; [62 31],[21.76 10.24] ; [63.24 29.76],0
d1,1,0.586081,0.296507,[21 13] ; [53 41],[19.65625 14.34375] ; [54.34375 39.65625],0
d2,1,0.586081,0.296507,[13 21] ; [41 53],[14.34375 19.65625] ; [39.65625 54.34375],0
a8,1,0.618534,0.247934,[ 2 30] ; [ 8 80],[ 2.66666667 29.33333333] ; [ 7.33333333 80.66666667],0
a4,1,0.675837,0.17485,[12 22] ; [37 57],[13.015625 20.984375] ; [35.984375 58.015625],0
n3,1,0.688156,0.161089,[7 4] ; [17 13],[6.43902439 4.56097561] ; [17.56097561 12.43902439],0
p7,1,0.697528,0.151056,[15 18] ; [43 44],[15.95 17.05] ; [42.05 44.95],0
s6,1,0.728457,0.120533,[18 16] ; [46 47],[17.13385827 16.86614173] ; [46.86614173 46.13385827],0
b3,1,0.739417,0.11064,[ 4 13] ; [16 42],[ 4.53333333 12.46666667] ; [15.46666667 42.53333333],0
b2,1,0.739417,0.11064,[ 4 13] ; [16 42],[ 4.53333333 12.46666667] ; [15.46666667 42.53333333],0
n5,1,0.775154,0.08159,[13 21] ; [33 60],[12.31496063 21.68503937] ; [33.68503937 59.31496063],0
n2,1,0.80401,0.061584,[7 4] ; [21 10],[7.33333333 3.66666667] ; [20.66666667 10.33333333],0
s3,1,0.807862,0.059139,[18 15] ; [53 40],[18.5952381 14.4047619] ; [52.4047619 40.5952381],0
p6,1,0.819828,0.051877,[ 7 25] ; [21 67],[ 7.46666667 24.53333333] ; [20.53333333 67.46666667],0
b1,1,0.831532,0.045257,[17 17] ; [49 45],[17.53125 16.46875] ; [48.46875 45.53125],0
p3,1,0.837615,0.042003,[12 20] ; [33 60],[11.52 20.48] ; [33.48 59.52],0
a7,1,0.8456,0.037922,[24 10] ; [68 26],[24.4375  9.5625] ; [67.5625 26.4375],0
p11,1,0.874522,0.024938,[19 15] ; [54 40],[19.390625 14.609375] ; [53.609375 40.390625],0
p9,1,0.880485,0.022606,[22 11] ; [60 32],[21.648 11.352] ; [60.352 31.648],0
d3,1,0.912818,0.011987,[26  8] ; [71 23],[25.765625  8.234375] ; [71.234375 22.765625],0
n4,1,0.915321,0.011306,[17 17] ; [46 48],[16.734375 17.265625] ; [46.265625 47.734375],0
u1,1,0.955514,0.003112,[ 3 31] ; [ 8 86],[ 2.921875 31.078125] ; [ 8.078125 85.921875],0
u3,1,1.0,0.0,[8 4] ; [18  9],[8. 4.] ; [18.  9.],0
