Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,30.555556,[58  6] ; [ 8 16],[48. 16.] ; [18.  6.],1
p9,1,8e-06,20.045455,[62  4] ; [13 11],[55. 11.] ; [20.  4.],1
n5,1,0.000481,12.187435,[52 13] ; [10 14],[45.28089888 19.71910112] ; [16.71910112  7.28089888],1
p8,1,0.001823,9.720211,[41 25] ; [ 6 18],[34.46666667 31.53333333] ; [12.53333333 11.46666667],0
d5,1,0.00234,9.261717,[56 10] ; [13 11],[50.6 15.4] ; [18.4  5.6],0
n6,1,0.005579,7.681602,[59  6] ; [16  8],[54.7752809 10.2247191] ; [20.2247191  3.7752809],0
p2,1,0.006526,7.398909,[58  8] ; [15  9],[53.53333333 12.46666667] ; [19.46666667  4.53333333],0
r3,1,0.011463,6.392045,[62  4] ; [18  6],[58.66666667  7.33333333] ; [21.33333333  2.66666667],0
n4,1,0.012534,6.233766,[51 15] ; [12 12],[46.2 19.8] ; [16.8  7.2],0
a6,1,0.012889,6.184345,[44 22] ; [ 9 15],[38.86666667 27.13333333] ; [14.13333333  9.86666667],0
s8,1,0.013235,6.137399,[33 33] ; [ 5 19],[27.86666667 38.13333333] ; [10.13333333 13.86666667],0
b1,1,0.015307,5.880809,[25 41] ; [16  8],[30.06666667 35.93333333] ; [10.93333333 13.06666667],0
s7,1,0.015843,5.82021,[36 27] ; [ 6 16],[31.12941176 31.87058824] ; [10.87058824 11.12941176],0
v4,1,0.016583,5.739942,[60  6] ; [17  7],[56.46666667  9.53333333] ; [20.53333333  3.46666667],0
v3,1,0.083913,2.987431,[24 41] ; [ 4 19],[20.68181818 44.31818182] ; [ 7.31818182 15.68181818],0
a3,1,0.098064,2.736742,[43 23] ; [11 13],[39.6 26.4] ; [14.4  9.6],0
p6,1,0.104077,2.64193,[31 33] ; [ 7 17],[27.63636364 36.36363636] ; [10.36363636 13.63636364],0
b3,1,0.129697,2.29613,[17 28] ; [ 2 11],[14.74137931 30.25862069] ; [4.25862069 8.74137931],0
b2,1,0.129697,2.29613,[17 28] ; [ 2 11],[14.74137931 30.25862069] ; [4.25862069 8.74137931],0
v1,1,0.158346,1.989953,[38 27] ; [10 14],[35.05617978 29.94382022] ; [12.94382022 11.05617978],0
r4,1,0.170341,1.879939,[46 20] ; [13 11],[43.26666667 22.73333333] ; [15.73333333  8.26666667],0
v2,1,0.180896,1.790246,[32 33] ; [ 8 16],[29.21348315 35.78651685] ; [10.78651685 13.21348315],0
s4,1,0.189854,1.71875,[11 55] ; [ 7 17],[13.2 52.8] ; [ 4.8 19.2],0
a2,1,0.206185,1.598011,[ 9 57] ; [ 1 23],[ 7.33333333 58.66666667] ; [ 2.66666667 21.33333333],0
p4,1,0.214327,1.541958,[50 16] ; [15  9],[47.66666667 18.33333333] ; [17.33333333  6.66666667],0
s6,1,0.233958,1.416633,[43 22] ; [12 11],[40.625 24.375] ; [14.375  8.625],0
d4,1,0.236707,1.400097,[52 14] ; [16  8],[49.86666667 16.13333333] ; [18.13333333  5.86666667],0
d2,1,0.237978,1.392533,[21 44] ; [11 13],[23.37078652 41.62921348] ; [ 8.62921348 15.37078652],0
p5,1,0.244161,1.356408,[12 53] ; [ 2 22],[10.2247191 54.7752809] ; [ 3.7752809 20.2247191],0
a5,1,0.2765,1.184211,[44 22] ; [13 11],[41.8 24.2] ; [15.2  8.8],0
a7,1,0.2765,1.184211,[44 22] ; [13 11],[41.8 24.2] ; [15.2  8.8],0
u2,1,0.288212,1.127956,[12 11] ; [4 8],[10.51428571 12.48571429] ; [5.48571429 6.51428571],0
n3,1,0.303387,1.059247,[11  6] ; [6 1],[12.04166667  4.95833333] ; [4.95833333 2.04166667],0
