Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,68.721253,[ 44 181] ; [184 153],[ 91.28113879 133.71886121] ; [136.71886121 200.28113879],1
v1,1,0.0,28.408435,[ 95 127] ; [223 117],[125.61565836  96.38434164] ; [192.38434164 147.61565836],1
r3,1,2.8e-05,17.538017,[204  24] ; [337   8],[215.26701571  12.73298429] ; [325.73298429  19.26701571],1
p9,1,0.001619,9.937643,[179  47] ; [303  38],[192.11992945  33.88007055] ; [289.88007055  51.11992945],0
d4,1,0.002007,9.543492,[198  30] ; [328  20],[208.20833333  19.79166667] ; [317.79166667  30.20833333],0
r1,1,0.002385,9.22686,[173  53] ; [299  47],[186.48951049  39.51048951] ; [285.51048951  60.48951049],0
s2,1,0.005023,7.871046,[ 99 127] ; [192 152],[115.37894737 110.62105263] ; [175.62105263 168.37894737],0
s7,1,0.009769,6.676473,[ 98 118] ; [187 143],[112.74725275 103.25274725] ; [172.25274725 157.74725275],0
p10,1,0.012608,6.223276,[173  53] ; [291  52],[184.29525483  41.70474517] ; [279.70474517  63.29525483],0
p7,1,0.015316,5.879753,[131  92] ; [233 106],[144.4341637  78.5658363] ; [219.5658363 119.4341637],0
p4,1,0.016265,5.773949,[131  97] ; [231 112],[144.54640981  83.45359019] ; [217.45359019 125.54640981],0
p3,1,0.022316,5.220962,[107 119] ; [197 148],[120.32224168 105.67775832] ; [183.67775832 161.32224168],0
s4,1,0.032927,4.549573,[ 45 179] ; [ 46 298],[ 35.88732394 188.11267606] ; [ 55.11267606 288.88732394],0
d1,1,0.038355,4.289201,[163  65] ; [275  73],[173.375  54.625] ; [264.625  83.375],0
u1,1,0.041265,4.165112,[ 47 181] ; [ 98 250],[ 57.39583333 170.60416667] ; [ 87.60416667 260.39583333],0
s8,1,0.048595,3.889284,[ 98 129] ; [177 166],[109.51754386 117.48245614] ; [165.48245614 177.51754386],0
p12,1,0.049856,3.846293,[ 12 214] ; [ 34 310],[ 18.23859649 207.76140351] ; [ 27.76140351 316.23859649],0
p2,1,0.057656,3.603566,[181  45] ; [297  48],[189.19089317  36.80910683] ; [288.80910683  56.19089317],0
a7,1,0.063861,3.434149,[157  71] ; [264  84],[166.64583333  61.35416667] ; [254.35416667  93.64583333],0
s5,1,0.064405,3.420157,[ 72 150] ; [133 198],[ 82.2965642 139.7034358] ; [122.7034358 208.2965642],0
b1,1,0.065273,3.398075,[ 98 130] ; [123 225],[ 87.47916667 140.52083333] ; [133.52083333 214.47916667],0
n3,1,0.071655,3.244691,[42 26] ; [51 16],[46.84444444 21.15555556] ; [46.15555556 20.84444444],0
a8,1,0.081886,3.027059,[ 23 191] ; [ 49 255],[ 29.74517375 184.25482625] ; [ 42.25482625 261.74517375],0
n2,1,0.086364,2.940871,[45 25] ; [52 15],[49.5620438 20.4379562] ; [47.4379562 19.5620438],0
r4,1,0.097923,2.739044,[197  31] ; [316  32],[203.0625  24.9375] ; [309.9375  38.0625],0
p11,1,0.112176,2.523299,[170  58] ; [279  69],[177.72916667  50.27083333] ; [271.27083333  76.72916667],0
p8,1,0.146925,2.103888,[111 117] ; [185 152],[119.44778761 108.55221239] ; [176.55221239 160.44778761],0
s1,1,0.159897,1.975203,[ 10 215] ; [  8 335],[  7.13028169 217.86971831] ; [ 10.86971831 332.13028169],0
n1,1,0.183182,1.771616,[30 39] ; [21 44],[26.26119403 42.73880597] ; [24.73880597 40.26119403],0
s6,1,0.188314,1.730759,[145  77] ; [240 100],[152.08185053  69.91814947] ; [232.91814947 107.08185053],0
a2,1,0.2058,1.600726,[ 69 159] ; [123 225],[ 76. 152.] ; [116. 232.],0
d3,1,0.207155,1.591196,[165  63] ; [268  80],[171.39583333  56.60416667] ; [261.60416667  86.39583333],0
v4,1,0.208126,1.584412,[210  17] ; [327  17],[213.48336252  13.51663748] ; [323.51663748  20.48336252],0
b5,1,0.268748,1.223128,[129  99] ; [213 135],[135.375  92.625] ; [206.625 141.375],0
p1,1,0.27065,1.213449,[ 20 207] ; [ 22 324],[ 16.63874346 210.36125654] ; [ 25.36125654 320.63874346],0
a6,1,0.274724,1.193008,[158  70] ; [255  92],[163.76347826  64.23652174] ; [249.23652174  97.76347826],0
a3,1,0.33543,0.92782,[182  46] ; [288  59],[186.36521739  41.63478261] ; [283.63478261  63.36521739],0
a1,1,0.428376,0.627223,[ 12 216] ; [ 24 324],[ 14.25 213.75] ; [ 21.75 326.25],0
a4,1,0.43766,0.60241,[135  92] ; [195 152],[130.50522648  96.49477352] ; [199.49477352 147.50522648],0
n6,1,0.449399,0.572167,[190  37] ; [295  48],[193.14912281  33.85087719] ; [291.85087719  51.14912281],0
p6,1,0.475754,0.50858,[ 81 146] ; [131 208],[ 85.02473498 141.97526502] ; [126.97526502 212.02473498],0
s3,1,0.476302,0.507319,[118 109] ; [186 152],[122.1380531 104.8619469] ; [181.8619469 156.1380531],0
p5,1,0.532152,0.390281,[ 28 198] ; [ 37 309],[ 25.68181818 200.31818182] ; [ 39.31818182 306.68181818],0
b4,1,0.602644,0.271027,[128 100] ; [203 145],[131.02083333  96.97916667] ; [199.97916667 148.02083333],0
b3,1,0.6035,0.269749,[56 93] ; [ 89 132],[58.39189189 90.60810811] ; [ 86.60810811 134.39189189],0
b2,1,0.6035,0.269749,[56 93] ; [ 89 132],[58.39189189 90.60810811] ; [ 86.60810811 134.39189189],0
u3,1,0.687288,0.162037,[28 17] ; [35 25],[27. 18.] ; [36. 24.],0
n4,1,0.753159,0.098896,[188  39] ; [283  63],[186.59162304  40.40837696] ; [284.40837696  61.59162304],0
u2,1,0.754441,0.097837,[26 20] ; [31 27],[25.21153846 20.78846154] ; [31.78846154 26.21153846],0
n5,1,0.768518,0.086621,[175  52] ; [260  82],[173.54130053  53.45869947] ; [261.45869947  80.54130053],0
d2,1,0.778042,0.079451,[140  86] ; [219 128],[141.59511344  84.40488656] ; [217.40488656 129.59511344],0
r2,1,0.821903,0.050669,[213  10] ; [328  14],[213.52743363   9.47256637] ; [327.47256637  14.52743363],0
u4,1,0.933328,0.006999,[  5 223] ; [  8 340],[  5.14583333 222.85416667] ; [  7.85416667 340.14583333],0
