Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,5.4e-05,16.309656,[18 29] ; [83 32],[29.30246914 17.69753086] ; [71.69753086 43.30246914],1
a6,1,0.000374,12.660299,[23 24] ; [89 26],[32.49382716 14.50617284] ; [79.50617284 35.49382716],1
a2,1,0.000465,12.251272,[ 4 43] ; [41 74],[13.05555556 33.94444444] ; [31.94444444 83.05555556],1
u1,1,0.010554,6.538842,[ 5 42] ; [34 81],[11.31481481 35.68518519] ; [27.68518519 87.31481481],0
v4,1,0.020022,5.409991,[40  7] ; [110   5],[43.51851852  3.48148148] ; [106.48148148   8.51851852],0
v2,1,0.023685,5.117541,[19 27] ; [66 42],[25.38961039 20.61038961] ; [59.61038961 48.38961039],0
r3,1,0.025803,4.969162,[41  6] ; [111   4],[44.09876543  2.90123457] ; [107.90123457   7.09876543],0
r4,1,0.02717,4.879989,[37 10] ; [105  10],[41.19753086  5.80246914] ; [100.80246914  14.19753086],0
p10,1,0.032732,4.559733,[30 17] ; [91 23],[35.32298137 11.67701863] ; [85.67701863 28.32298137],0
s1,1,0.034821,4.453914,[ 5 42] ; [  3 110],[ 2.35 44.65] ; [  5.65 107.35],0
d1,1,0.046695,3.956355,[21 26] ; [71 44],[26.69135802 20.30864198] ; [65.30864198 49.69135802],0
p2,1,0.057821,3.598811,[32 15] ; [94 21],[36.55555556 10.44444444] ; [89.44444444 25.55555556],0
r2,1,0.070992,3.259923,[42  5] ; [111   4],[44.38888889  2.61111111] ; [108.61111111   6.38888889],0
p5,1,0.079241,3.080406,[ 7 40] ; [  7 105],[ 4.13836478 42.86163522] ; [  9.86163522 102.13836478],0
r1,1,0.087174,2.925794,[30 17] ; [87 26],[34.36875 12.63125] ; [82.63125 30.36875],0
p4,1,0.092141,2.836574,[28 19] ; [84 31],[32.49382716 14.50617284] ; [79.50617284 35.49382716],0
s5,1,0.095866,2.773005,[19 24] ; [33 77],[14.61437908 28.38562092] ; [37.38562092 72.61437908],0
b1,1,0.10869,2.573167,[29 18] ; [55 60],[24.37037037 22.62962963] ; [59.62962963 55.37037037],0
p1,1,0.171213,1.87229,[ 7 40] ; [  9 106],[ 4.64197531 42.35802469] ; [ 11.35802469 103.64197531],0
a1,1,0.179726,1.799892,[ 4 43] ; [  4 111],[ 2.32098765 44.67901235] ; [  5.67901235 109.32098765],0
p9,1,0.194618,1.682307,[35 12] ; [95 19],[37.95031056  9.04968944] ; [92.04968944 21.95031056],0
u2,1,0.19986,1.643397,[4 7] ; [16 11],[5.78947368 5.21052632] ; [14.21052632 12.78947368],0
s7,1,0.202834,1.621852,[27 17] ; [54 54],[23.44736842 20.55263158] ; [57.55263158 50.44736842],0
v3,1,0.266601,1.234153,[21 23] ; [41 67],[17.94736842 26.05263158] ; [44.05263158 63.94736842],0
p7,1,0.306023,1.047763,[22 25] ; [64 51],[24.95061728 22.04938272] ; [61.04938272 53.95061728],0
b5,1,0.316255,1.004373,[28 19] ; [78 37],[30.75308642 16.24691358] ; [75.24691358 39.75308642],0
n1,1,0.393393,0.728428,[7 6] ; [ 9 14],[5.77777778 7.22222222] ; [10.22222222 12.77777778],0
d5,1,0.413753,0.667992,[39  8] ; [101  14],[40.61728395  6.38271605] ; [99.38271605 15.61728395],0
p6,1,0.445702,0.581559,[12 35] ; [36 78],[14.01242236 32.98757764] ; [33.98757764 80.01242236],0
n2,1,0.458152,0.550406,[11  2] ; [17  6],[10.11111111  2.88888889] ; [17.88888889  5.11111111],0
n6,1,0.522137,0.409669,[36 10] ; [95 20],[37.42857143  8.57142857] ; [93.57142857 21.42857143],0
