Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,3.3e-05,17.262128,[20 73] ; [10  3],[26.32075472 66.67924528] ; [3.67924528 9.32075472],1
r4,1,0.000579,11.842549,[80 13] ; [6 7],[75.45283019 17.54716981] ; [10.54716981  2.45283019],1
d1,1,0.002929,8.851109,[48 45] ; [ 1 12],[42.99056604 50.00943396] ; [6.00943396 6.99056604],0
d5,1,0.00451,8.066324,[71 22] ; [5 8],[66.67924528 26.32075472] ; [9.32075472 3.67924528],0
a8,1,0.007468,7.156827,[ 1 79] ; [ 2 11],[ 2.58064516 77.41935484] ; [ 0.41935484 12.58064516],0
p5,1,0.024813,5.036877,[ 5 87] ; [ 3 10],[ 7.00952381 84.99047619] ; [ 0.99047619 12.00952381],0
r1,1,0.037366,4.333672,[69 24] ; [6 7],[65.80188679 27.19811321] ; [9.19811321 3.80188679],0
v4,1,0.045946,3.983591,[86  6] ; [10  3],[84.11428571  7.88571429] ; [11.88571429  1.11428571],0
n5,1,0.048239,3.901655,[31 62] ; [8 5],[34.21698113 58.78301887] ; [4.78301887 8.21698113],0
v2,1,0.05529,3.673308,[49 41] ; [3 9],[45.88235294 44.11764706] ; [6.11764706 5.88235294],0
s3,1,0.058383,3.582738,[47 45] ; [ 3 10],[43.80952381 48.19047619] ; [6.19047619 6.80952381],0
d2,1,0.068178,3.326362,[30 63] ; [ 1 12],[27.19811321 65.80188679] ; [3.80188679 9.19811321],0
r3,1,0.072392,3.227929,[86  7] ; [10  3],[84.22641509  8.77358491] ; [11.77358491  1.22641509],0
u2,1,0.072682,3.221387,[23 20] ; [7 1],[25.29411765 17.70588235] ; [4.70588235 3.29411765],0
n3,1,0.114169,2.495544,[16  8] ; [1 3],[14.57142857  9.42857143] ; [2.42857143 1.57142857],0
d4,1,0.117469,2.450742,[75 18] ; [8 5],[72.82075472 20.17924528] ; [10.17924528  2.82075472],0
b4,1,0.137184,2.20927,[56 37] ; [5 8],[53.51886792 39.48113208] ; [7.48113208 5.51886792],0
p12,1,0.173513,1.852324,[ 5 88] ; [ 2 11],[ 6.14150943 86.85849057] ; [ 0.85849057 12.14150943],0
a7,1,0.177368,1.819543,[73 20] ; [8 5],[71.06603774 21.93396226] ; [9.93396226 3.06603774],0
s5,1,0.191146,1.708762,[30 60] ; [ 2 11],[27.96116505 62.03883495] ; [4.03883495 8.96116505],0
p2,1,0.212441,1.55471,[76 15] ; [9 4],[74.375 16.625] ; [10.625  2.375],0
s8,1,0.244385,1.355122,[37 56] ; [ 3 10],[35.09433962 57.90566038] ; [4.90566038 8.09433962],0
a1,1,0.259072,1.27371,[ 2 91] ; [ 1 12],[ 2.63207547 90.36792453] ; [ 0.36792453 12.63207547],0
b5,1,0.273607,1.198571,[57 36] ; [10  3],[58.78301887 34.21698113] ; [8.21698113 4.78301887],0
a3,1,0.300998,1.069769,[50 43] ; [5 8],[48.25471698 44.74528302] ; [6.74528302 6.25471698],0
u3,1,0.306934,1.043823,[24 18] ; [3 5],[22.68 19.32] ; [4.32 3.68],0
v1,1,0.3734,0.792319,[39 50] ; [4 9],[37.51960784 51.48039216] ; [5.48039216 7.51960784],0
d3,1,0.385306,0.753704,[68 25] ; [8 5],[66.67924528 26.32075472] ; [9.32075472 3.67924528],0
n6,1,0.394451,0.725177,[60 31] ; [7 6],[58.625 32.375] ; [8.375 4.625],0
p9,1,0.396926,0.717619,[74 19] ; [9 4],[72.82075472 20.17924528] ; [10.17924528  2.82075472],0
s6,1,0.424512,0.63779,[60 32] ; [7 6],[58.7047619 33.2952381] ; [8.2952381 4.7047619],0
p6,1,0.441496,0.59239,[32 59] ; [6 7],[33.25 57.75] ; [4.75 8.25],0
p11,1,0.457153,0.552855,[70 23] ; [11  2],[71.06603774 21.93396226] ; [9.93396226 3.06603774],0
a6,1,0.531841,0.390873,[56 37] ; [9 4],[57.02830189 35.97169811] ; [7.97169811 5.02830189],0
s4,1,0.55546,0.347626,[21 72] ; [ 2 11],[20.17924528 72.82075472] ; [ 2.82075472 10.17924528],0
v3,1,0.613853,0.254602,[26 61] ; [ 3 10],[25.23 61.77] ; [3.77 9.23],0
s2,1,0.701527,0.146889,[41 52] ; [5 8],[40.35849057 52.64150943] ; [5.64150943 7.35849057],0
b3,1,0.712656,0.135638,[16 31] ; [1 3],[15.66666667 31.33333333] ; [1.33333333 2.66666667],0
b2,1,0.712656,0.135638,[16 31] ; [1 3],[15.66666667 31.33333333] ; [1.33333333 2.66666667],0
n1,1,0.7411,0.109162,[ 8 16] ; [1 3],[ 7.71428571 16.28571429] ; [1.28571429 2.71428571],0
p4,1,0.8118,0.056694,[54 39] ; [8 5],[54.39622642 38.60377358] ; [7.60377358 5.39622642],0
a2,1,0.81859,0.052605,[ 9 84] ; [ 1 12],[ 8.77358491 84.22641509] ; [ 1.22641509 11.77358491],0
a5,1,0.833903,0.043974,[60 33] ; [8 5],[59.66037736 33.33962264] ; [8.33962264 4.66037736],0
u1,1,0.866018,0.028466,[ 6 87] ; [ 1 12],[ 6.14150943 86.85849057] ; [ 0.85849057 12.14150943],0
p3,1,0.880014,0.022786,[45 48] ; [6 7],[44.74528302 48.25471698] ; [6.25471698 6.74528302],0
p7,1,0.880791,0.02249,[66 22] ; [10  3],[66.21782178 21.78217822] ; [9.78217822 3.21782178],0
a4,1,0.896686,0.016861,[23 70] ; [ 3 10],[22.81132075 70.18867925] ; [3.18867925 9.81132075],0
s7,1,0.900469,0.015642,[32 59] ; [4 8],[31.80582524 59.19417476] ; [4.19417476 7.80582524],0
p10,1,0.947175,0.00439,[70 22] ; [10  3],[70.0952381 21.9047619] ; [9.9047619 3.0952381],0
n2,1,1.0,0.0,[18  6] ; [3 1],[18.  6.] ; [3. 1.],0
