Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.000497,12.126359,[ 6 21] ; [17  7],[12.17647059 14.82352941] ; [10.82352941 13.17647059],1
a3,1,0.001026,10.780085,[ 9 18] ; [19  5],[14.82352941 12.17647059] ; [13.17647059 10.82352941],0
p7,1,0.01729,5.666667,[22  5] ; [12 12],[18.  9.] ; [16.  8.],0
a5,1,0.017463,5.649231,[ 9 18] ; [16  8],[13.23529412 13.76470588] ; [11.76470588 12.23529412],0
d1,1,0.017463,5.649231,[ 9 18] ; [16  8],[13.23529412 13.76470588] ; [11.76470588 12.23529412],0
d5,1,0.03285,4.553571,[15 12] ; [20  4],[18.52941176  8.47058824] ; [16.47058824  7.52941176],0
s8,1,0.049465,3.859509,[ 7 19] ; [13 11],[10.4 15.6] ; [ 9.6 14.4],0
d2,1,0.069429,3.296474,[10 17] ; [15  9],[13.23529412 13.76470588] ; [11.76470588 12.23529412],0
a2,1,0.084646,2.973353,[ 2 25] ; [ 6 18],[ 4.23529412 22.76470588] ; [ 3.76470588 20.23529412],0
n5,1,0.087893,2.912555,[14 13] ; [18  6],[16.94117647 10.05882353] ; [15.05882353  8.94117647],0
a6,1,0.100377,2.699537,[13 14] ; [17  7],[15.88235294 11.11764706] ; [14.11764706  9.88235294],0
s7,1,0.115256,2.480625,[10 15] ; [15  9],[12.75510204 12.24489796] ; [12.24489796 11.75510204],0
a8,1,0.141413,2.16252,[ 2 24] ; [ 5 17],[ 3.79166667 22.20833333] ; [ 3.20833333 18.79166667],0
u3,1,0.159128,1.982492,[ 8 10] ; [4 1],[9.39130435 8.60869565] ; [2.60869565 2.39130435],0
p4,1,0.165802,1.920497,[14 13] ; [17  7],[16.41176471 10.58823529] ; [14.58823529  9.41176471],0
d4,1,0.172821,1.8583,[18  9] ; [20  4],[20.11764706  6.88235294] ; [17.88235294  6.11764706],0
b1,1,0.219787,1.505758,[17 10] ; [11 13],[14.82352941 12.17647059] ; [13.17647059 10.82352941],0
b3,1,0.287901,1.129412,[7 9] ; [10  6],[8.5 7.5] ; [8.5 7.5],0
b2,1,0.287901,1.129412,[7 9] ; [10  6],[8.5 7.5] ; [8.5 7.5],0
s3,1,0.3039,1.057001,[13 14] ; [15  9],[14.82352941 12.17647059] ; [13.17647059 10.82352941],0
u1,1,0.340628,0.908067,[ 3 24] ; [ 5 19],[ 4.23529412 22.76470588] ; [ 3.76470588 20.23529412],0
v4,1,0.357193,0.847739,[24  3] ; [23  1],[24.88235294  2.11764706] ; [22.11764706  1.88235294],0
s4,1,0.370426,0.802236,[ 3 23] ; [ 5 19],[ 4.16 21.84] ; [ 3.84 20.16],0
r2,1,0.379631,0.771897,[24  3] ; [22  1],[24.84  2.16] ; [21.16  1.84],0
u2,1,0.399557,0.709658,[11  7] ; [2 3],[10.17391304  7.82608696] ; [2.82608696 2.17391304],0
p11,1,0.417244,0.658065,[15 12] ; [16  8],[16.41176471 10.58823529] ; [14.58823529  9.41176471],0
d3,1,0.417244,0.658065,[15 12] ; [16  8],[16.41176471 10.58823529] ; [14.58823529  9.41176471],0
b4,1,0.467001,0.529064,[13 14] ; [14 10],[14.29411765 12.70588235] ; [12.70588235 11.29411765],0
s1,1,0.479782,0.499358,[ 1 25] ; [ 2 21],[ 1.59183673 24.40816327] ; [ 1.40816327 21.59183673],0
a1,1,0.483082,0.491898,[ 1 26] ; [ 2 22],[ 1.58823529 25.41176471] ; [ 1.41176471 22.58823529],0
u4,1,0.483082,0.491898,[ 1 26] ; [ 2 22],[ 1.58823529 25.41176471] ; [ 1.41176471 22.58823529],0
n1,1,0.497739,0.459753,[4 5] ; [6 4],[4.73684211 4.26315789] ; [5.26315789 4.73684211],0
p8,1,0.507142,0.439959,[16 11] ; [12 12],[14.82352941 12.17647059] ; [13.17647059 10.82352941],0
n4,1,0.514453,0.425,[18  9] ; [18  6],[19.05882353  7.94117647] ; [16.94117647  7.05882353],0
s5,1,0.545449,0.365534,[ 3 21] ; [ 4 17],[ 3.73333333 20.26666667] ; [ 3.26666667 17.73333333],0
s6,1,0.554737,0.3489,[13 13] ; [14 10],[14.04 11.96] ; [12.96 11.04],0
r4,1,0.617935,0.24878,[21  6] ; [20  4],[21.70588235  5.29411765] ; [19.29411765  4.70588235],0
r3,1,0.623463,0.24103,[25  2] ; [23  1],[25.41176471  1.58823529] ; [22.58823529  1.41176471],0
v1,1,0.665308,0.18714,[11 16] ; [ 8 15],[10.26 16.74] ; [ 8.74 14.26],0
v3,1,0.682601,0.167213,[ 6 21] ; [ 6 16],[ 6.6122449 20.3877551] ; [ 5.3877551 16.6122449],0
n6,1,0.71154,0.136744,[19  8] ; [18  6],[19.58823529  7.41176471] ; [17.41176471  6.58823529],0
b5,1,0.71154,0.136744,[19  8] ; [18  6],[19.58823529  7.41176471] ; [17.41176471  6.58823529],0
