Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,61.872214,[21 51] ; [130  28],[47.26956522 24.73043478] ; [103.73043478  54.26956522],1
d2,1,5.1e-05,16.417421,[16 56] ; [80 78],[30.05217391 41.94782609] ; [65.94782609 92.05217391],1
n6,1,0.000157,14.291584,[47 24] ; [139  20],[57.4173913 13.5826087] ; [128.5826087  30.4173913],1
p10,1,0.001489,10.092613,[46 26] ; [131  27],[55.40869565 16.59130435] ; [121.59130435  36.40869565],0
p3,1,0.002475,9.159302,[22 49] ; [83 75],[32.55458515 38.44541485] ; [72.44541485 85.55458515],0
a4,1,0.008014,7.030267,[20 52] ; [74 86],[29.17241379 42.82758621] ; [64.82758621 95.17241379],0
p4,1,0.008802,6.862521,[30 42] ; [94 62],[39.15789474 32.84210526] ; [84.84210526 71.15789474],0
n3,1,0.015246,5.887841,[14 10] ; [23  3],[17.76  6.24] ; [19.24  6.76],0
v1,1,0.027678,4.848,[35 36] ; [101  55],[42.53744493 28.46255507] ; [93.46255507 62.53744493],0
a8,1,0.028055,4.824665,[ 2 65] ; [ 18 126],[ 6.3507109 60.6492891] ; [ 13.6492891 130.3507109],0
p11,1,0.030326,4.690698,[52 20] ; [135  25],[58.03448276 13.96551724] ; [128.96551724  31.03448276],0
p7,1,0.032122,4.59196,[35 36] ; [101  56],[42.35087719 28.64912281] ; [93.64912281 63.35087719],0
a2,1,0.033201,4.535388,[ 7 65] ; [ 34 126],[12.72413793 59.27586207] ; [ 28.27586207 131.72413793],0
d1,1,0.048422,3.895282,[36 36] ; [102  58],[42.82758621 29.17241379] ; [95.17241379 64.82758621],0
u1,1,0.052624,3.755825,[ 4 68] ; [ 23 137],[ 8.37931034 63.62068966] ; [ 18.62068966 141.37931034],0
n1,1,0.056738,3.630252,[ 4 20] ; [10 14],[ 7. 17.] ; [ 7. 17.],0
s1,1,0.059448,3.552713,[ 3 69] ; [  1 155],[ 1.26315789 70.73684211] ; [  2.73684211 153.26315789],0
r4,1,0.086089,2.946032,[59 13] ; [144  16],[63.  9.] ; [140.  20.],0
b1,1,0.091202,2.853036,[18 54] ; [ 58 102],[23.5862069 48.4137931] ; [ 52.4137931 107.5862069],0
p1,1,0.096752,2.758282,[ 2 70] ; [ 14 146],[ 4.96551724 67.03448276] ; [ 11.03448276 148.96551724],0
p9,1,0.10201,2.673831,[53 19] ; [131  27],[57.6 14.4] ; [126.4  31.6],0
n2,1,0.133277,2.253913,[15  8] ; [21  4],[17.25  5.75] ; [18.75  6.25],0
p6,1,0.140124,2.176596,[15 55] ; [ 48 107],[19.6 50.4] ; [ 43.4 111.6],0
s2,1,0.141803,2.158284,[25 47] ; [ 40 118],[20.34782609 51.65217391] ; [ 44.65217391 113.34782609],0
p2,1,0.164389,1.933384,[53 19] ; [129  29],[56.97391304 15.02608696] ; [125.02608696  32.97391304],0
a5,1,0.186177,1.747615,[46 26] ; [116  44],[50.27586207 21.72413793] ; [111.72413793  48.27586207],0
v3,1,0.191785,1.703852,[28 41] ; [78 78],[32.50666667 36.49333333] ; [73.49333333 82.50666667],0
v4,1,0.281452,1.160066,[68  3] ; [147  13],[66.08225108  4.91774892] ; [148.91774892  11.08225108],0
s8,1,0.287176,1.132813,[11 61] ; [ 34 126],[13.96551724 58.03448276] ; [ 31.03448276 128.96551724],0
b2,1,0.306404,1.046114,[ 8 22] ; [35 60],[10.32 19.68] ; [32.68 62.32],0
b3,1,0.306404,1.046114,[ 8 22] ; [35 60],[10.32 19.68] ; [32.68 62.32],0
p8,1,0.321433,0.983105,[33 39] ; [82 73],[36.47577093 35.52422907] ; [78.52422907 76.47577093],0
s6,1,0.339151,0.91364,[39 32] ; [76 82],[35.65502183 35.34497817] ; [79.34497817 78.65502183],0
u2,1,0.37738,0.779221,[ 9 15] ; [27 29],[10.8 13.2] ; [25.2 30.8],0
d5,1,0.397148,0.716945,[57 15] ; [134  26],[59.27586207 12.72413793] ; [131.72413793  28.27586207],0
s3,1,0.406741,0.688307,[28 43] ; [ 53 104],[25.22368421 45.77631579] ; [ 55.77631579 101.22368421],0
a1,1,0.440679,0.594515,[ 2 70] ; [  8 152],[ 3.10344828 68.89655172] ; [  6.89655172 153.10344828],0
