Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,23.900452,[273  58] ; [19 20],[261.22162162  69.77837838] ; [30.77837838  8.22162162],1
p9,1,3.1e-05,17.345481,[316  17] ; [30  9],[309.72580645  23.27419355] ; [36.27419355  2.72580645],1
p8,1,3.5e-05,17.134974,[243  89] ; [16 23],[231.77358491 100.22641509] ; [27.22641509 11.77358491],1
p4,1,0.001583,9.978922,[283  52] ; [25 14],[275.88235294  59.11764706] ; [32.11764706  6.88235294],0
d3,1,0.002098,9.461523,[236  99] ; [18 21],[227.51336898 107.48663102] ; [26.48663102 12.51336898],0
d4,1,0.003775,8.389148,[284  50] ; [26 13],[277.58713137  56.41286863] ; [32.41286863  6.58713137],0
p6,1,0.007698,7.102492,[167 162] ; [11 28],[159.13586957 169.86413043] ; [18.86413043 20.13586957],0
d5,1,0.00835,6.956722,[286  48] ; [27 12],[280.27345845  53.72654155] ; [32.72654155  6.27345845],0
s1,1,0.00847,6.931213,[  8 326] ; [ 4 35],[ 10.74530831 323.25469169] ; [ 1.25469169 37.74530831],0
a3,1,0.009154,6.792546,[260  74] ; [23 16],[253.41018767  80.58981233] ; [29.58981233  9.41018767],0
p10,1,0.012711,6.208906,[310  22] ; [32  7],[306.04851752  25.95148248] ; [35.95148248  3.04851752],0
a2,1,0.035019,4.444257,[ 96 239] ; [ 5 34],[ 90.46791444 244.53208556] ; [10.53208556 28.46791444],0
s7,1,0.045066,4.016167,[188 130] ; [16 22],[182.2247191 135.7752809] ; [21.7752809 16.2247191],0
d1,1,0.064433,3.419449,[214 121] ; [19 20],[208.70320856 126.29679144] ; [24.29679144 14.70320856],0
s3,1,0.152895,2.043127,[200 130] ; [19 20],[195.85365854 134.14634146] ; [23.14634146 15.85365854],0
n2,1,0.185992,1.749084,[32 14] ; [9 1],[33.67857143 12.32142857] ; [7.32142857 2.67857143],0
v3,1,0.240569,1.377259,[156 169] ; [14 23],[152.62430939 172.37569061] ; [17.37569061 19.62430939],0
v1,1,0.251306,1.316026,[204 122] ; [19 17],[200.82320442 125.17679558] ; [22.17679558 13.82320442],0
a1,1,0.301238,1.068708,[ 20 315] ; [ 4 35],[ 21.4973262 313.5026738] ; [ 2.5026738 36.4973262],0
s6,1,0.318255,0.996104,[234  92] ; [25 14],[231.3260274  94.6739726] ; [27.6739726 11.3260274],0
p5,1,0.320304,0.987705,[ 68 266] ; [ 5 32],[ 65.71967655 268.28032345] ; [ 7.28032345 29.71967655],0
v2,1,0.327741,0.957804,[206 119] ; [21 17],[203.2369146 121.7630854] ; [23.7630854 14.2369146],0
a5,1,0.332168,0.940427,[271  64] ; [29 10],[268.71657754  66.28342246] ; [31.28342246  7.71657754],0
a8,1,0.350246,0.872567,[ 41 261] ; [ 3 34],[ 39.19764012 262.80235988] ; [ 4.80235988 32.19764012],0
s8,1,0.358175,0.844283,[179 153] ; [18 21],[176.29110512 155.70889488] ; [20.70889488 18.29110512],0
s5,1,0.374019,0.790268,[132 190] ; [12 24],[129.51955307 192.48044693] ; [14.48044693 21.51955307],0
v4,1,0.397545,0.71574,[324   9] ; [37  2],[323.15322581   9.84677419] ; [37.84677419  1.15322581],0
d2,1,0.399848,0.708785,[174 161] ; [17 21],[171.54155496 163.45844504] ; [19.45844504 18.54155496],0
u2,1,0.40211,0.702009,[46 29] ; [8 8],[44.50549451 30.49450549] ; [9.49450549 6.50549451],0
u1,1,0.428798,0.626076,[ 79 256] ; [ 7 32],[ 77.03208556 257.96791444] ; [ 8.96791444 30.03208556],0
r4,1,0.438723,0.59962,[312  23] ; [35  4],[310.81550802  24.18449198] ; [36.18449198  2.81550802],0
b1,1,0.458982,0.548375,[134 201] ; [18 21],[136.14973262 198.85026738] ; [15.85026738 23.14973262],0
s4,1,0.459345,0.547491,[ 54 277] ; [ 8 30],[ 55.61517615 275.38482385] ; [ 6.38482385 31.61517615],0
a6,1,0.472021,0.517241,[241  93] ; [26 13],[239.08310992  94.91689008] ; [27.91689008 11.08310992],0
s2,1,0.502295,0.450085,[180 151] ; [19 20],[178.02432432 152.97567568] ; [20.97567568 18.02432432],0
n6,1,0.523007,0.407959,[302  33] ; [33  5],[300.87131367  34.12868633] ; [34.12868633  3.87131367],0
a7,1,0.612249,0.256914,[244  90] ; [27 12],[242.66487936  91.33512064] ; [28.33512064 10.66487936],0
n5,1,0.62597,0.237565,[276  58] ; [31  8],[274.90080429  59.09919571] ; [32.09919571  6.90080429],0
a4,1,0.638004,0.221362,[158 176] ; [20 19],[159.38873995 174.61126005] ; [18.61126005 20.38873995],0
r1,1,0.638307,0.220963,[274  58] ; [31  8],[272.93800539  59.06199461] ; [32.06199461  6.93800539],0
p1,1,0.681461,0.168486,[ 42 293] ; [ 4 35],[ 41.20320856 293.79679144] ; [ 4.79679144 34.20320856],0
n3,1,0.687031,0.162319,[35 11] ; [7 3],[34.5 11.5] ; [7.5 2.5],0
p12,1,0.748051,0.103176,[ 40 293] ; [ 4 35],[ 39.38709677 293.61290323] ; [ 4.61290323 34.38709677],0
n1,1,0.754983,0.097391,[16 30] ; [4 6],[16.42857143 29.57142857] ; [3.57142857 6.42857143],0
b4,1,0.787525,0.072644,[190 145] ; [23 16],[190.78877005 144.21122995] ; [22.21122995 16.78877005],0
r2,1,0.797294,0.065972,[316  14] ; [37  2],[315.69105691  14.30894309] ; [37.30894309  1.69105691],0
r3,1,0.804754,0.061107,[322  11] ; [38  1],[322.25806452  10.74193548] ; [37.74193548  1.25806452],0
u3,1,0.821892,0.050676,[44 30] ; [10  6],[44.4 29.6] ; [9.6 6.4],0
b2,1,0.833612,0.04413,[ 96 128] ; [11 16],[ 95.49003984 128.50996016] ; [11.50996016 15.49003984],0
b3,1,0.833612,0.04413,[ 96 128] ; [11 16],[ 95.49003984 128.50996016] ; [11.50996016 15.49003984],0
b5,1,0.842037,0.039716,[186 149] ; [21 18],[185.4144385 149.5855615] ; [21.5855615 17.4144385],0
u4,1,0.961918,0.00228,[  9 325] ; [ 1 38],[  8.95442359 325.04557641] ; [ 1.04557641 37.95442359],0
n4,1,0.978913,0.000699,[284  51] ; [33  6],[283.94385027  51.05614973] ; [33.05614973  5.94385027],0
