Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,9.8e-05,15.165835,[11 26] ; [12  1],[17.02 19.98] ; [5.98 7.02],1
v2,1,0.00019,13.926946,[ 7 29] ; [10  3],[12.48979592 23.51020408] ; [4.51020408 8.48979592],1
d5,1,0.00039,12.577963,[13 24] ; [12  1],[18.5 18.5] ; [6.5 6.5],1
a3,1,0.005437,7.728083,[12 25] ; [10  3],[16.28 20.72] ; [5.72 7.28],0
d2,1,0.007952,7.044148,[ 8 29] ; [8 5],[11.84 25.16] ; [4.16 8.84],0
v1,1,0.007952,7.044148,[ 8 29] ; [8 5],[11.84 25.16] ; [4.16 8.84],0
a4,1,0.014529,5.972648,[ 5 32] ; [6 7],[ 8.14 28.86] ; [ 2.86 10.14],0
p5,1,0.073637,3.200039,[ 2 34] ; [ 3 10],[ 3.67346939 32.32653061] ; [ 1.32653061 11.67346939],0
v3,1,0.091306,2.851203,[ 4 33] ; [4 9],[ 5.92 31.08] ; [ 2.08 10.92],0
p7,1,0.10806,2.582366,[18 19] ; [ 3 10],[15.54 21.46] ; [5.46 7.54],0
a5,1,0.138632,2.193077,[14 23] ; [8 5],[16.28 20.72] ; [5.72 7.28],0
a6,1,0.148299,2.089664,[17 20] ; [9 4],[19.24 17.76] ; [6.76 6.24],0
r4,1,0.163594,1.940684,[ 5 32] ; [4 9],[ 6.66 30.34] ; [ 2.34 10.66],0
a7,1,0.191302,1.70756,[15 22] ; [8 5],[17.02 19.98] ; [5.98 7.02],0
p4,1,0.191302,1.70756,[15 22] ; [8 5],[17.02 19.98] ; [5.98 7.02],0
s4,1,0.197172,1.663202,[ 9 28] ; [ 1 12],[ 7.4 29.6] ; [ 2.6 10.4],0
n6,1,0.197528,1.660554,[21 16] ; [10  3],[22.94 14.06] ; [8.06 4.94],0
n3,1,0.247879,1.335216,[11  5] ; [2 3],[9.9047619 6.0952381] ; [3.0952381 1.9047619],0
p1,1,0.253915,1.301636,[ 2 35] ; [ 2 11],[ 2.96 34.04] ; [ 1.04 11.96],0
s6,1,0.314419,1.01202,[14 23] ; [7 6],[15.54 21.46] ; [5.46 7.54],0
s2,1,0.328779,0.953701,[ 9 28] ; [5 8],[10.36 26.64] ; [3.64 9.36],0
s8,1,0.342209,0.902138,[ 7 30] ; [ 1 12],[ 5.92 31.08] ; [ 2.08 10.92],0
n2,1,0.374857,0.7875,[10  6] ; [2 3],[9.14285714 6.85714286] ; [2.85714286 2.14285714],0
p8,1,0.390346,0.737863,[13 23] ; [ 3 10],[11.75510204 24.24489796] ; [4.24489796 8.75510204],0
r3,1,0.390346,0.737863,[23 13] ; [10  3],[24.24489796 11.75510204] ; [8.75510204 4.24489796],0
p9,1,0.394198,0.725953,[23 13] ; [6 6],[21.75 14.25] ; [7.25 4.75],0
b1,1,0.405756,0.691201,[22 15] ; [6 7],[20.72 16.28] ; [7.28 5.72],0
s3,1,0.49161,0.473002,[12 24] ; [ 3 10],[11.02040816 24.97959184] ; [3.97959184 9.02040816],0
p11,1,0.532375,0.389857,[22 15] ; [9 4],[22.94 14.06] ; [8.06 4.94],0
a8,1,0.59389,0.284311,[ 5 30] ; [ 1 11],[ 4.46808511 30.53191489] ; [ 1.53191489 10.46808511],0
s7,1,0.603602,0.269597,[ 6 30] ; [1 9],[ 5.47826087 30.52173913] ; [1.52173913 8.47826087],0
b2,1,0.632142,0.229167,[ 6 18] ; [3 6],[ 6.54545455 17.45454545] ; [2.45454545 6.54545455],0
b3,1,0.632142,0.229167,[ 6 18] ; [3 6],[ 6.54545455 17.45454545] ; [2.45454545 6.54545455],0
b4,1,0.74714,0.10395,[19 18] ; [6 7],[18.5 18.5] ; [6.5 6.5],0
v4,1,0.763803,0.090295,[21 16] ; [8 5],[21.46 15.54] ; [7.54 5.46],0
p2,1,0.763803,0.090295,[21 16] ; [8 5],[21.46 15.54] ; [7.54 5.46],0
s1,1,0.76519,0.089205,[ 2 35] ; [ 1 12],[ 2.22 34.78] ; [ 0.78 12.22],0
p3,1,0.813926,0.055397,[11 26] ; [4 8],[11.32653061 25.67346939] ; [3.67346939 8.32653061],0
n5,1,0.829813,0.0462,[24 13] ; [8 5],[23.68 13.32] ; [8.32 4.68],0
n4,1,0.855688,0.033075,[21 16] ; [7 6],[20.72 16.28] ; [7.28 5.72],0
s5,1,0.94391,0.00495,[ 6 31] ; [ 2 11],[ 5.92 31.08] ; [ 2.08 10.92],0
p10,1,0.947251,0.004377,[17 19] ; [6 7],[16.89795918 19.10204082] ; [6.10204082 6.89795918],0
p12,1,0.962085,0.00226,[ 3 34] ; [ 1 12],[ 2.96 34.04] ; [ 1.04 11.96],0
b5,1,0.989677,0.000167,[20 17] ; [7 6],[19.98 17.02] ; [7.02 5.98],0
p6,1,1.0,0.0,[ 6 30] ; [ 2 10],[ 6. 30.] ; [ 2. 10.],0
