Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,42.772802,[ 1 22] ; [84 26],[14.69924812  8.30075188] ; [70.30075188 39.69924812],1
v4,1,4e-06,21.049572,[10 13] ; [95 15],[18.15789474  4.84210526] ; [86.84210526 23.15789474],1
d2,1,0.000114,14.8855,[ 2 21] ; [57 51],[10.35877863 12.64122137] ; [48.64122137 59.35877863],1
r3,1,0.000291,13.129043,[ 9 14] ; [84 25],[16.20454545  6.79545455] ; [76.79545455 32.20454545],1
a7,1,0.001548,10.020913,[ 8 15] ; [76 33],[14.63636364  8.36363636] ; [69.36363636 39.63636364],0
s6,1,0.002597,9.071052,[ 4 19] ; [56 52],[10.53435115 12.46564885] ; [49.46564885 58.53435115],0
d5,1,0.003183,8.69966,[ 9 14] ; [77 31],[15.09923664  7.90076336] ; [70.90076336 37.09923664],0
r1,1,0.004407,8.107928,[ 8 15] ; [72 36],[14.04580153  8.95419847] ; [65.95419847 42.04580153],0
d1,1,0.010291,6.583878,[ 4 19] ; [51 59],[ 9.5112782 13.4887218] ; [45.4887218 64.5112782],0
s5,1,0.014048,6.032136,[ 1 22] ; [30 75],[ 5.5703125 17.4296875] ; [25.4296875 79.5703125],0
a5,1,0.015269,5.88512,[ 7 16] ; [64 46],[12.27819549 10.72180451] ; [58.72180451 51.27819549],0
n2,1,0.035015,4.444444,[4 8] ; [32 16],[7.2 4.8] ; [28.8 19.2],0
n1,1,0.037846,4.311919,[ 2 10] ; [23 23],[5.17241379 6.82758621] ; [19.82758621 26.17241379],0
b1,1,0.051092,3.805264,[18  5] ; [62 48],[13.83458647  9.16541353] ; [66.16541353 43.83458647],0
a6,1,0.053652,3.723483,[ 8 15] ; [62 47],[12.1969697 10.8030303] ; [57.8030303 51.1969697],0
s8,1,0.055544,3.665672,[ 2 21] ; [30 79],[ 5.57575758 17.42424242] ; [26.42424242 82.57575758],0
p10,1,0.058497,3.579506,[ 6 17] ; [51 56],[10.08461538 12.91538462] ; [46.91538462 60.08461538],0
s3,1,0.066348,3.371146,[ 6 16] ; [53 56],[ 9.90839695 12.09160305] ; [49.09160305 59.90839695],0
d3,1,0.069744,3.289043,[ 9 14] ; [64 43],[12.91538462 10.08461538] ; [60.08461538 46.91538462],0
n3,1,0.073145,3.211,[4 8] ; [28 17],[6.73684211 5.26315789] ; [25.26315789 19.73684211],0
p8,1,0.073193,3.209926,[ 3 19] ; [36 74],[ 6.5 15.5] ; [32.5 77.5],0
n4,1,0.077995,3.1062,[10 13] ; [69 40],[13.76515152  9.23484848] ; [65.23484848 43.76515152],0
p9,1,0.083412,2.997128,[ 8 14] ; [60 46],[11.6875 10.3125] ; [56.3125 49.6875],0
a4,1,0.087265,2.92411,[ 5 18] ; [44 64],[ 8.60305344 14.39694656] ; [40.39694656 67.60305344],0
u3,1,0.088843,2.895206,[ 3 10] ; [20 20],[5.64150943 7.35849057] ; [17.35849057 22.64150943],0
n5,1,0.093718,2.809321,[11 12] ; [73 37],[14.52631579  8.47368421] ; [69.47368421 40.52631579],0
a3,1,0.095182,2.784468,[10 12] ; [69 38],[13.47286822  8.52713178] ; [65.52713178 41.47286822],0
p2,1,0.111783,2.528828,[10 13] ; [67 42],[13.41666667  9.58333333] ; [63.58333333 45.41666667],0
s2,1,0.133552,2.25072,[ 5 18] ; [42 68],[ 8.12781955 14.87218045] ; [38.87218045 71.12781955],0
s4,1,0.172738,1.859021,[ 2 21] ; [23 87],[ 4.32330827 18.67669173] ; [20.67669173 89.32330827],0
a8,1,0.176327,1.828309,[ 4 18] ; [ 9 96],[ 2.2519685 19.7480315] ; [10.7480315 94.2519685],0
n6,1,0.199178,1.64839,[11 11] ; [71 39],[13.66666667  8.33333333] ; [68.33333333 41.66666667],0
u2,1,0.209435,1.575329,[ 3 10] ; [17 23],[4.90566038 8.09433962] ; [15.09433962 24.90566038],0
p1,1,0.247946,1.334841,[ 1 22] ; [14 96],[ 2.59398496 20.40601504] ; [12.40601504 97.59398496],0
v1,1,0.253433,1.304279,[ 5 18] ; [37 72],[ 7.31818182 15.68181818] ; [34.68181818 74.31818182],0
p7,1,0.260874,1.264112,[ 7 16] ; [47 62],[ 9.40909091 13.59090909] ; [44.59090909 64.40909091],0
s7,1,0.272663,1.2033,[ 5 16] ; [37 65],[ 7.17073171 13.82926829] ; [34.82926829 67.17073171],0
a2,1,0.304937,1.052479,[ 2 21] ; [19 91],[ 3.63157895 19.36842105] ; [17.36842105 92.63157895],0
v3,1,0.305042,1.052019,[ 3 20] ; [24 82],[ 4.81395349 18.18604651] ; [22.18604651 83.81395349],0
p5,1,0.410725,0.676702,[ 1 21] ; [11 98],[ 2.01526718 19.98473282] ; [ 9.98473282 99.01526718],0
p3,1,0.417211,0.658157,[ 6 17] ; [38 71],[ 7.66666667 15.33333333] ; [36.33333333 72.66666667],0
d4,1,0.460435,0.544838,[14  9] ; [75 34],[15.50757576  7.49242424] ; [73.49242424 35.50757576],0
