Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.00205,9.503902,[12  6] ; [11 33],[ 6.67741935 11.32258065] ; [16.32258065 27.67741935],0
a3,1,0.006738,7.341532,[14  4] ; [18 27],[9.14285714 8.85714286] ; [22.85714286 22.14285714],0
b4,1,0.011025,6.46123,[ 5 13] ; [29 17],[9.5625 8.4375] ; [24.4375 21.5625],0
a4,1,0.026089,4.950114,[9 9] ; [10 36],[ 5.34375 12.65625] ; [13.65625 32.34375],0
a5,1,0.026138,4.94686,[13  5] ; [19 27],[9. 9.] ; [23. 23.],0
d1,1,0.069305,3.2994,[ 8 10] ; [10 36],[ 5.0625 12.9375] ; [12.9375 33.0625],0
d2,1,0.069305,3.2994,[ 8 10] ; [10 36],[ 5.0625 12.9375] ; [12.9375 33.0625],0
s2,1,0.080253,3.059774,[ 7 10] ; [ 9 37],[ 4.31746032 12.68253968] ; [11.68253968 34.31746032],0
a1,1,0.098725,2.726013,[ 3 15] ; [ 2 44],[ 1.40625 16.59375] ; [ 3.59375 42.40625],0
a2,1,0.098725,2.726013,[ 3 15] ; [ 2 44],[ 1.40625 16.59375] ; [ 3.59375 42.40625],0
p11,1,0.107126,2.59612,[13  5] ; [23 23],[10.125  7.875] ; [25.875 20.125],0
u1,1,0.128302,2.312927,[ 2 16] ; [ 1 45],[ 0.84375 17.15625] ; [ 2.15625 43.84375],0
b5,1,0.175543,1.834956,[ 8 10] ; [29 17],[10.40625  7.59375] ; [26.59375 19.40625],0
p4,1,0.175543,1.834956,[10  8] ; [17 29],[ 7.59375 10.40625] ; [19.40625 26.59375],0
d3,1,0.204412,1.61057,[11  7] ; [20 26],[8.71875 9.28125] ; [22.28125 23.71875],0
p10,1,0.204809,1.607745,[11  6] ; [21 24],[8.77419355 8.22580645] ; [23.22580645 21.77419355],0
s1,1,0.210612,1.567216,[ 3 15] ; [ 3 43],[ 1.6875 16.3125] ; [ 4.3125 41.6875],0
u3,1,0.217044,1.52381,[2 2] ; [ 6 22],[1. 3.] ; [ 7. 21.],0
d4,1,0.247074,1.339775,[13  5] ; [26 20],[10.96875  7.03125] ; [28.03125 17.96875],0
r4,1,0.252407,1.309929,[ 2 16] ; [11 35],[ 3.65625 14.34375] ; [ 9.34375 36.65625],0
p7,1,0.303136,1.060346,[10  8] ; [19 27],[8.15625 9.84375] ; [20.84375 25.15625],0
a6,1,0.303136,1.060346,[10  8] ; [19 27],[8.15625 9.84375] ; [20.84375 25.15625],0
p12,1,0.314907,1.009984,[ 2 16] ; [ 2 44],[ 1.125 16.875] ; [ 2.875 43.125],0
p5,1,0.326931,0.961017,[ 2 16] ; [ 2 43],[ 1.14285714 16.85714286] ; [ 2.85714286 42.14285714],0
v3,1,0.35311,0.86225,[ 5 13] ; [ 8 38],[ 3.65625 14.34375] ; [ 9.34375 36.65625],0
s6,1,0.374945,0.787209,[ 8 10] ; [15 31],[ 6.46875 11.53125] ; [16.53125 29.46875],0
b1,1,0.394751,0.724259,[13  5] ; [28 18],[11.53125  6.46875] ; [29.46875 16.53125],0
n2,1,0.453323,0.562329,[7 3] ; [10  8],[6.07142857 3.92857143] ; [10.92857143  7.07142857],0
n1,1,0.45426,0.56,[2 8] ; [ 6 12],[2.85714286 7.14285714] ; [ 5.14285714 12.85714286],0
s3,1,0.455069,0.557996,[ 4 13] ; [15 30],[ 5.20967742 11.79032258] ; [13.79032258 31.20967742],0
p9,1,0.471857,0.517624,[11  6] ; [24 20],[9.75409836 7.24590164] ; [25.24590164 18.75409836],0
n5,1,0.472854,0.515298,[10  8] ; [30 16],[11.25  6.75] ; [28.75 17.25],0
v4,1,0.528375,0.397516,[9 9] ; [27 19],[10.125  7.875] ; [25.875 20.125],0
s4,1,0.533856,0.387046,[ 2 16] ; [ 8 38],[ 2.8125 15.1875] ; [ 7.1875 38.8125],0
a7,1,0.578185,0.309179,[10  8] ; [22 24],[9. 9.] ; [23. 23.],0
n4,1,0.637474,0.22206,[9 9] ; [26 20],[9.84375 8.15625] ; [25.15625 20.84375],0
p8,1,0.676045,0.174612,[ 7 11] ; [15 30],[ 6.28571429 11.71428571] ; [15.71428571 29.28571429],0
d5,1,0.753989,0.09821,[9 9] ; [25 21],[9.5625 8.4375] ; [24.4375 21.5625],0
s7,1,0.764926,0.089412,[ 4 13] ; [ 8 32],[ 3.57894737 13.42105263] ; [ 8.42105263 31.57894737],0
r3,1,0.808805,0.058548,[12  5] ; [31 15],[11.6031746  5.3968254] ; [31.3968254 14.6031746],0
b2,1,0.81668,0.053739,[3 9] ; [ 8 20],[3.3 8.7] ; [ 7.7 20.3],0
b3,1,0.81668,0.053739,[3 9] ; [ 8 20],[3.3 8.7] ; [ 7.7 20.3],0
p3,1,0.836003,0.042852,[ 4 13] ; [12 34],[ 4.31746032 12.68253968] ; [11.68253968 34.31746032],0
p1,1,0.837168,0.042238,[ 1 17] ; [ 2 44],[ 0.84375 17.15625] ; [ 2.15625 43.84375],0
p6,1,0.841677,0.039899,[ 3 14] ; [ 7 38],[ 2.74193548 14.25806452] ; [ 7.25806452 37.74193548],0
p2,1,0.859587,0.031293,[11  7] ; [27 19],[10.6875  7.3125] ; [27.3125 18.6875],0
r1,1,0.912605,0.012046,[ 6 12] ; [16 30],[ 6.1875 11.8125] ; [15.8125 30.1875],0
n3,1,0.954001,0.003327,[6 4] ; [11  7],[6.07142857 3.92857143] ; [10.92857143  7.07142857],0
s8,1,0.966473,0.001767,[ 4 14] ; [10 36],[ 3.9375 14.0625] ; [10.0625 35.9375],0
n6,1,0.992698,8.4e-05,[10  7] ; [27 19],[9.98412698 7.01587302] ; [27.01587302 18.98412698],0
u2,1,1.0,0.0,[2 2] ; [14 14],[2. 2.] ; [14. 14.],0
