Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,4.7e-05,16.555318,[22 42] ; [62 30],[34.46153846 29.53846154] ; [49.53846154 42.46153846],1
r1,1,4.8e-05,16.506855,[28 36] ; [69 22],[40.0516129 23.9483871] ; [56.9483871 34.0516129],1
a6,1,0.000104,15.057799,[23 41] ; [62 30],[34.87179487 29.12820513] ; [50.12820513 41.87179487],1
d5,1,0.000109,14.965552,[31 33] ; [72 20],[42.25641026 21.74358974] ; [60.74358974 31.25641026],1
d4,1,0.000226,13.602816,[34 29] ; [75 17],[44.30322581 18.69677419] ; [64.69677419 27.30322581],1
a3,1,0.001832,9.710914,[26 37] ; [60 30],[35.41176471 27.58823529] ; [50.58823529 39.41176471],0
u1,1,0.002518,9.127222,[ 2 62] ; [18 74],[ 8.20512821 55.79487179] ; [11.79487179 80.20512821],0
r4,1,0.002767,8.955163,[34 30] ; [70 22],[42.66666667 21.33333333] ; [61.33333333 30.66666667],0
a5,1,0.004389,8.115361,[27 37] ; [60 32],[35.69230769 28.30769231] ; [51.30769231 40.69230769],0
a2,1,0.008354,6.956028,[ 4 60] ; [20 72],[ 9.84615385 54.15384615] ; [14.15384615 77.84615385],0
d1,1,0.016622,5.735855,[21 43] ; [48 44],[28.30769231 35.69230769] ; [40.69230769 51.30769231],0
b1,1,0.036889,4.35551,[38 26] ; [39 53],[31.58974359 32.41025641] ; [45.41025641 46.58974359],0
r3,1,0.049549,3.856669,[46 18] ; [78 14],[50.87179487 13.12820513] ; [73.12820513 18.87179487],0
r2,1,0.054518,3.69676,[46 17] ; [77 13],[50.64705882 12.35294118] ; [72.35294118 17.64705882],0
n3,1,0.095222,2.783793,[14 16] ; [26 13],[17.39130435 12.60869565] ; [22.60869565 16.39130435],0
p2,1,0.097064,2.753131,[34 30] ; [61 31],[38.97435897 25.02564103] ; [56.02564103 35.97435897],0
b5,1,0.118733,2.43395,[36 28] ; [63 29],[40.61538462 23.38461538] ; [58.38461538 33.61538462],0
p4,1,0.138312,2.19664,[19 45] ; [38 54],[23.38461538 40.61538462] ; [33.61538462 58.38461538],0
v2,1,0.147284,2.100159,[16 46] ; [34 58],[20.12987013 41.87012987] ; [29.87012987 62.12987013],0
p8,1,0.158367,1.989754,[14 50] ; [29 61],[17.87012987 46.12987013] ; [25.12987013 64.87012987],0
s6,1,0.164306,1.934141,[22 41] ; [42 49],[26.18181818 36.81818182] ; [37.81818182 53.18181818],0
p12,1,0.165338,1.924713,[ 3 61] ; [ 1 90],[ 1.6516129 62.3483871] ; [ 2.3483871 88.6516129],0
u3,1,0.171856,1.866674,[14 24] ; [17 15],[16.82857143 21.17142857] ; [14.17142857 17.82857143],0
v4,1,0.226486,1.462797,[47 16] ; [76 16],[49.99354839 13.00645161] ; [73.00645161 18.99354839],0
d2,1,0.229105,1.446409,[26 37] ; [47 45],[29.67096774 33.32903226] ; [43.32903226 48.67096774],0
p6,1,0.249635,1.325347,[12 50] ; [25 66],[14.99346405 47.00653595] ; [22.00653595 68.99346405],0
v1,1,0.276418,1.184615,[15 48] ; [29 62],[18. 45.] ; [26. 65.],0
s5,1,0.308438,1.037352,[13 49] ; [13 76],[10.67549669 51.32450331] ; [15.32450331 73.67549669],0
p1,1,0.318425,0.995406,[ 3 61] ; [ 8 82],[ 4.57142857 59.42857143] ; [ 6.42857143 83.57142857],0
n1,1,0.43556,0.607953,[10 20] ; [17 23],[11.57142857 18.42857143] ; [15.42857143 24.57142857],0
a4,1,0.471377,0.518746,[22 41] ; [37 54],[24.13636364 38.86363636] ; [34.86363636 56.13636364],0
n4,1,0.472105,0.517046,[34 29] ; [55 37],[36.17419355 26.82580645] ; [52.82580645 39.17419355],0
b3,1,0.510533,0.432975,[13 27] ; [23 36],[14.54545455 25.45454545] ; [21.45454545 37.54545455],0
b2,1,0.510533,0.432975,[13 27] ; [23 36],[14.54545455 25.45454545] ; [21.45454545 37.54545455],0
p3,1,0.520915,0.412082,[18 46] ; [30 61],[19.81935484 44.18064516] ; [28.18064516 62.81935484],0
s4,1,0.537785,0.379661,[ 9 55] ; [16 74],[10.38961039 53.61038961] ; [14.61038961 75.38961039],0
p11,1,0.553281,0.351471,[33 31] ; [43 49],[31.17948718 32.82051282] ; [44.82051282 47.17948718],0
s3,1,0.648591,0.207682,[24 39] ; [38 53],[25.36363636 37.63636364] ; [36.63636364 54.36363636],0
s8,1,0.652263,0.203059,[10 53] ; [17 74],[11.04545455 51.95454545] ; [15.95454545 75.04545455],0
p5,1,0.686393,0.163018,[ 2 62] ; [ 4 87],[ 2.47741935 61.52258065] ; [ 3.52258065 87.47741935],0
a8,1,0.701397,0.147022,[ 6 54] ; [10 73],[ 6.71328671 53.28671329] ; [ 9.28671329 73.71328671],0
u4,1,0.711628,0.136656,[ 2 62] ; [ 2 90],[ 1.64102564 62.35897436] ; [ 2.35897436 89.64102564],0
s1,1,0.730609,0.118553,[ 4 60] ; [ 7 84],[ 4.54193548 59.45806452] ; [ 6.45806452 84.54193548],0
a1,1,0.744384,0.10631,[ 4 60] ; [ 7 85],[ 4.51282051 59.48717949] ; [ 6.48717949 85.51282051],0
n2,1,0.764582,0.089682,[18 12] ; [22 17],[17.39130435 12.60869565] ; [22.60869565 16.39130435],0
n6,1,0.770928,0.084775,[38 25] ; [57 34],[38.86363636 24.13636364] ; [56.13636364 34.86363636],0
