Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,7e-06,20.243216,[94  2] ; [27 10],[87.33834586  8.66165414] ; [33.66165414  3.33834586],1
p7,1,1.2e-05,19.202924,[91  5] ; [23 12],[83.54198473 12.45801527] ; [30.45801527  4.54198473],1
p4,1,2.4e-05,17.803817,[88  9] ; [22 15],[79.62686567 17.37313433] ; [30.37313433  6.62686567],1
p2,1,0.000412,12.476094,[93  4] ; [28  9],[87.58955224  9.41044776] ; [33.41044776  3.58955224],1
s4,1,0.023397,5.138812,[17 79] ; [ 1 36],[12.9924812 83.0075188] ; [ 5.0075188 31.9924812],0
p5,1,0.024163,5.082908,[32 65] ; [ 5 32],[26.78358209 70.21641791] ; [10.21641791 26.78358209],0
p8,1,0.048771,3.883203,[77 18] ; [24 13],[72.68939394 22.31060606] ; [28.31060606  8.68939394],0
p9,1,0.075279,3.163992,[93  3] ; [33  4],[90.94736842  5.05263158] ; [35.05263158  1.94736842],0
p12,1,0.091188,2.85327,[23 73] ; [ 4 33],[19.4887218 76.5112782] ; [ 7.5112782 29.4887218],0
p1,1,0.104154,2.640762,[19 77] ; [ 3 34],[15.87969925 80.12030075] ; [ 6.12030075 30.87969925],0
a5,1,0.120307,2.413324,[80 17] ; [26 11],[76.73134328 20.26865672] ; [29.26865672  7.73134328],0
b1,1,0.123444,2.373068,[43 54] ; [11 26],[39.08955224 57.91044776] ; [14.91044776 22.08955224],0
r1,1,0.124504,2.359723,[82 15] ; [27 10],[78.90298507 18.09701493] ; [30.09701493  6.90298507],0
s5,1,0.12556,2.346559,[45 46] ; [12 23],[41.16666667 49.83333333] ; [15.83333333 19.16666667],0
a2,1,0.164489,1.932468,[30 67] ; [ 7 30],[26.78358209 70.21641791] ; [10.21641791 26.78358209],0
a7,1,0.180544,1.79314,[71 25] ; [23 14],[67.84962406 28.15037594] ; [26.15037594 10.84962406],0
s7,1,0.186555,1.744615,[68 22] ; [23 13],[65. 25.] ; [26. 10.],0
b4,1,0.189777,1.719351,[59 38] ; [27 10],[62.25373134 34.74626866] ; [23.74626866 13.25373134],0
b5,1,0.210681,1.566741,[54 43] ; [25 12],[57.18656716 39.81343284] ; [21.81343284 15.18656716],0
a3,1,0.242687,1.364915,[78 17] ; [27 10],[75.56818182 19.43181818] ; [29.43181818  7.56818182],0
n6,1,0.24904,1.328681,[91  5] ; [33  4],[89.5037594  6.4962406] ; [34.4962406  2.5037594],0
d1,1,0.292169,1.109601,[67 30] ; [22 15],[64.42537313 32.57462687] ; [24.57462687 12.42537313],0
p11,1,0.315232,1.008626,[83 14] ; [29  8],[81.07462687 15.92537313] ; [30.92537313  6.07462687],0
n5,1,0.345804,0.888794,[87 10] ; [31  6],[85.41791045 11.58208955] ; [32.58208955  4.41791045],0
u3,1,0.494084,0.467621,[12  7] ; [5 5],[11.13793103  7.86206897] ; [5.86206897 4.13793103],0
u2,1,0.494084,0.467621,[12  7] ; [5 5],[11.13793103  7.86206897] ; [5.86206897 4.13793103],0
s1,1,0.507053,0.440144,[ 3 94] ; [ 2 34],[ 3.64661654 93.35338346] ; [ 1.35338346 34.64661654],0
r4,1,0.518849,0.416181,[92  5] ; [34  3],[91.20895522  5.79104478] ; [34.79104478  2.20895522],0
r3,1,0.535547,0.383856,[93  3] ; [35  2],[92.39097744  3.60902256] ; [35.60902256  1.39097744],0
r2,1,0.535547,0.383856,[93  3] ; [35  2],[92.39097744  3.60902256] ; [35.60902256  1.39097744],0
n2,1,0.536632,0.381818,[8 3] ; [6 4],[7.33333333 3.66666667] ; [6.66666667 3.33333333],0
u1,1,0.537653,0.379908,[26 71] ; [ 8 29],[24.6119403 72.3880597] ; [ 9.3880597 27.6119403],0
d4,1,0.538913,0.377557,[82 14] ; [30  7],[80.84210526 15.15789474] ; [31.15789474  5.84210526],0
a8,1,0.565332,0.330556,[11 73] ; [ 6 29],[12. 72.] ; [ 5. 30.],0
s2,1,0.577565,0.310187,[57 39] ; [20 17],[55.57894737 40.42105263] ; [21.42105263 15.57894737],0
s8,1,0.58555,0.297347,[60 36] ; [25 12],[61.35338346 34.64661654] ; [23.64661654 13.35338346],0
s3,1,0.640648,0.217896,[56 40] ; [22 13],[57.16030534 38.83969466] ; [20.83969466 14.16030534],0
n1,1,0.653095,0.20202,[5 6] ; [5 4],[5.5 5.5] ; [4.5 4.5],0
v1,1,0.673563,0.177463,[72 25] ; [28  8],[72.93233083 24.06766917] ; [27.06766917  8.93233083],0
u4,1,0.698,0.150561,[ 4 93] ; [ 1 36],[ 3.61940299 93.38059701] ; [ 1.38059701 35.61940299],0
n4,1,0.708064,0.140219,[90  7] ; [35  2],[90.48507463  6.51492537] ; [34.51492537  2.48507463],0
