Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,4.4e-05,16.681304,[ 2 44] ; [6 6],[ 6.34482759 39.65517241] ; [ 1.65517241 10.34482759],1
s3,1,0.000176,14.066986,[12 36] ; [10  2],[17.6 30.4] ; [4.4 7.6],1
s8,1,0.001246,10.420673,[ 3 45] ; [5 7],[ 6.4 41.6] ; [ 1.6 10.4],0
s6,1,0.016638,5.734127,[11 37] ; [7 5],[14.4 33.6] ; [3.6 8.4],0
s4,1,0.042883,4.100006,[ 5 44] ; [4 8],[ 7.2295082 41.7704918] ; [ 1.7704918 10.2295082],0
n5,1,0.081622,3.032297,[33 15] ; [5 7],[30.4 17.6] ; [7.6 4.4],0
v2,1,0.101732,2.67818,[ 9 38] ; [5 7],[11.15254237 35.84745763] ; [2.84745763 9.15254237],0
s5,1,0.107703,2.587601,[ 4 44] ; [3 9],[ 5.6 42.4] ; [ 1.4 10.6],0
p5,1,0.120507,2.410714,[ 2 46] ; [ 2 10],[ 3.2 44.8] ; [ 0.8 11.2],0
p4,1,0.156416,2.008537,[14 35] ; [6 6],[16.06557377 32.93442623] ; [3.93442623 8.06557377],0
n4,1,0.170904,1.875,[34 14] ; [6 6],[32. 16.] ; [8. 4.],0
n6,1,0.19043,1.714286,[26 22] ; [9 3],[28. 20.] ; [7. 5.],0
b2,1,0.193824,1.688312,[10 20] ; [1 8],[ 8.46153846 21.53846154] ; [2.53846154 6.46153846],0
b3,1,0.193824,1.688312,[10 20] ; [1 8],[ 8.46153846 21.53846154] ; [2.53846154 6.46153846],0
d3,1,0.234262,1.414795,[12 37] ; [5 7],[13.6557377 35.3442623] ; [3.3442623 8.6557377],0
r1,1,0.245016,1.351502,[23 25] ; [8 4],[24.8 23.2] ; [6.2 5.8],0
p3,1,0.302833,1.061675,[13 36] ; [5 7],[14.45901639 34.54098361] ; [3.54098361 8.45901639],0
p9,1,0.31599,1.005472,[15 33] ; [ 2 10],[13.6 34.4] ; [3.4 8.6],0
d2,1,0.334198,0.932564,[15 34] ; [ 2 10],[13.6557377 35.3442623] ; [3.3442623 8.6557377],0
a6,1,0.334929,0.929744,[21 28] ; [7 5],[22.49180328 26.50819672] ; [5.50819672 6.49180328],0
p7,1,0.365089,0.820312,[21 27] ; [7 5],[22.4 25.6] ; [5.6 6.4],0
p1,1,0.375337,0.78592,[ 4 45] ; [ 2 10],[ 4.81967213 44.18032787] ; [ 1.18032787 10.81967213],0
a3,1,0.380633,0.768656,[17 30] ; [6 6],[18.3220339 28.6779661] ; [4.6779661 7.3220339],0
u2,1,0.391813,0.733307,[11 21] ; [1 5],[10.10526316 21.89473684] ; [1.89473684 4.10526316],0
s1,1,0.404103,0.696084,[ 4 43] ; [ 2 10],[ 4.77966102 42.22033898] ; [ 1.22033898 10.77966102],0
r2,1,0.456057,0.555556,[35 13] ; [10  2],[36. 12.] ; [9. 3.],0
a4,1,0.456057,0.555556,[13 35] ; [ 2 10],[12. 36.] ; [3. 9.],0
b1,1,0.479172,0.500748,[26 23] ; [5 7],[24.90163934 24.09836066] ; [6.09836066 5.90163934],0
v4,1,0.541552,0.372671,[36 12] ; [10  2],[36.8 11.2] ; [9.2 2.8],0
p11,1,0.564232,0.332429,[20 29] ; [6 6],[20.8852459 28.1147541] ; [5.1147541 6.8852459],0
n1,1,0.565927,0.329545,[10 15] ; [1 3],[ 9.48275862 15.51724138] ; [1.51724138 2.48275862],0
n2,1,0.565927,0.329545,[15 10] ; [3 1],[15.51724138  9.48275862] ; [2.48275862 1.51724138],0
d5,1,0.607894,0.263254,[16 33] ; [3 9],[15.26229508 33.73770492] ; [3.73770492 8.26229508],0
r4,1,0.634375,0.226175,[29 20] ; [8 4],[29.72131148 19.27868852] ; [7.27868852 4.72131148],0
b5,1,0.634375,0.226175,[29 20] ; [8 4],[29.72131148 19.27868852] ; [7.27868852 4.72131148],0
v1,1,0.637591,0.221907,[13 36] ; [4 8],[13.6557377 35.3442623] ; [3.3442623 8.6557377],0
b4,1,0.649366,0.2067,[25 24] ; [7 5],[25.70491803 23.29508197] ; [6.29508197 5.70491803],0
a7,1,0.690415,0.158637,[19 29] ; [4 8],[18.4 29.6] ; [4.6 7.4],0
p6,1,0.754001,0.0982,[10 38] ; [3 9],[10.4 37.6] ; [2.6 9.4],0
v3,1,0.781204,0.077145,[10 37] ; [3 9],[10.3559322 36.6440678] ; [2.6440678 9.3559322],0
p2,1,0.839932,0.040796,[27 22] ; [7 5],[27.31147541 21.68852459] ; [6.68852459 5.31147541],0
a5,1,0.854212,0.033763,[19 30] ; [5 7],[19.27868852 29.72131148] ; [4.72131148 7.27868852],0
r3,1,0.892349,0.018315,[31 17] ; [8 4],[31.2 16.8] ; [7.8 4.2],0
a8,1,0.925277,0.008796,[ 7 38] ; [ 2 10],[ 7.10526316 37.89473684] ; [ 1.89473684 10.10526316],0
u3,1,0.960637,0.002436,[11 21] ; [2 4],[10.94736842 21.05263158] ; [2.05263158 3.94736842],0
n3,1,0.963482,0.002096,[17  6] ; [3 1],[17.03703704  5.96296296] ; [2.96296296 1.03703704],0
p8,1,0.969872,0.001426,[12 35] ; [3 9],[11.94915254 35.05084746] ; [3.05084746 8.94915254],0
