Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.016395,5.76,[ 3 27] ; [3 3],[ 5. 25.] ; [1. 5.],0
n4,1,0.077141,3.124138,[22  9] ; [2 4],[20.10810811 10.89189189] ; [3.89189189 2.10810811],0
p7,1,0.083005,3.005062,[ 7 24] ; [3 2],[ 8.61111111 22.38888889] ; [1.38888889 3.61111111],0
p2,1,0.109273,2.564708,[ 6 25] ; [3 3],[ 7.54054054 23.45945946] ; [1.45945946 4.54054054],0
r1,1,0.11167,2.530421,[10 21] ; [4 2],[11.72972973 19.27027027] ; [2.27027027 3.72972973],0
a6,1,0.115895,2.471932,[16 15] ; [1 5],[14.24324324 16.75675676] ; [2.75675676 3.24324324],0
b5,1,0.151122,2.060884,[15 16] ; [1 5],[13.40540541 17.59459459] ; [2.59459459 3.40540541],0
v4,1,0.20578,1.60087,[12 19] ; [4 2],[13.40540541 17.59459459] ; [2.59459459 3.40540541],0
n5,1,0.23531,1.408471,[23  8] ; [3 3],[21.78378378  9.21621622] ; [4.21621622 1.78378378],0
r2,1,0.264616,1.244444,[16 14] ; [4 1],[17.14285714 12.85714286] ; [2.85714286 2.14285714],0
u3,1,0.382733,0.761905,[ 3 11] ; [1 1],[ 3.5 10.5] ; [0.5 1.5],0
n2,1,0.384938,0.754872,[ 8 12] ; [2 1],[ 8.69565217 11.30434783] ; [1.30434783 1.69565217],0
d4,1,0.41222,0.672389,[15 16] ; [4 2],[15.91891892 15.08108108] ; [3.08108108 2.91891892],0
a5,1,0.41222,0.672389,[16 15] ; [2 4],[15.08108108 15.91891892] ; [2.91891892 3.08108108],0
p6,1,0.418492,0.654545,[ 2 28] ; [1 5],[ 2.5 27.5] ; [0.5 5.5],0
n3,1,0.427205,0.630409,[ 8 11] ; [2 1],[ 8.63636364 10.36363636] ; [1.36363636 1.63636364],0
b2,1,0.487561,0.481905,[10 13] ; [1 3],[ 9.37037037 13.62962963] ; [1.62962963 2.37037037],0
b3,1,0.487561,0.481905,[10 13] ; [1 3],[ 9.37037037 13.62962963] ; [1.62962963 2.37037037],0
b4,1,0.592442,0.286546,[17 14] ; [4 2],[17.59459459 13.40540541] ; [3.40540541 2.59459459],0
s3,1,0.605577,0.266667,[ 8 22] ; [1 5],[ 7.5 22.5] ; [1.5 4.5],0
p1,1,0.613796,0.254684,[ 3 28] ; [1 5],[ 3.35135135 27.64864865] ; [0.64864865 5.35135135],0
a2,1,0.613796,0.254684,[ 3 28] ; [1 5],[ 3.35135135 27.64864865] ; [0.64864865 5.35135135],0
s4,1,0.632912,0.228132,[ 8 23] ; [1 5],[ 7.54054054 23.45945946] ; [1.45945946 4.54054054],0
a3,1,0.650147,0.205714,[17 13] ; [4 2],[17.5 12.5] ; [3.5 2.5],0
d3,1,0.694443,0.154317,[13 18] ; [2 4],[12.56756757 18.43243243] ; [2.43243243 3.56756757],0
u2,1,0.69627,0.152381,[5 9] ; [1 1],[5.25 8.75] ; [0.75 1.25],0
n1,1,0.70386,0.144487,[ 9 11] ; [1 2],[ 8.69565217 11.30434783] ; [1.30434783 1.69565217],0
b1,1,0.715128,0.133209,[18 13] ; [3 3],[17.59459459 13.40540541] ; [3.40540541 2.59459459],0
v3,1,0.747376,0.10375,[ 7 24] ; [1 5],[ 6.7027027 24.2972973] ; [1.2972973 4.7027027],0
a4,1,0.759766,0.093506,[12 18] ; [2 4],[11.66666667 18.33333333] ; [2.33333333 3.66666667],0
n6,1,0.764177,0.09,[13 17] ; [3 3],[13.33333333 16.66666667] ; [2.66666667 3.33333333],0
a7,1,0.803708,0.061778,[12 19] ; [2 4],[11.72972973 19.27027027] ; [2.27027027 3.72972973],0
v2,1,0.877698,0.023682,[ 6 25] ; [1 5],[ 5.86486486 25.13513514] ; [1.13513514 4.86486486],0
p11,1,0.877698,0.023682,[ 6 25] ; [1 5],[ 5.86486486 25.13513514] ; [1.13513514 4.86486486],0
d2,1,0.881316,0.022291,[14 16] ; [3 3],[14.16666667 15.83333333] ; [2.83333333 3.16666667],0
d5,1,0.942322,0.005235,[16 15] ; [3 3],[15.91891892 15.08108108] ; [3.08108108 2.91891892],0
d1,1,0.958926,0.002652,[10 21] ; [2 4],[10.05405405 20.94594595] ; [1.94594595 4.05405405],0
s7,1,0.972877,0.001156,[ 5 24] ; [1 5],[ 4.97142857 24.02857143] ; [1.02857143 4.97142857],0
p4,1,0.973017,0.001144,[ 6 25] ; [1 4],[ 6.02777778 24.97222222] ; [0.97222222 4.02777778],0
v1,1,0.973911,0.001069,[ 5 26] ; [1 5],[ 5.02702703 25.97297297] ; [0.97297297 5.02702703],0
p3,1,0.973911,0.001069,[ 5 26] ; [1 5],[ 5.02702703 25.97297297] ; [0.97297297 5.02702703],0
